
[00:00:00.000 --> 00:00:02.920]  和大家講一個小小的故事
[00:00:02.920 --> 00:00:07.800]  有一對夫婦去拍拖行街
[00:00:07.800 --> 00:00:10.000]  走著走著
[00:00:10.000 --> 00:00:12.800]  老婆發覺突然間不見了老公
[00:00:12.800 --> 00:00:14.440]  她就很煩躁
[00:00:14.440 --> 00:00:17.680]  又去了哪個電器舖
[00:00:17.680 --> 00:00:21.480]  看電話 看電腦 去了哪裡
[00:00:21.480 --> 00:00:23.160]  在這個很煩躁之際
[00:00:23.160 --> 00:00:24.480]  老公就打電話來
[00:00:24.480 --> 00:00:25.480]  老婆 老婆
[00:00:25.480 --> 00:00:27.400]  老婆說 你去了哪裡
[00:00:27.400 --> 00:00:29.480]  老公就說
[00:00:29.480 --> 00:00:30.640]  我去了一間珠寶店
[00:00:30.640 --> 00:00:32.760]  你記不記得那間珠寶店
[00:00:32.760 --> 00:00:35.040]  就是我們結婚前
[00:00:35.040 --> 00:00:35.640]  你去到的時候
[00:00:35.640 --> 00:00:37.880]  你見到一隻很漂亮的鑽石戒指
[00:00:37.880 --> 00:00:39.200]  你很想要
[00:00:39.200 --> 00:00:40.760]  不過我當時不夠錢
[00:00:40.760 --> 00:00:42.000]  我說我買不到給你
[00:00:42.000 --> 00:00:43.800]  不過我答應過你
[00:00:43.800 --> 00:00:44.800]  將來一定會買給你
[00:00:44.800 --> 00:00:46.200]  你記不記得
[00:00:46.200 --> 00:00:48.880]  老婆當然很開心
[00:00:48.880 --> 00:00:50.680]  記得啊 記得啊
[00:00:50.680 --> 00:00:51.960]  然後老公就說
[00:00:51.960 --> 00:00:53.920]  是啊 我就是在那間珠寶店
[00:00:53.920 --> 00:00:57.080]  隔壁的麵包舖
[00:00:57.080 --> 00:00:58.480]  我知道你很餓
[00:00:58.480 --> 00:01:00.800]  我就去那裡買了一個
[00:01:00.800 --> 00:01:03.600]  你最喜歡吃的豬扒包給你
[00:01:03.600 --> 00:01:04.760]  我想問 如果你是老婆
[00:01:04.760 --> 00:01:10.560]  你覺得哪個比較貼心
[00:01:10.560 --> 00:01:12.320]  昨天我同工
[00:01:12.320 --> 00:01:13.240]  她老公坐在隔壁
[00:01:13.240 --> 00:01:14.360]  他就很大聲
[00:01:14.360 --> 00:01:18.640]  他就說 兩樣
[00:01:18.640 --> 00:01:20.240]  我今天想和大家分享一個
[00:01:20.240 --> 00:01:21.560]  很貼心的愛
[00:01:21.560 --> 00:01:25.800]  什麼叫做貼心或者貼地呢
[00:01:25.800 --> 00:01:26.440]  我有一次
[00:01:26.440 --> 00:01:28.520]  我們區聚 一月份有一個區聚
[00:01:28.520 --> 00:01:29.480]  那次區聚
[00:01:29.480 --> 00:01:30.240]  我就很想
[00:01:30.240 --> 00:01:31.080]  不只是我說
[00:01:31.080 --> 00:01:32.600]  我很想弟兄姊妹分享
[00:01:32.600 --> 00:01:33.920]  其實小組
[00:01:33.920 --> 00:01:36.600]  他們在裡面經歷的愛是怎樣的呢
[00:01:36.600 --> 00:01:37.800]  其中有一個弟兄
[00:01:37.800 --> 00:01:41.120]  我想說他是一個很高大的弟兄
[00:01:41.120 --> 00:01:43.360]  很高大的弟兄
[00:01:43.360 --> 00:01:45.120]  他就分享
[00:01:45.120 --> 00:01:46.920]  其實他家庭面對困難
[00:01:46.920 --> 00:01:48.640]  他的工作也面對困難
[00:01:48.640 --> 00:01:49.880]  但在當中
[00:01:49.880 --> 00:01:52.560]  他很感受弟兄姊妹的愛
[00:01:52.560 --> 00:01:54.680]  他說有一次崇拜
[00:01:54.680 --> 00:01:56.440]  他是敬拜隊的
[00:01:56.440 --> 00:01:59.240]  他每唱一次為愛而生這首歌
[00:01:59.240 --> 00:02:00.880]  每唱一次就哭一次
[00:02:00.880 --> 00:02:02.480]  他想起弟兄姊妹
[00:02:02.480 --> 00:02:03.520]  覺得很窩心
[00:02:03.520 --> 00:02:05.480]  覺得很溫暖
[00:02:05.480 --> 00:02:09.640]  我再說一個很大的男孩子
[00:02:09.640 --> 00:02:13.680]  我感受到那份愛融化了
[00:02:13.680 --> 00:02:15.560]  其實最感動的就是
[00:02:15.560 --> 00:02:17.800]  其實那天星期二的區聚
[00:02:17.800 --> 00:02:19.520]  平時他們的小組是星期五
[00:02:19.520 --> 00:02:21.320]  他們都有十幾人
[00:02:21.320 --> 00:02:24.200]  有些就說要安頓小朋友
[00:02:24.200 --> 00:02:26.240]  因為平時星期五就簡單
[00:02:26.240 --> 00:02:28.840]  星期二又要總課
[00:02:28.840 --> 00:02:30.680]  但他們都安頓了小朋友
[00:02:30.680 --> 00:02:32.960]  回來區聚支持他
[00:02:32.960 --> 00:02:33.880]  還有一個弟兄
[00:02:33.880 --> 00:02:36.760]  他逢一至四大部分時間都是出差
[00:02:36.760 --> 00:02:39.440]  所以他只可以回到星期五的小組
[00:02:39.440 --> 00:02:41.400]  他說星期二怎麼辦呢
[00:02:41.400 --> 00:02:43.000]  最後他很掙扎
[00:02:43.000 --> 00:02:44.800]  他就改了機票
[00:02:44.800 --> 00:02:46.640]  星期二那天晚上回來
[00:02:46.640 --> 00:02:49.760]  在區聚很想支持這個弟兄
[00:02:49.760 --> 00:02:52.800]  對於一個這麼大的男孩子來說
[00:02:52.800 --> 00:02:56.120]  應該是男人
[00:02:56.120 --> 00:02:57.280]  他真的很感受到
[00:02:57.280 --> 00:02:59.440]  甚麼是真的很窩心
[00:02:59.440 --> 00:03:01.160]  很貼地的愛
[00:03:01.160 --> 00:03:01.560]  弟兄姐妹
[00:03:01.560 --> 00:03:05.360]  我想我們都很渴望這份愛
[00:03:05.360 --> 00:03:07.080]  是不是
[00:03:07.080 --> 00:03:09.040]  祖尼你告訴我們
[00:03:09.040 --> 00:03:11.960]  你就是愛
[00:03:11.960 --> 00:03:13.880]  你都給我們一個新的命令
[00:03:13.880 --> 00:03:16.600]  你叫我們彼此相愛
[00:03:16.600 --> 00:03:19.720]  因為愛是從神而生
[00:03:19.720 --> 00:03:25.440]  祖尼見到這裡有很多你所愛的孩子
[00:03:25.440 --> 00:03:26.680]  很多流著淚
[00:03:26.680 --> 00:03:27.760]  很想告訴你
[00:03:27.760 --> 00:03:29.400]  神啊我們很渴望
[00:03:29.400 --> 00:03:31.000]  很渴望你的愛
[00:03:31.000 --> 00:03:32.360]  神啊我今天求你的愛
[00:03:32.360 --> 00:03:34.000]  充滿我們
[00:03:34.000 --> 00:03:35.360]  溫暖我們
[00:03:35.360 --> 00:03:36.480]  鼓勵我們
[00:03:36.480 --> 00:03:37.520]  幫助我們
[00:03:37.520 --> 00:03:39.040]  讓我們帶著這份愛
[00:03:39.040 --> 00:03:40.760]  是有力的
[00:03:40.760 --> 00:03:42.000]  是為愛而活
