
[00:00:00.000 --> 00:00:03.000]  今天想跟大家分享的訊息
[00:00:03.000 --> 00:00:06.800]  在路加福音第十六章讀了
[00:00:06.800 --> 00:00:11.000]  這段經文提到一個不義的管家
[00:00:11.000 --> 00:00:16.000]  奇怪的地方是不義的意思是不老實
[00:00:16.000 --> 00:00:18.000]  他是行古惑的
[00:00:18.000 --> 00:00:23.000]  但為何耶穌要講一個關於不老實行古惑的管家
[00:00:23.000 --> 00:00:26.000]  還要我們去學他甚麼
[00:00:26.000 --> 00:00:30.000]  所以我們今天想從這段經文去看看
[00:00:30.000 --> 00:00:32.000]  神秉我們的學習是甚麼
[00:00:32.000 --> 00:00:37.000]  其實這個不義管家有一個很特別的地方
[00:00:37.000 --> 00:00:40.000]  就是他很懂得計算,很精打細算
[00:00:40.000 --> 00:00:44.000]  其實我們香港人出了名,是精打細算
[00:00:44.000 --> 00:00:46.000]  我自己在宣教的時候
[00:00:46.000 --> 00:00:49.000]  跟很多世界各地的宣教同工一起工作
[00:00:49.000 --> 00:00:52.000]  本來我在香港數學都不算最好
[00:00:52.000 --> 00:00:58.000]  但當我去到國際世界,就成為數一數二計數厲害的人
[00:00:58.000 --> 00:01:02.000]  因為我們香港人天生出來懂得計數
[00:01:02.000 --> 00:01:04.000]  很多事情都會計算過
[00:01:04.000 --> 00:01:08.000]  例如去旅行,要想過選哪裏酒店便宜點
[00:01:08.000 --> 00:01:10.000]  哪裏的機票便宜點,懂得格價
[00:01:10.000 --> 00:01:14.000]  所以這個管家也是
[00:01:14.000 --> 00:01:16.000]  他很懂得計算
[00:01:16.000 --> 00:01:18.000]  究竟我還要學甚麼
[00:01:18.000 --> 00:01:20.000]  我們既然都已經懂得
[00:01:20.000 --> 00:01:22.000]  所以我們真的要看看這段經文講甚麼
[00:01:22.000 --> 00:01:25.000]  但這段經文我們一定要留意一件事
[00:01:25.000 --> 00:01:27.000]  它是《路加福音》第十六章裏面
[00:01:27.000 --> 00:01:30.000]  為甚麼耶穌無端端會講這個故事呢
[00:01:30.000 --> 00:01:32.000]  我們要回顧回頭
[00:01:32.000 --> 00:01:36.000]  我們要回顧在《路加福音》第十五章發生一件事
[00:01:36.000 --> 00:01:38.000]  以至耶穌講這個故事
[00:01:38.000 --> 00:01:40.000]  當時是這樣的
[00:01:40.000 --> 00:01:46.000]  有一班瑞利和罪人靠近耶穌,想聽耶穌講話
[00:01:46.000 --> 00:01:51.000]  不過法律賽人和律法教師很不滿意
[00:01:51.000 --> 00:01:56.000]  覺得耶穌為何會跟這些罪人吃飯,跟他們聊天
[00:01:56.000 --> 00:02:01.000]  所以耶穌為了回應這些律法教師和法律賽人
[00:02:01.000 --> 00:02:06.000]  於是講了三個失而復得的比喻
[00:02:06.000 --> 00:02:09.000]  就是失錢、失羊和失了兒子
[00:02:09.000 --> 00:02:12.000]  但這三個不見了錢但要找回來
[00:02:12.000 --> 00:02:14.000]  不見了羊要找回來
[00:02:14.000 --> 00:02:16.000]  不見了兒子要等他回來
[00:02:16.000 --> 00:02:18.000]  這三個失而復得的比喻講完之後
[00:02:18.000 --> 00:02:21.000]  第四個故事就是不義的管家的故事
[00:02:21.000 --> 00:02:27.000]  就是說耶穌為了回應律法教師和法律賽人
[00:02:27.000 --> 00:02:29.000]  不滿意祂跟罪人吃飯
[00:02:29.000 --> 00:02:31.000]  而講出這四個故事
[00:02:31.000 --> 00:02:34.000]  如果我們明白了有這樣的背景
[00:02:34.000 --> 00:02:37.000]  就會容易一點明白這個故事講甚麼
[00:02:37.000 --> 00:02:39.000]  我們不如看看這個故事講甚麼
[00:02:39.000 --> 00:02:41.000]  剛才我們讀一讀
[00:02:41.000 --> 00:02:44.000]  原來有一個管家
[00:02:44.000 --> 00:02:46.000]  這個管家是怎樣的呢
[00:02:46.000 --> 00:02:51.000]  當時有個財主他收到消息
[00:02:51.000 --> 00:02:52.000]  收到消息是甚麼呢
[00:02:52.000 --> 00:02:55.000]  原來這個管家是挪用他的錢
[00:02:55.000 --> 00:02:58.000]  應該是虧空供款
[00:02:58.000 --> 00:03:01.000]  用他的錢自己去用
[00:03:01.000 --> 00:03:04.000]  主人聽到這件事就叫了管家來
[00:03:04.000 --> 00:03:07.000]  不行,我聽到有關你這件事
[00:03:07.000 --> 00:03:09.000]  在虧空供款
[00:03:09.000 --> 00:03:11.000]  究竟是甚麼事
