
[00:00:00.000 --> 00:00:03.580]  再一次和大家一起是很開心的
[00:00:03.580 --> 00:00:05.480]  你們也要盡量開心
[00:00:05.480 --> 00:00:07.360]  因為上帝恩待我們
[00:00:07.360 --> 00:00:10.140]  用祂的話去激勵我們
[00:00:10.140 --> 00:00:11.360]  給我們有力量
[00:00:11.360 --> 00:00:13.480]  唱詩唱出我們的心聲
[00:00:13.480 --> 00:00:15.840]  無論是很開心的讚美
[00:00:15.840 --> 00:00:17.620]  無論是很多苦水
[00:00:17.620 --> 00:00:20.300]  今天就全都說出來
[00:00:20.300 --> 00:00:23.220]  全部都吐出來給上帝去醫治
[00:00:23.220 --> 00:00:24.320]  去撫平我們
[00:00:24.320 --> 00:00:25.740]  是一個很好的經歷
[00:00:25.740 --> 00:00:26.940]  今天是父親節
[00:00:29.380 --> 00:00:32.020]  感謝上帝你做到父親
[00:00:32.020 --> 00:00:34.900]  起碼世界上大概有一半人做不到父親
[00:00:34.900 --> 00:00:36.940]  那些可能做母親
[00:00:36.940 --> 00:00:39.140]  起碼我們有些做過
[00:00:39.140 --> 00:00:41.220]  但每一個人都有父親
[00:00:41.220 --> 00:00:43.100]  就是為了上帝讓我有父親
[00:00:43.100 --> 00:00:46.060]  沒有一個父親是完全的
[00:00:46.060 --> 00:00:48.560]  在父親做得好那邊栽培了我們
[00:00:48.560 --> 00:00:52.500]  或者在父親做得不夠完全的
[00:00:52.500 --> 00:00:56.000]  我相信上帝有足夠的能力去補足
[00:00:56.000 --> 00:00:57.660]  你說還沒補足
[00:00:57.660 --> 00:00:59.580]  那個可能不是你父親的問題
[00:00:59.580 --> 00:01:01.620]  是你還沒去到上帝面前
[00:01:01.620 --> 00:01:04.480]  給上帝的安慰、醫治
[00:01:04.480 --> 00:01:07.060]  去補足你父親的不足
[00:01:07.060 --> 00:01:10.460]  父親節
[00:01:10.460 --> 00:01:13.820]  有多少是準備請
[00:01:13.820 --> 00:01:17.700]  或者被邀請去吃自助餐的?
[00:01:17.700 --> 00:01:19.220]  有沒有?
[00:01:19.220 --> 00:01:20.920]  我已經是脫離了這個
[00:01:20.920 --> 00:01:22.220]  不是這個世代
[00:01:22.220 --> 00:01:25.860]  這個年紀去吃自助餐
[00:01:25.860 --> 00:01:28.140]  多數都已經是吃虧的了
[00:01:28.140 --> 00:01:30.060]  這個年紀都是
[00:01:30.060 --> 00:01:33.100]  自助餐香港都是一個吃的文化
[00:01:33.100 --> 00:01:35.660]  我相信如果不是這次父親節去吃自助餐
[00:01:35.660 --> 00:01:38.060]  或者之前都有機會去吃自助餐
[00:01:38.060 --> 00:01:39.860]  有沒有去吃過自助餐之後
[00:01:39.860 --> 00:01:43.060]  嘩!很多好吃的東西
[00:01:43.060 --> 00:01:44.940]  你的策略是什麼?
[00:01:44.940 --> 00:01:47.420]  第一,先巡一個回合
[00:01:47.420 --> 00:01:48.420]  是不是?
[00:01:48.420 --> 00:01:51.540]  這些是自助餐的智慧
[00:01:51.540 --> 00:01:53.700]  看完之後
[00:01:53.700 --> 00:01:57.500]  哪些是平時最名貴、最少機會吃到的
[00:01:57.500 --> 00:01:59.060]  又貴又不划算
[00:01:59.060 --> 00:02:00.900]  不過是很好吃
[00:02:00.900 --> 00:02:02.540]  不過不吃更不划算
[00:02:02.540 --> 00:02:05.580]  所以第一個就去吃那樣東西
[00:02:05.580 --> 00:02:07.300]  是不是?
[00:02:07.300 --> 00:02:08.500]  是不是還是不是?
[00:02:08.500 --> 00:02:10.420]  現在還沒說耶穌還沒入題
[00:02:10.420 --> 00:02:12.620]  已經開始暈暈的
[00:02:12.620 --> 00:02:13.580]  是不是?
[00:02:13.580 --> 00:02:15.100]  是不是?
