
[00:00:00.000 --> 00:00:03.020]  今日這一段 剛才大家讀的經文
[00:00:03.020 --> 00:00:07.120]  很多人都會很熟 和通常都會很喜歡
[00:00:07.120 --> 00:00:11.300]  這一篇的詩篇是講
[00:00:11.300 --> 00:00:20.940]  表面上 或者實際上 都是相當是講到家庭 兒女
[00:00:20.940 --> 00:00:24.200]  但是我感到神給我
[00:00:24.200 --> 00:00:27.860]  是很 臨到決定要用什麼題目的時候
[00:00:27.860 --> 00:00:31.680]  就改了 叫做「勇士守中的戰」
[00:00:31.680 --> 00:00:36.420]  馬上好像有力了很多 那個題目
[00:00:36.420 --> 00:00:44.740]  如果我說「快樂家庭」 大家就會「啊」
[00:00:44.740 --> 00:00:52.180]  今日要跟大家講的訊息 就是關於「教導子女」
[00:00:52.180 --> 00:00:56.580]  促使我講這個題目的原因是
[00:00:56.580 --> 00:00:58.680]  其實我忍了很久了
[00:00:58.680 --> 00:01:02.800]  是因為幾個月前 在電郵、電郵那裡
[00:01:02.800 --> 00:01:06.560]  我收到一封信 一封公開信
[00:01:06.560 --> 00:01:11.840]  是吳主光牧師向會友 向他的信徒
[00:01:11.840 --> 00:01:15.700]  向他的會友 向他認識的朋友
[00:01:15.700 --> 00:01:21.860]  寫的告別信
[00:01:21.860 --> 00:01:27.260]  我感受到 他很可能是在重病的末期
[00:01:27.260 --> 00:01:32.080]  故此他很心急 或者很想向大家
[00:01:32.080 --> 00:01:39.300]  去分享他這個心聲 他現在那一刻的心聲
[00:01:39.300 --> 00:01:47.140]  我就抽其中一些說話 來跟大家簡述一下
[00:01:47.140 --> 00:01:52.760]  他說他很感謝神 他已經做完工了
[00:01:52.760 --> 00:01:56.900]  他回想一生 覺得神對他很好
[00:01:56.900 --> 00:02:02.380]  他一無所缺 本來可以一無掛慮的了
[00:02:02.380 --> 00:02:09.580]  唯獨掛心下一代 和再下一代
[00:02:09.580 --> 00:02:15.680]  他說因為他們要面對那個世代 是越來越難
[00:02:15.680 --> 00:02:22.820]  他們信主難 信純正的福音難
[00:02:22.820 --> 00:02:28.460]  要守住所信的真道更難
[00:02:28.460 --> 00:02:33.800]  教會的傳道人當然有責任傳講純正的福音
[00:02:33.800 --> 00:02:37.900]  而父母也都當然有責任
[00:02:37.900 --> 00:02:45.860]  想想 父母若果不重視兒女的德教和靈性的問題
[00:02:45.860 --> 00:02:50.340]  試問還有誰可以幫到他們呢?
[00:02:50.340 --> 00:02:55.460]  他們怎麼可能抵受得住撒旦的攻擊呢?
[00:02:55.460 --> 00:02:59.300]  屬神的人越來越孤單
[00:02:59.300 --> 00:03:04.320]  他看見身邊很多的基督徒跌倒
[00:03:04.320 --> 00:03:10.600]  很多入了迷惑 很多愛心已經冷淡
[00:03:10.600 --> 00:03:17.980]  甚至有些為敵基督來鋪路 做撒旦的工具
[00:03:17.980 --> 00:03:24.940]  這個就是他最掛心的事
[00:03:24.940 --> 00:03:30.900]  我看完那封信 我即時心裏的回應就是這樣
[00:03:30.900 --> 00:03:37.600]  的確 現今想做一個真正敬虔的父母
[00:03:37.600 --> 00:03:39.440]  真的不容易
[00:03:39.440 --> 00:03:44.520]  越來越難 而且越來越孤單
[00:03:44.520 --> 00:03:51.440]  很容易就會妥協 很容易就會放棄
[00:03:51.440 --> 00:03:56.640]  故此 盼望透過今日的經文和訊息
[00:03:56.640 --> 00:03:59.500]  能夠提高我們的警覺
[00:03:59.500 --> 00:04:08.580]  還可以幫助我們怎樣去教導我們的兒女成為敬虔的人
[00:04:08.580 --> 00:04:17.860]  我們先看詩篇127篇第一節
[00:04:17.860 --> 00:04:18.540]  第一節
[00:04:18.540 --> 00:04:22.920]  若不是耶和華建造房屋 建造的人就枉然勞力
[00:04:22.920 --> 00:04:29.480]  若不是耶和華看守城池 看守的人就枉然警醒
[00:04:29.480 --> 00:04:39.440]  房屋這個字可以翻譯成家庭 一家一主一戶的意思
[00:04:39.440 --> 00:04:47.140]  如果說到敬拜方面就是聖殿 皇宮
