
[00:00:00.000 --> 00:00:16.140]  ♪ 悲傷的音樂 ♪
[00:00:16.140 --> 00:00:19.120]  弟兄姊妹我們同心禱告
[00:00:19.120 --> 00:00:20.580]  親愛的天父
[00:00:20.580 --> 00:00:23.340]  我們求你聽我們的禱告
[00:00:23.340 --> 00:00:26.640]  用我們的呼求達到你的面前
[00:00:26.640 --> 00:00:29.080]  世界各地因着疫情的影響
[00:00:29.080 --> 00:00:30.880]  有人失去生命
[00:00:30.880 --> 00:00:32.600]  有人失去家人
[00:00:32.600 --> 00:00:34.400]  有人失去健康
[00:00:34.400 --> 00:00:36.320]  有人失去工作
[00:00:36.320 --> 00:00:38.460]  有人失去自由
[00:00:38.460 --> 00:00:40.280]  我們有時變得無助
[00:00:40.280 --> 00:00:41.580]  變得孤單
[00:00:41.580 --> 00:00:43.120]  變得鬱悶
[00:00:43.120 --> 00:00:45.720]  人與人之間的距離很遠
[00:00:45.720 --> 00:00:49.600]  國與國之間的分歧很大
[00:00:49.600 --> 00:00:52.120]  我們雖然知道禰是掌管一切的神
[00:00:52.120 --> 00:00:54.040]  但是現實世界的失控
[00:00:54.040 --> 00:00:56.240]  祂是影響着我們的心情
[00:00:56.240 --> 00:00:59.240]  我們有時都會憂慮
[00:00:59.240 --> 00:01:00.160]  神啊
[00:01:00.160 --> 00:01:02.420]  求禰賜下安慰和勇氣
[00:01:02.420 --> 00:01:06.000]  讓我們能夠定睜仰望神禰的榮美
[00:01:06.000 --> 00:01:08.080]  即使在惡劣的環境下
[00:01:08.080 --> 00:01:11.360]  禰必然指引我們當行的道路
[00:01:11.360 --> 00:01:13.400]  禰又賜下聖經
[00:01:13.400 --> 00:01:15.720]  使我們得到亮光
[00:01:15.720 --> 00:01:19.440]  我們也可以隨時向禰禱告、呼求
[00:01:19.440 --> 00:01:21.840]  並且可以去尋求禰的幫助
[00:01:21.840 --> 00:01:25.280]  每日靠主得力前行
[00:01:25.280 --> 00:01:28.720]  主啊,我們感謝禰明白人的困苦
[00:01:28.720 --> 00:01:32.480]  因爲禰也曾經親上人間的苦難
[00:01:32.480 --> 00:01:35.680]  當我們回望過去的痛苦經歷時
[00:01:35.680 --> 00:01:38.000]  我們發現禰的足印
[00:01:38.000 --> 00:01:39.520]  原來我們的過去
[00:01:39.520 --> 00:01:41.680]  都有禰與我們同行
[00:01:41.680 --> 00:01:44.920]  我們滿心感謝禰以厚恩待我們
[00:01:44.920 --> 00:01:48.160]  奉主耶穌基督的明智祈求
[00:01:48.160 --> 00:01:49.160]  阿們
