
[00:00:00.000 --> 00:00:03.000]  各位 今天準備陪你們早安
[00:00:03.000 --> 00:00:07.000]  今天很高興要跟各位來分享信息
[00:00:07.000 --> 00:00:13.000]  創世紀的第二十四章到十五節
[00:00:13.000 --> 00:00:16.000]  亞伯拉罕有一個老夫人
[00:00:16.000 --> 00:00:19.000]  她的名字叫做以利以謝
[00:00:19.000 --> 00:00:20.000]  Ilias
[00:00:20.000 --> 00:00:22.000]  神是我的幫助
[00:00:22.000 --> 00:00:27.000]  所以神一路幫助她 一路帶領她
[00:00:27.000 --> 00:00:30.000]  本來亞伯拉罕還沒有兒子的時候
[00:00:30.000 --> 00:00:32.000]  準備她的整個家產
[00:00:32.000 --> 00:00:35.000]  將來就要留給老夫人的
[00:00:35.000 --> 00:00:37.000]  跟了她一輩子了
[00:00:37.000 --> 00:00:39.000]  好像一家自己家的人一樣
[00:00:39.000 --> 00:00:42.000]  但是後來生了以薩的時候
[00:00:42.000 --> 00:00:46.000]  以利以謝又成為了以薩的夫人
[00:00:46.000 --> 00:00:48.000]  所以這一個老夫人
[00:00:48.000 --> 00:00:50.000]  她真是非常的忠心
[00:00:50.000 --> 00:00:52.000]  我有的時候在想
[00:00:52.000 --> 00:00:53.000]  假如我是這個老夫人的話
[00:00:53.000 --> 00:00:55.000]  我不知道心裡面怎麼想
[00:00:55.000 --> 00:00:57.000]  你知道嗎?
[00:00:57.000 --> 00:01:00.000]  本來亞伯拉罕這些產業都歸我了
[00:01:00.000 --> 00:01:02.000]  但是現在小主人出生了
[00:01:02.000 --> 00:01:04.000]  以後就要歸小主人了
[00:01:04.000 --> 00:01:07.000]  心裡面真的是百感交集
[00:01:07.000 --> 00:01:11.000]  但是這個老夫人她忠心
[00:01:11.000 --> 00:01:16.000]  我以利以謝成為我們無人侍奉的典範
[00:01:16.000 --> 00:01:18.000]  讓我們聽著禱告
[00:01:18.000 --> 00:01:19.000]  阿爸菩薩
[00:01:19.000 --> 00:01:21.000]  我感謝你 我讚美你
[00:01:21.000 --> 00:01:25.000]  因為你檢許我們來侍奉
[00:01:25.000 --> 00:01:29.000]  來侍奉你的教會 你的肢體
[00:01:29.000 --> 00:01:31.000]  來侍奉彼此
[00:01:31.000 --> 00:01:34.000]  而我們侍奉所帶的能力
[00:01:34.000 --> 00:01:37.000]  所得到的能力是從你而來的
[00:01:37.000 --> 00:01:41.000]  我們侍奉不是靠冰牆法狀
[00:01:41.000 --> 00:01:43.000]  那是靠耶和華的靈
[00:01:43.000 --> 00:01:46.000]  方能成事 才可以侍奉
[00:01:46.000 --> 00:01:48.000]  神啊 我們謝謝你
[00:01:48.000 --> 00:01:51.000]  因為你在這一切的事上
[00:01:51.000 --> 00:01:53.000]  你使用以利以謝
[00:01:53.000 --> 00:01:55.000]  你幫助他
[00:01:55.000 --> 00:01:56.000]  同樣的
[00:01:56.000 --> 00:02:00.000]  我們也願意做一個忠心的老夫人
[00:02:00.000 --> 00:02:02.000]  求你來賜福於我們
[00:02:02.000 --> 00:02:03.000]  帶領我們
[00:02:03.000 --> 00:02:06.000]  讓我們的侍奉也是有果效的
[00:02:06.000 --> 00:02:07.000]  感謝你
[00:02:07.000 --> 00:02:11.000]  禱告讚是奉祖耶穌基督的名
[00:02:11.000 --> 00:02:13.000]  阿們
[00:02:13.000 --> 00:02:15.000]  有的時候我就想說感謝誰
[00:02:15.000 --> 00:02:19.000]  因為神在掌權作為
[00:02:19.000 --> 00:02:22.000]  我們也不過是一個忠心的夫人
[00:02:22.000 --> 00:02:25.000]  我們不過是一個忠心的使女
[00:02:25.000 --> 00:02:26.000]  我高興不高興
[00:02:26.000 --> 00:02:30.000]  我都必須要甘心樂意的來做
[00:02:30.000 --> 00:02:33.000]  就算說我不受重視
[00:02:33.000 --> 00:02:36.000]  就算說我沒有得到報酬
[00:02:36.000 --> 00:02:38.000]  我知道
[00:02:38.000 --> 00:02:40.000]  神祂節全我
[00:02:40.000 --> 00:02:42.000]  我就知道我要向祂調查
[00:02:42.000 --> 00:02:47.000]  我就知道祂有更好的成就給我
[00:02:47.000 --> 00:02:51.000]  神看我們是忠心良善的夫人
[00:02:51.000 --> 00:02:55.000]  祂會為我們積蓄更多的財寶
[00:02:55.000 --> 00:02:58.000]  祂在今生就會賜福給我們
[00:02:58.000 --> 00:03:01.000]  祂在來生有更多的獎賞
[00:03:01.000 --> 00:03:03.000]  我常常喜歡講說
[00:03:03.000 --> 00:03:06.000]  我們都有戴上各式各樣的冠冕不是嗎
[00:03:06.000 --> 00:03:08.000]  仁愛的冠冕
[00:03:08.000 --> 00:03:09.000]  公義的冠冕
[00:03:09.000 --> 00:03:10.000]  喜樂的冠冕
[00:03:10.000 --> 00:03:12.000]  不可羞懷的冠冕
[00:03:12.000 --> 00:03:17.000]  神都要嫁給我們了
[00:03:17.000 --> 00:03:18.000]  一律一切
[00:03:18.000 --> 00:03:21.000]  這一個忠心的老夫人
