
[00:00:00.000 --> 00:00:04.140]  今日的信息是叫做末世的國族
[00:00:04.140 --> 00:00:07.580]  我們知道中文的成語都有說
[00:00:07.580 --> 00:00:10.440]  國族中原
[00:00:10.440 --> 00:00:13.640]  國族這個字就是爭鬥的意思
[00:00:13.640 --> 00:00:16.500]  但是和聖經的教導是很相似的
[00:00:16.500 --> 00:00:20.720]  聖經裏面說動物的國是它的力量
[00:00:20.720 --> 00:00:25.940]  所以我們見到末世是用國來代表不同的國家
[00:00:26.100 --> 00:00:31.120]  末世的國族就是代表末世有很多的爭鬥
[00:00:31.120 --> 00:00:36.340]  上次和大家講《謹古常載者》
[00:00:36.340 --> 00:00:38.820]  我們是介紹神自己
[00:00:38.820 --> 00:00:40.980]  就是那位自由永久的神
[00:00:40.980 --> 00:00:43.320]  今天剛剛相反
[00:00:43.320 --> 00:00:46.440]  今天要和大家講的是狄基督
[00:00:46.440 --> 00:00:49.820]  是撒旦的化身
[00:00:49.820 --> 00:00:55.400]  如果我和大家講說末世
[00:00:55.400 --> 00:00:57.980]  相信有很多人會彎着頭
[00:00:57.980 --> 00:01:00.400]  末世和我有什麼關係
[00:01:00.400 --> 00:01:03.980]  說到耶穌基督再次來臨
[00:01:03.980 --> 00:01:06.220]  有很多人好像提不起勁
[00:01:06.220 --> 00:01:08.420]  好像覺得不是很重要一樣
[00:01:08.420 --> 00:01:11.760]  但是其實在聖經裏面
[00:01:11.760 --> 00:01:14.620]  末世是一個很重要的信息
[00:01:14.620 --> 00:01:17.760]  我們首先看看聖經裏面
[00:01:17.760 --> 00:01:20.260]  講語言的經文是有多少
[00:01:20.260 --> 00:01:23.960]  差不多全部經文的四分之一
[00:01:23.960 --> 00:01:27.580]  全部聖經的四分之一是講語言
[00:01:27.580 --> 00:01:33.360]  在舊約有23145節的經文
[00:01:33.360 --> 00:01:37.740]  有6642節是講到語言
[00:01:37.740 --> 00:01:42.500]  在新約有7957節的經文
[00:01:42.500 --> 00:01:47.080]  有1711節的經文是講到語言
[00:01:47.080 --> 00:01:49.180]  也就是說在舊約
[00:01:49.180 --> 00:01:53.980]  每三節的經文就差不多有一節是講語言
[00:01:53.980 --> 00:01:58.700]  在新約每五節的經文就有一節是講語言
[00:01:58.700 --> 00:02:02.120]  你將新舊約加在一起的話
[00:02:02.120 --> 00:02:06.920]  差不多全部聖經四分之一就是講語言
[00:02:06.920 --> 00:02:11.280]  而語言當中又有三分之一
[00:02:11.280 --> 00:02:14.840]  是講到耶穌基督的第二次來臨
[00:02:14.840 --> 00:02:17.400]  差不多十分之一
[00:02:17.400 --> 00:02:18.740]  很厲害
[00:02:20.180 --> 00:02:23.640]  如果我們不看篇幅 看次數的話
[00:02:23.640 --> 00:02:27.960]  在聖經裏面有講到耶穌基督的語言有很多
[00:02:27.960 --> 00:02:31.260]  有講到祂第一次來臨的語言
[00:02:31.260 --> 00:02:34.880]  在舊約是提了355次
[00:02:34.880 --> 00:02:38.320]  而講到祂第二次來臨的語言
[00:02:38.320 --> 00:02:40.760]  就有1527次
[00:02:40.760 --> 00:02:43.960]  也就是說是祂第一次來臨的五倍
[00:02:43.960 --> 00:02:49.000]  在新約有109次講到祂第一次來臨
[00:02:49.000 --> 00:02:53.480]  說到第二次是有224次
[00:02:53.480 --> 00:02:56.460]  也就是說每一次講祂第一次的來臨
[00:02:56.460 --> 00:02:59.200]  就有兩次講祂第二次的來臨
[00:02:59.200 --> 00:03:03.120]  每24節新約的經文
[00:03:03.120 --> 00:03:07.000]  差不多就有一節是講到耶穌基督第二次的來臨
[00:03:07.000 --> 00:03:09.920]  而如果我們講篇幅的話
[00:03:09.920 --> 00:03:13.080]  每一次講到耶穌基督第一次的來臨
[00:03:13.080 --> 00:03:17.080]  就有八倍的經文是講祂第二次的來臨
[00:03:19.160 --> 00:03:23.240]  耶穌基督第二次的來臨的信息其實是非常非常重要
[00:03:23.240 --> 00:03:27.120]  我們知道聖經裏面時時和我們講信心
[00:03:27.120 --> 00:03:29.680]  有很多講信心的經文
[00:03:29.680 --> 00:03:32.120]  除了信心以外
[00:03:32.120 --> 00:03:37.200]  最多提及的就是耶穌基督第二次來臨的經文
[00:03:37.200 --> 00:03:44.680]  而每當有一次講到耶穌基督的救贖
[00:03:44.680 --> 00:03:48.480]  就有兩次是講到耶穌基督第二次來臨
[00:03:49.320 --> 00:03:52.320]  全部九位新約的作者
[00:03:52.320 --> 00:03:56.200]  在這裏27部新約的書信
[00:03:56.200 --> 00:04:00.440]  居然有23部提到祂第二次的來臨
[00:04:00.440 --> 00:04:06.560]  耶穌基督自己21次提到祂會再來世上
[00:04:06.560 --> 00:04:14.840]  而在聖經裏面有超過50次提醒我們的信徒
[00:04:14.840 --> 00:04:20.160]  是要警醒因爲耶穌基督隨時都會回來這個世上
[00:04:20.160 --> 00:04:27.280]  今天要和大家繼續講的是《但爾利書》第七章
[00:04:27.280 --> 00:04:30.200]  《但爾利書》第七章有一樣很有趣的
[00:04:30.200 --> 00:04:34.240]  就是每一次有重要的事情發生的時候
[00:04:34.240 --> 00:04:37.840]  都會有一個相同的開場白
[00:04:37.840 --> 00:04:40.000]  這個開場白是什麼
[00:04:40.000 --> 00:04:44.840]  就是「但爾利華,我在夜間看見異象」
[00:04:44.840 --> 00:04:47.320]  在這七章二節出現過
[00:04:47.320 --> 00:04:52.520]  是講前面四個國家的頭三個國家
[00:04:52.520 --> 00:04:54.680]  在這七章七節又出現
[00:04:54.680 --> 00:04:57.120]  是講第四個國家
[00:04:57.120 --> 00:04:58.480]  即是羅馬
[00:04:58.480 --> 00:05:01.440]  在這七章十三節又繼續出現
[00:05:01.440 --> 00:05:04.200]  是講到耶穌基督的國家
[00:05:04.200 --> 00:05:08.320]  每逢重要的都有同一樣的開場白
[00:05:08.320 --> 00:05:11.360]  七章二節是講到三個國家
[00:05:11.360 --> 00:05:13.640]  獅子是代表巴比倫
[00:05:13.640 --> 00:05:16.880]  紅隱是代表馬來波斯
[00:05:16.880 --> 00:05:20.160]  還有豹是代表希臘
[00:05:20.160 --> 00:05:24.480]  爲什麼講到第四個國家又重新有個開場白出來
[00:05:24.480 --> 00:05:26.560]  因爲第四個國家很重要
[00:05:26.560 --> 00:05:29.200]  和前面三個國家是完全不同
[00:05:29.200 --> 00:05:33.880]  但爾利是想不到有一個動物可以代表第四個國家
[00:05:33.880 --> 00:05:39.480]  他說只不過是一個十個國的國家
[00:05:39.480 --> 00:05:43.360]  而它不能夠講出一個是什麼動物
