
[00:00:00.000 --> 00:00:03.140]  今天和大家繼續看這個詩篇23篇
[00:00:03.140 --> 00:00:05.420]  而今天我們主要來看經文
[00:00:05.420 --> 00:00:07.800]  就是第23篇的第4節
[00:00:07.800 --> 00:00:08.840]  就是講什麼呢?
[00:00:08.840 --> 00:00:12.720]  是我雖然行過死刃的幽谷
[00:00:12.720 --> 00:00:14.140]  也不怕遭害
[00:00:14.140 --> 00:00:17.360]  因為你與我同在
[00:00:17.360 --> 00:00:20.620]  你的像、你的光都安慰我
[00:00:20.620 --> 00:00:24.260]  詩篇23篇我都和大家提過
[00:00:24.260 --> 00:00:25.520]  整體來講
[00:00:25.520 --> 00:00:30.280]  最初就好像詩人和神是有一個距離的
[00:00:30.280 --> 00:00:33.320]  而說:是我的目者,我必不知缺乏
[00:00:33.320 --> 00:00:35.780]  他使我躺在青草地上
[00:00:35.780 --> 00:00:37.660]  他使我的靈魂蘇醒
[00:00:37.660 --> 00:00:40.320]  用自己的名字引導我走二路
[00:00:40.320 --> 00:00:41.380]  接著來到這裡
[00:00:41.380 --> 00:00:43.160]  我雖然行過死刃的幽谷
[00:00:43.160 --> 00:00:44.080]  也不怕遭害
[00:00:44.080 --> 00:00:45.680]  因為你與我同在
[00:00:45.680 --> 00:00:46.720]  你我
[00:00:46.720 --> 00:00:48.900]  本來他我、他和我
[00:00:48.900 --> 00:00:50.200]  現在變成你和我
[00:00:50.200 --> 00:00:52.040]  大家是近了距離
[00:00:52.040 --> 00:00:54.380]  不一定是地理的近距離
[00:00:54.380 --> 00:00:57.120]  是大家彼此之間的距離近了
[00:00:57.120 --> 00:00:57.860]  是不是?
[00:00:57.860 --> 00:00:59.880]  所以到了這裡
[00:00:59.880 --> 00:01:05.620]  在詩人在經歷最辛苦艱難的時刻
[00:01:05.620 --> 00:01:10.480]  他就說:我雖然行過死刃的幽谷
[00:01:10.480 --> 00:01:12.160]  也不怕遭害
[00:01:12.160 --> 00:01:15.800]  而在這一節裡面
[00:01:15.800 --> 00:01:18.140]  第四章23章
[00:01:18.140 --> 00:01:19.160]  那個「我」字
[00:01:19.160 --> 00:01:21.320]  「我雖然行過死刃的幽谷也不怕遭害」
[00:01:21.320 --> 00:01:22.840]  因為你與我同在
[00:01:22.840 --> 00:01:23.880]  你的像、你的光
[00:01:23.880 --> 00:01:25.040]  光東光西「我」
[00:01:25.040 --> 00:01:26.560]  這個詩人
[00:01:26.560 --> 00:01:28.960]  說這句話的時候是很切身的
[00:01:28.960 --> 00:01:30.640]  「我」、「我」、「我」
[00:01:30.640 --> 00:01:32.000]  他很切身的
[00:01:32.000 --> 00:01:36.240]  不是在說有些人他們遭遇到困難
[00:01:36.240 --> 00:01:37.260]  苦難什麼的
[00:01:37.260 --> 00:01:39.460]  是他自己遭遇到困難、苦難
[00:01:39.460 --> 00:01:40.960]  因為詩篇23篇
[00:01:40.960 --> 00:01:43.960]  是說一個牧羊人帶著羊
[00:01:43.960 --> 00:01:46.660]  他帶著牧羊人從一個地方找草吃
[00:01:46.660 --> 00:01:47.880]  去另一個地方
[00:01:47.880 --> 00:01:52.060]  那條路不一定是很平坦的路
[00:01:52.060 --> 00:01:53.920]  陽光充滿的路
[00:01:53.920 --> 00:01:57.380]  有時候去到一些幽谷的地方
[00:01:57.380 --> 00:01:58.860]  死刃的幽谷
[00:01:58.860 --> 00:01:59.940]  什麼叫幽谷?
[00:01:59.940 --> 00:02:04.920]  我很多年前曾經跟一個神父
