
[00:00:00.000 --> 00:00:04.340]  各位來賓 主內的弟兄姊妹 早晨
[00:00:04.340 --> 00:00:09.600]  我們再次來到神的殿中去聆聽神的話語
[00:00:09.600 --> 00:00:13.060]  轉眼間我們就過了五個月了
[00:00:13.060 --> 00:00:18.360]  我們從一月開始 我還記得我剛剛是確診的時候
[00:00:18.360 --> 00:00:20.800]  就開始了約書亞記的第一章
[00:00:20.800 --> 00:00:25.720]  直到現在五月尾 我們就來到約書亞記的最後一章
[00:00:25.720 --> 00:00:30.420]  我們一同去看這個主題 就是同心地去跟隨神
[00:00:30.420 --> 00:00:32.920]  這個到24章的時候
[00:00:32.920 --> 00:00:36.200]  我們會看到約書亞在臨終的時候
[00:00:36.200 --> 00:00:38.660]  他對以色列人的教訓
[00:00:38.660 --> 00:00:45.000]  這個禮拜是國殤節Memorial Day的長週末的假期
[00:00:45.000 --> 00:00:52.000]  在這個假期裏面 我們也紀念到我們美國的國民
[00:00:52.000 --> 00:00:58.660]  他們直接去當兵 將他們的生命獻給國家
[00:00:58.660 --> 00:01:04.800]  使我們國家能夠有自由民主的事情
[00:01:04.800 --> 00:01:09.400]  但是這班軍人的使命感很強
[00:01:09.400 --> 00:01:12.220]  我以前在軍部做工的時候
[00:01:12.220 --> 00:01:16.460]  我們永遠都會提到Mission Focus這個理念
[00:01:16.460 --> 00:01:20.860]  我們是為了這個使命去完成我們一天的任務
[00:01:20.860 --> 00:01:23.520]  我們的目標是非常清晰的
[00:01:23.520 --> 00:01:27.300]  我們進到辦公室的時候 進到大建築物的時候
[00:01:27.300 --> 00:01:31.480]  我們都看到我們所服侍的對象是誰
[00:01:31.480 --> 00:01:33.480]  我們的Stakeholder是誰
[00:01:33.480 --> 00:01:42.000]  他們所揀選的 最後就是願意去為國犧牲他們的生命
[00:01:42.000 --> 00:01:48.520]  我們為此在這個長週末當中要紀念他們的貢獻
[00:01:48.520 --> 00:01:50.940]  我們在信了主以後
[00:01:50.940 --> 00:01:55.420]  我們都選定了跟隨主耶穌基督為我們個人救主的時候
[00:01:55.420 --> 00:02:00.240]  我們都是目標清晰 也是滿有使命感
[00:02:00.240 --> 00:02:02.720]  我們做一個屬靈基督徒的時候
[00:02:02.720 --> 00:02:04.560]  我們去到每一個階段
[00:02:04.560 --> 00:02:10.580]  我們都要認定我們怎樣去跟隨我們的主耶穌基督
[00:02:10.580 --> 00:02:13.800]  我們教會重開了 完全重開的時候
[00:02:13.800 --> 00:02:16.000]  我們進入一個新的階段
[00:02:16.000 --> 00:02:20.540]  我們怎樣去迎接 繼續去跟隨神呢
[00:02:20.540 --> 00:02:24.480]  在約書亞記一直從第一章看到24章的時候
[00:02:24.480 --> 00:02:29.260]  我們看到以色列子民都是同心地去跟隨耶和華
[00:02:29.260 --> 00:02:31.760]  他們一步一步地去跟隨耶和華
[00:02:31.760 --> 00:02:37.460]  帶領他們從大汗東岸進入迦南地的時候
[00:02:37.460 --> 00:02:39.760]  約書亞都是他們的領袖
[00:02:39.760 --> 00:02:46.360]  約書亞帶領這班子民來到迦南地
[00:02:46.360 --> 00:02:49.540]  現在約書亞已經年紀老邁了
[00:02:49.540 --> 00:02:51.160]  去到23章的時候
[00:02:51.160 --> 00:02:54.740]  我們看到約書亞記的第一次召集
[00:02:54.740 --> 00:02:57.740]  他們這班以色列民的領袖的時候
[00:02:57.740 --> 00:03:00.760]  他有臨終的說話跟他們分享
[00:03:00.760 --> 00:03:05.840]  這次去到24章是第二次約書亞召集這班領袖
[00:03:05.840 --> 00:03:10.060]  這次他還召集了他們的百姓子民來到當中
[00:03:10.060 --> 00:03:12.660]  去聽約書亞的教導
[00:03:12.660 --> 00:03:18.460]  在他離世之後怎樣去跟隨耶和華神
[00:03:18.460 --> 00:03:28.220]  我們今天會從約書亞記24章的時候
[00:03:28.220 --> 00:03:31.820]  看一個主題
