
[00:00:00.000 --> 00:00:03.920]  今天我們要分享的題目叫做改革之路
[00:00:03.920 --> 00:00:07.920]  我不知道你有沒有曾經經歷過生命有些狀況
[00:00:07.920 --> 00:00:10.560]  簡直就是混亂不堪
[00:00:10.560 --> 00:00:13.320]  甚至到了一個情況你覺得不行了
[00:00:13.320 --> 00:00:15.200]  我們要從頭再來過
[00:00:15.200 --> 00:00:17.920]  或者我們要撥亂反正
[00:00:17.920 --> 00:00:20.960]  我就記起我在英國讀書的時候
[00:00:20.960 --> 00:00:25.160]  當時就跟兩生的同學在同一個宿舍房間
[00:00:25.160 --> 00:00:26.240]  有一天
[00:00:26.240 --> 00:00:27.520]  宿舍就說不行了
[00:00:27.520 --> 00:00:29.640]  現在你們這個房間要修理
[00:00:29.640 --> 00:00:31.880]  所以很快就會搬到另一個房間
[00:00:31.880 --> 00:00:33.400]  於是我們的同學就說
[00:00:33.400 --> 00:00:34.440]  那快點修理吧
[00:00:34.440 --> 00:00:36.680]  於是這就修理那樣
[00:00:36.680 --> 00:00:37.880]  這就搬那樣
[00:00:37.880 --> 00:00:38.840]  這就拆那樣
[00:00:38.840 --> 00:00:40.840]  我們就一起搬啊搬啊
[00:00:40.840 --> 00:00:43.480]  修理啊修理啊拆啊拆啊
[00:00:43.480 --> 00:00:45.480]  我們又看看新的房間是怎樣
[00:00:45.480 --> 00:00:47.080]  於是就先搬一些東西過去
[00:00:47.080 --> 00:00:48.840]  就這樣出出入入
[00:00:48.840 --> 00:00:50.840]  轉了幾圈之後突然間
[00:00:50.840 --> 00:00:53.360]  我回到我們的房間的時候
[00:00:53.360 --> 00:00:55.320]  這個是設計圖片而已
[00:00:55.320 --> 00:00:56.920]  我發現東西亂到
[00:00:56.920 --> 00:00:59.080]  我根本不能夠再修理下去
[00:00:59.080 --> 00:01:01.560]  因為開始整個房間都是東西的時候
[00:01:01.560 --> 00:01:03.560]  我開始分不清那些東西是我的
[00:01:03.560 --> 00:01:05.000]  就是我的同學的
[00:01:05.000 --> 00:01:06.560]  因為我們讀同一科的
[00:01:06.560 --> 00:01:08.840]  所以那些書卷是我的還是他的呢
[00:01:08.840 --> 00:01:10.480]  這些東西是我還是他的呢
[00:01:10.480 --> 00:01:12.440]  整個房間都是東西怎麼修理呢
