
[00:00:00.000 --> 00:00:02.400]  早晨 弟兄姊妹
[00:00:02.400 --> 00:00:05.700]  想問一下 上兩個禮拜
[00:00:05.700 --> 00:00:09.700]  牧師講的那兩堂道有多少人在場
[00:00:09.700 --> 00:00:12.500]  大部分人在場 給一點掌聲給那個
[00:00:12.500 --> 00:00:14.900]  因為那兩篇道是沒有上網的
[00:00:14.900 --> 00:00:18.200]  所以怕大家follow不到
[00:00:18.200 --> 00:00:22.200]  我們本身今年是在講建立生命
[00:00:22.200 --> 00:00:25.500]  所以去到第三講的時候
[00:00:25.500 --> 00:00:30.300]  我想分享的是一個在愛中成長的題目
[00:00:30.300 --> 00:00:36.400]  原因是我們上兩篇道是在講什麼
[00:00:36.400 --> 00:00:41.400]  啊 其實不上網聽回不記得
[00:00:41.400 --> 00:00:42.700]  為什麼會講這個題目
[00:00:42.700 --> 00:00:44.400]  因為我覺得follow下去
[00:00:44.400 --> 00:00:45.900]  在一個break要傾一傾
[00:00:45.900 --> 00:00:48.200]  不只是講我們和上帝的關係
[00:00:48.200 --> 00:00:50.200]  頭兩堂其實牧師在講的
[00:00:50.200 --> 00:00:52.800]  第一個就是我們關於信任的問題
[00:00:52.800 --> 00:00:55.600]  我們基督徒常常講信靠 信靠
[00:00:55.600 --> 00:00:57.100]  其實講到我們廣東話
[00:00:57.100 --> 00:00:59.100]  是否信任上帝
[00:00:59.100 --> 00:01:02.800]  你的想法和上帝的想法是不一致的時候
[00:01:02.800 --> 00:01:07.100]  究竟你是願不願意去相信上帝
[00:01:07.100 --> 00:01:09.900]  而信任祂的安排 或者祂的帶領
[00:01:09.900 --> 00:01:13.700]  第二堂道是講關於順從的問題
[00:01:13.700 --> 00:01:16.000]  我們常常講順服
[00:01:16.000 --> 00:01:18.800]  但是要順氣也不是很服
[00:01:18.800 --> 00:01:21.900]  但是某程度來說
[00:01:21.900 --> 00:01:23.500]  如果你講這兩個字
[00:01:23.500 --> 00:01:26.600]  我覺得好像一個大銀的兩面
[00:01:26.600 --> 00:01:31.000]  為什麼你不能順從上帝的教導去走
