
[00:00:00.000 --> 00:00:05.260]  我們今天在講道的訊息裏
[00:00:05.260 --> 00:00:08.040]  跟大家一起思想的就是這個題目
[00:00:08.040 --> 00:00:13.300]  專一向神的人生
[00:00:13.300 --> 00:00:15.680]  今天我們會從三條經文
[00:00:15.680 --> 00:00:18.620]  我們留意有三個很特別的人物
[00:00:18.620 --> 00:00:22.980]  看看一個人生應該怎樣專注在神上
[00:00:22.980 --> 00:00:24.980]  以致我們能夠蒙福
[00:00:24.980 --> 00:00:28.020]  如果我問你
[00:00:28.020 --> 00:00:29.900]  究竟我們人生的目的是甚麼呢?
[00:00:29.900 --> 00:00:31.460]  上一次我們都想過
[00:00:31.460 --> 00:00:33.300]  如果我們一生去到神面前
[00:00:33.300 --> 00:00:36.140]  最希望神跟我們講的是甚麼
[00:00:36.140 --> 00:00:37.680]  今天我們再一次想一想
[00:00:37.680 --> 00:00:41.480]  究竟我們人生的目的是甚麼呢?
[00:00:41.480 --> 00:00:46.480]  有甚麼目的驅使我們過我們的生活呢?
[00:00:46.480 --> 00:00:51.480]  過一個以一個正確的目標來導向的人生呢?
[00:00:51.480 --> 00:00:54.700]  好像我們很出名的Purpose Driven Life
[00:00:54.700 --> 00:00:57.620]  甚麼能夠成為我們正確的目的
[00:00:57.620 --> 00:01:00.280]  去推動我們的人生呢?
[00:01:00.280 --> 00:01:03.820]  有四位心理學家
[00:01:03.820 --> 00:01:07.100]  一次在一本心理學期刊發表
[00:01:07.100 --> 00:01:10.600]  因為他們研究了有幾百年裏面
[00:01:10.600 --> 00:01:12.100]  一些特別的人
[00:01:12.100 --> 00:01:15.220]  不同階層的、不同背景的人
[00:01:15.220 --> 00:01:19.880]  來看看究竟他們對於他們人生的描寫
[00:01:19.880 --> 00:01:21.380]  究竟我人生有甚麼目的
[00:01:21.380 --> 00:01:23.220]  或者我人生為了甚麼呢?
[00:01:23.220 --> 00:01:25.580]  他們綜合了這些資料
[00:01:25.580 --> 00:01:29.560]  就有以下的一個報導
[00:01:29.560 --> 00:01:33.300]  究竟有些甚麼是一般的人
[00:01:33.300 --> 00:01:34.900]  不同階層的人、不同的人
[00:01:34.900 --> 00:01:36.900]  或者不同年紀的人
[00:01:36.900 --> 00:01:38.940]  經過了一段的人生之後
[00:01:38.940 --> 00:01:42.080]  他們來體會究竟人生為了甚麼呢?
[00:01:42.080 --> 00:01:44.260]  總共有很多的
[00:01:44.260 --> 00:01:46.460]  算了頭那八個
[00:01:46.460 --> 00:01:48.920]  越開頭的那些就越多人講的
[00:01:48.920 --> 00:01:50.600]  越尾的那些就越少
[00:01:50.600 --> 00:01:53.220]  我不特別講那個百分比
[00:01:53.220 --> 00:01:57.340]  不過不是差很遠,不過我們有這八個
[00:01:57.340 --> 00:01:59.540]  第一個有些人說
[00:01:59.540 --> 00:02:03.620]  其實生命基本上是讓我們能夠享受
[00:02:03.620 --> 00:02:05.800]  和讓我們去經驗
[00:02:05.800 --> 00:02:09.020]  享受我們生命的每一刻
[00:02:09.020 --> 00:02:10.700]  這個都很重要
[00:02:10.700 --> 00:02:14.720]  亦都去享受和經驗我們整個人生的旅程
[00:02:14.720 --> 00:02:16.620]  人生就好像一個旅程
[00:02:16.620 --> 00:02:18.300]  好像我們去遊歷一樣
[00:02:18.300 --> 00:02:21.980]  去經驗在這個旅程當中所發生的事
[00:02:21.980 --> 00:02:24.820]  亦都享受那些美麗的時刻
[00:02:24.820 --> 00:02:27.100]  這個很積極是非常好的
[00:02:27.100 --> 00:02:28.500]  第二他說
[00:02:28.500 --> 00:02:31.060]  我們基本上活著就是
[00:02:31.060 --> 00:02:34.740]  去表達我們的憐憫對於其他人
[00:02:34.740 --> 00:02:37.420]  去付出愛和去服侍其他人
[00:02:37.420 --> 00:02:40.420]  這個亦都是非常好的一個目標
[00:02:40.420 --> 00:02:42.140]  第三這個一般般
[00:02:42.140 --> 00:02:45.620]  他就說生命我其實不是很知道
[00:02:45.620 --> 00:02:48.820]  可以說我對於生命是一個迷
[00:02:48.820 --> 00:02:50.140]  是一個奧秘
[00:02:50.140 --> 00:02:53.300]  生命是甚麼其實我都不是很清楚
[00:02:53.300 --> 00:02:54.580]  人生是甚麼呢
[00:02:54.580 --> 00:02:56.940]  好像一個迷一樣
[00:02:56.940 --> 00:02:59.420]  第四個這個更迷一點
[00:02:59.420 --> 00:03:02.820]  他說基本上我覺得做人是沒有甚麼意義的
[00:03:02.820 --> 00:03:03.980]  No meaning
[00:03:03.980 --> 00:03:07.100]  所以很呼氣地說了一句這樣的說話
[00:03:07.100 --> 00:03:10.260]  亦都有很多人同意這種說法
[00:03:10.260 --> 00:03:12.340]  基本上生命好像是沒有甚麼意義
[00:03:12.340 --> 00:03:14.300]  或者他們找不到意義
[00:03:14.300 --> 00:03:15.740]  第五就是
[00:03:15.740 --> 00:03:20.820]  原來我們的生命就是為了去敬拜上帝
[00:03:20.820 --> 00:03:24.020]  和去預備這個人生之後
[00:03:24.020 --> 00:03:25.300]  有個after life
[00:03:25.300 --> 00:03:27.780]  即是人生之後還有一些東西的
[00:03:27.780 --> 00:03:31.300]  就是我們現在有限的人生當中去敬拜上帝
[00:03:31.300 --> 00:03:35.940]  預備我們自己過我們今生以後的真正的生命
[00:03:35.940 --> 00:03:39.980]  這個都合乎基督教的一個看法
[00:03:39.980 --> 00:03:41.140]  第六就是說
[00:03:41.140 --> 00:03:43.500]  他說生命好像一個掙扎
[00:03:43.500 --> 00:03:44.980]  每一天都好像一個掙扎
[00:03:44.980 --> 00:03:46.900]  人生就好像一個struggle
[00:03:46.900 --> 00:03:48.020]  即是掙扎很多東西
[00:03:48.020 --> 00:03:49.620]  或者掙扎去成功
[00:03:49.620 --> 00:03:51.500]  或者掙扎去面對困難
[00:03:51.500 --> 00:03:53.260]  或者掙扎過我們的
[00:03:53.260 --> 00:03:58.100]  找我們的兩餐等等
[00:03:58.100 --> 00:04:00.460]  第七個他說
[00:04:00.460 --> 00:04:03.500]  生命的意義是我們自己創造出來的
[00:04:03.500 --> 00:04:06.140]  We are to create our own meaning of life
[00:04:06.140 --> 00:04:09.540]  所以你說甚麼生命的意義呢
[00:04:09.540 --> 00:04:12.260]  我認為那個是我生命的意義
[00:04:12.260 --> 00:04:13.860]  那就是了
[00:04:13.860 --> 00:04:16.260]  第八最後一個就是更加好笑了
[00:04:16.260 --> 00:04:18.700]  他說life is a joke
[00:04:18.700 --> 00:04:21.340]  生命基本上就是一個笑話
[00:04:21.340 --> 00:04:22.540]  因為太多矛盾的東西
[00:04:22.540 --> 00:04:25.300]  太多令我們一笑置之
[00:04:25.300 --> 00:04:27.500]  好像很無奈
