
[00:00:00.000 --> 00:00:02.000]  大英智慧平安
[00:00:02.000 --> 00:00:06.000]  很高興今天可以來到教會
[00:00:06.000 --> 00:00:08.000]  也是教會給予我機會
[00:00:08.000 --> 00:00:12.000]  跟大家見面和服侍大家
[00:00:12.000 --> 00:00:14.000]  在開始之前我們一起來做個祈禱
[00:00:14.000 --> 00:00:17.000]  前愛天父,感謝祢賜下祢的話語給我們
[00:00:17.000 --> 00:00:19.000]  主啊,感謝祢賜下祢的救恩
[00:00:19.000 --> 00:00:21.000]  讓我們得著祢的恩惠
[00:00:21.000 --> 00:00:23.000]  得著祢的救恩的時候
[00:00:23.000 --> 00:00:26.000]  主啊,我們的生命從此再不一樣
[00:00:26.000 --> 00:00:29.000]  求祢帶領我們下面講道的時間
[00:00:29.000 --> 00:00:31.000]  讓講的和聽的同感一鈴
[00:00:31.000 --> 00:00:34.000]  讓我們的生命都得著祢的詛咒
[00:00:34.000 --> 00:00:35.000]  祢的德福
[00:00:35.000 --> 00:00:36.000]  我們這樣祈禱是
[00:00:36.000 --> 00:00:39.000]  奉我主耶穌基督,德性明智而祈求
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:47.000]  今天我講到的題目是
[00:00:47.000 --> 00:00:49.000]  以關愛的行動,愛神
[00:00:49.000 --> 00:00:53.000]  經文就是剛才弟兄幫我們讀的經文
[00:00:53.000 --> 00:00:56.000]  在約翰一書三章十一至二十四節
[00:00:56.000 --> 00:01:00.000]  今天的訊息其實是嘗試
[00:01:00.000 --> 00:01:02.000]  我們從三個的明白
[00:01:02.000 --> 00:01:06.000]  去實踐一個關愛的行動
[00:01:06.000 --> 00:01:08.000]  所謂關愛
[00:01:08.000 --> 00:01:10.000]  「關」就是指關心
[00:01:10.000 --> 00:01:12.000]  「愛」就是指愛心
[00:01:12.000 --> 00:01:15.000]  關愛既是一個名詞
[00:01:15.000 --> 00:01:17.000]  又是一個動詞
[00:01:17.000 --> 00:01:21.000]  關愛的名詞我們人人都知道
[00:01:21.000 --> 00:01:24.000]  但是關愛的動詞
[00:01:24.000 --> 00:01:28.000]  我覺得有時候就很難去做得到
[00:01:28.000 --> 00:01:32.000]  因為關愛的行動對象就是人
[00:01:32.000 --> 00:01:34.000]  而我們有時候碰到的人
[00:01:34.000 --> 00:01:38.000]  我們覺得很難去愛他們
[00:01:38.000 --> 00:01:41.000]  在馬太福音二十二章四十節
[00:01:41.000 --> 00:01:44.000]  主耶穌說愛神愛人
[00:01:44.000 --> 00:01:46.000]  這兩條誡命就是所有律法
[00:01:46.000 --> 00:01:51.000]  和一切先知道理的總綱
[00:01:51.000 --> 00:01:54.000]  我記得有一本靈修的書本
[00:01:54.000 --> 00:01:59.000]  它記載了一個在古代修道院的故事
[00:01:59.000 --> 00:02:02.000]  有一個學生他和一位老師
[00:02:02.000 --> 00:02:05.000]  去學習怎樣做屬靈的操練
[00:02:05.000 --> 00:02:07.000]  有一天這個學生
[00:02:07.000 --> 00:02:10.000]  要這個老師給他一句話
[00:02:10.000 --> 00:02:15.000]  他靠著這句話來操練他的屬靈生命
[00:02:15.000 --> 00:02:16.000]  他的老師就對他說
[00:02:16.000 --> 00:02:18.000]  我現在給你一句話
[00:02:18.000 --> 00:02:22.000]  你一定要活出這句話
[00:02:22.000 --> 00:02:27.000]  然後你才好回來去見我
[00:02:27.000 --> 00:02:30.000]  這個老師就給這個同學一句話
[00:02:30.000 --> 00:02:32.000]  這句話就是說
