
[00:00:00.000 --> 00:00:02.000]  主顯奇
[00:00:02.000 --> 00:00:04.760]  主彰顯祂自己
[00:00:04.760 --> 00:00:08.760]  天父上帝把祂的聖旨
[00:00:08.760 --> 00:00:12.760]  清楚地顯示給世上的人
[00:00:12.760 --> 00:00:15.260]  祂的聖旨耶穌基督
[00:00:15.260 --> 00:00:17.260]  把天父上帝
[00:00:17.260 --> 00:00:21.260]  清楚地顯示給我們
[00:00:21.260 --> 00:00:24.260]  這個顯示奇
[00:00:24.260 --> 00:00:26.260]  彰顯奇
[00:00:26.260 --> 00:00:30.260]  就好像是神在顯示祂自己
[00:00:30.260 --> 00:00:32.260]  在這個顯示裡面
[00:00:32.260 --> 00:00:36.260]  就是耶穌基督公開傳道的開始
[00:00:36.260 --> 00:00:39.260]  就是祂大概三十歲的時候
[00:00:39.260 --> 00:00:43.260]  出來做這個
[00:00:43.260 --> 00:00:47.260]  趕鬼、醫病、傳道
[00:00:47.260 --> 00:00:49.260]  但最終的目的
[00:00:49.260 --> 00:00:51.260]  到底是什麼呢
[00:00:51.260 --> 00:00:55.260]  就是讓福音進到世間
[00:00:55.260 --> 00:00:59.260]  讓天國繼續在這個世間
[00:00:59.260 --> 00:01:02.260]  來建立
[00:01:02.260 --> 00:01:06.260]  教會年曆做了一個很好的安排
[00:01:06.260 --> 00:01:12.260]  就是由今天我們說主顯奇的經文開始
[00:01:12.260 --> 00:01:15.260]  到主顯奇結束的時候
[00:01:15.260 --> 00:01:19.260]  是用登山變象的經文來結束
[00:01:19.260 --> 00:01:22.260]  這兩段的經文
[00:01:22.260 --> 00:01:27.260]  基督受洗和基督登山變象
[00:01:27.260 --> 00:01:30.260]  同樣有一句很重要的說話
[00:01:30.260 --> 00:01:32.260]  也是我很希望
[00:01:32.260 --> 00:01:34.260]  我們豐盛生命堂
[00:01:34.260 --> 00:01:38.260]  永遠都是持定的
[00:01:38.260 --> 00:01:40.260]  這個焦點
[00:01:40.260 --> 00:01:41.260]  就是
