
[00:00:00.000 --> 00:00:03.940]  今天跟大家一起去思考的一個題目是
[00:00:03.940 --> 00:00:05.600]  「你為什麼干擾我?」
[00:00:05.600 --> 00:00:07.400]  或者我這樣開始
[00:00:07.400 --> 00:00:11.600]  就是在大概三個月之前
[00:00:11.600 --> 00:00:14.160]  其實是我慶祝了我的生日
[00:00:14.160 --> 00:00:17.180]  大家都不需要猜我多少歲了
[00:00:17.180 --> 00:00:18.900]  因為你們一定會猜錯的
[00:00:18.900 --> 00:00:20.780]  我猜到很少人會猜對的
[00:00:20.780 --> 00:00:23.940]  就是我慶祝我五十歲的生日
[00:00:23.940 --> 00:00:30.380]  人生已經過了大半了
[00:00:30.380 --> 00:00:32.740]  不過我們已經叫做半百了
[00:00:32.740 --> 00:00:39.540]  可以說人生開始在想很多以前的事情
[00:00:39.540 --> 00:00:44.220]  自己還有多少可能性已經盡了
[00:00:44.220 --> 00:00:48.660]  做院長已經突破到見底了
[00:00:48.660 --> 00:00:51.860]  所以現在想的都是過去
[00:00:51.860 --> 00:00:55.260]  經常回頭看以前自己做了什麼
[00:00:55.260 --> 00:00:57.420]  有沒有做錯決定
[00:00:57.420 --> 00:01:02.600]  我其中有時候也會問自己
[00:01:02.600 --> 00:01:04.200]  有沒有什麼決定
[00:01:04.200 --> 00:01:09.340]  其實真的改變了我的人生
[00:01:09.340 --> 00:01:11.700]  我猜如果大家去問這個問題的時候
[00:01:11.700 --> 00:01:13.140]  都一樣會
[00:01:13.140 --> 00:01:19.820]  同樣我相信一定會有你自己的答案在裡面
[00:01:19.820 --> 00:01:23.220]  在你的生命裡面一定會有某一刻的決定
[00:01:23.220 --> 00:01:25.060]  或者不止一個的決定
[00:01:25.060 --> 00:01:29.580]  是令你的生命走了一條很不一樣的方向
[00:01:29.580 --> 00:01:34.340]  其中包括了可能是你決志成為一個基督徒
[00:01:34.340 --> 00:01:36.700]  我在香港出生
[00:01:36.700 --> 00:01:39.820]  五十年前在香港出生
[00:01:39.820 --> 00:01:42.900]  當然我的父母輩其實都是來自中國內地
[00:01:42.900 --> 00:01:45.100]  我的鄉下在海南島
[00:01:45.100 --> 00:01:47.980]  不知道在座當中有沒有一些同鄉在這裡
[00:01:47.980 --> 00:01:50.660]  大家可能會去海南島旅行
[00:01:50.660 --> 00:01:52.940]  或者在香港吃海南雞飯
[00:01:52.940 --> 00:01:55.540]  有時候我都會問
[00:01:55.540 --> 00:01:57.940]  當年我的父母
[00:01:57.940 --> 00:02:00.340]  他們為什麼會來到香港呢?
[00:02:00.340 --> 00:02:05.580]  我從來沒有回過鄉下
[00:02:05.580 --> 00:02:10.820]  最近一次其實我就是去海南島探教會
[00:02:10.820 --> 00:02:15.380]  去到很近鄉下那條村子附近一個地方的教會
[00:02:15.380 --> 00:02:19.580]  然後那位牧師知道我就是海南人
[00:02:19.580 --> 00:02:21.100]  鄉下就在附近
[00:02:21.100 --> 00:02:24.020]  他說為什麼你還不回去那條村子看看
[00:02:24.020 --> 00:02:26.500]  於是就說好吧
[00:02:26.500 --> 00:02:29.060]  來到旁邊也不回去好像很壞
[00:02:29.060 --> 00:02:31.940]  於是就進村子看看
[00:02:31.940 --> 00:02:35.620]  但是其實連那位牧師也認錯路
[00:02:35.620 --> 00:02:38.260]  打算帶我去村子尋訪祖屋
[00:02:38.260 --> 00:02:41.300]  但是結果其實也迷失了路
[00:02:41.300 --> 00:02:42.980]  大家在迷失路的時候
[00:02:42.980 --> 00:02:44.620]  就在籌帳
