
[00:00:00.000 --> 00:00:01.280]  親愛的朋友 早晨
[00:00:01.280 --> 00:00:05.640]  今天的題目我把它斬開兩塊 好嗎
[00:00:05.640 --> 00:00:11.560]  其中有兩個動詞「承繼」和「承擔」
[00:00:11.560 --> 00:00:14.160]  我不知道你想起「承繼」和「承擔」這個動詞
[00:00:14.160 --> 00:00:15.360]  想起甚麼呢
[00:00:15.360 --> 00:00:20.040]  有甚麼「承繼」 有甚麼「承擔」
[00:00:20.040 --> 00:00:21.880]  今天藉著保羅或者蘇羅
[00:00:21.880 --> 00:00:24.520]  他們見證的一段經文
[00:00:24.520 --> 00:00:26.440]  幫助我們能夠有些學習
[00:00:26.440 --> 00:00:28.240]  不過上到這個題目的時候
[00:00:28.240 --> 00:00:30.680]  我沒辦法不把上個星期開心的一刻
[00:00:30.680 --> 00:00:32.080]  和大家再一次分享
[00:00:32.080 --> 00:00:36.880]  這個就是我的外遺
[00:00:36.880 --> 00:00:39.320]  Julian Herman Lam受浸的那一刻
[00:00:39.320 --> 00:00:42.080]  大家都可能會奇怪
[00:00:42.080 --> 00:00:44.480]  是否牧師傳道人的兒女
[00:00:44.480 --> 00:00:46.680]  是一定要受浸成為基督徒的呢
[00:00:46.680 --> 00:00:50.160]  大家都知道
[00:00:50.160 --> 00:00:53.640]  我們在牧師傳道的兒女
[00:00:53.640 --> 00:00:55.360]  有很多壓力 是吧
[00:00:55.360 --> 00:00:57.000]  有很多壓力的
[00:00:57.000 --> 00:01:00.360]  別人都會說你父母是做牧師的
[00:01:00.360 --> 00:01:03.520]  那你家裏面是否有嚴厲的教導
[00:01:03.520 --> 00:01:07.200]  你是他一手養大教大成人的
[00:01:07.200 --> 00:01:10.120]  那麼你受了那麼多應該很好的教導
[00:01:10.120 --> 00:01:13.120]  那麼你應該理所當然成為一個好基督徒
[00:01:13.120 --> 00:01:15.040]  給那些年輕人很多壓力
[00:01:15.040 --> 00:01:18.800]  那麼他們是否理所當然
[00:01:18.800 --> 00:01:25.000]  自然地承繼了我們做父母教牧的遺傳給他
[00:01:25.000 --> 00:01:28.080]  遺留給他一份基督徒的信仰呢
[00:01:28.080 --> 00:01:31.360]  簡單地告訴大家
[00:01:31.360 --> 00:01:35.360]  兒女裏面他們信主受浸是一個恩典
[00:01:35.360 --> 00:01:37.800]  不是一個當然的事
[00:01:37.800 --> 00:01:41.600]  所以上個星期看到兒子經過十幾年的思量
[00:01:41.600 --> 00:01:44.120]  終於受浸成為一個美好美麗的時刻
[00:01:44.120 --> 00:01:45.920]  因為這個不是一個必然的事
[00:01:45.920 --> 00:01:47.280]  完全是神的恩典
[00:01:47.280 --> 00:01:50.200]  今天我藉著掃羅他這一段
[00:01:50.200 --> 00:01:54.040]  在受審的人的面前見證的一段經文
[00:01:54.040 --> 00:01:55.400]  跟大家分享
[00:01:55.400 --> 00:01:59.520]  我們將他分開四段的段落
[00:01:59.520 --> 00:02:01.920]  由原生家庭他承擔了些什麼
[00:02:01.920 --> 00:02:05.560]  掃羅他和復活日主有相遇
[00:02:05.560 --> 00:02:08.680]  在復活日主領受了新的使命
[00:02:08.680 --> 00:02:12.880]  然後他的經歷人生侍奉的路
[00:02:12.880 --> 00:02:19.200]  下一個是看在原生家庭裏面承繼了些什麼
[00:02:19.200 --> 00:02:23.400]  掃羅在一個很有份量的家庭裏面長大
[00:02:23.400 --> 00:02:25.560]  他從小的生活方向
[00:02:25.560 --> 00:02:28.840]  很有一個既定的方向給你走
[00:02:28.840 --> 00:02:33.840]  他在那個分享或者辯論會或者見證會
[00:02:33.840 --> 00:02:36.800]  甚至乎是自己去為自己辯護一個會
[00:02:36.800 --> 00:02:38.480]  裏面要這樣跟大家說
[00:02:38.480 --> 00:02:41.640]  他說我原本是猶太人
[00:02:41.640 --> 00:02:42.880]  不是表示他現在不是
[00:02:42.880 --> 00:02:44.280]  不過他原本是猶太人
[00:02:44.280 --> 00:02:45.000]  一個特別的地方
