
[00:00:00.000 --> 00:00:02.000]  大英哲幕平安
[00:00:02.000 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:07.000]  感恩有你這四個字,哪一個是重點?
[00:00:07.000 --> 00:00:11.000]  你還是感恩?
[00:00:11.000 --> 00:00:16.000]  感恩重要,還是你重要?
[00:00:16.000 --> 00:00:25.000]  就相比我們每三個月的時候
[00:00:25.000 --> 00:00:28.000]  三個月都有一個感恩見證
[00:00:28.000 --> 00:00:33.000]  有沒有人說,我從來沒來過香港?
[00:00:33.000 --> 00:00:34.000]  有沒有?
[00:00:34.000 --> 00:00:37.000]  嘩,不錯喔,那個也有想來過?
[00:00:37.000 --> 00:00:41.000]  是不是?牧師?
[00:00:41.000 --> 00:00:43.000]  牧師搖頭喔
[00:00:43.000 --> 00:00:48.000]  那你是說牧師說謊,還是你說謊?
[00:00:48.000 --> 00:00:51.000]  有沒有?
[00:00:51.000 --> 00:00:53.000]  我不要你回答了
[00:00:54.000 --> 00:00:59.000]  有沒有你坐在那裡,看到有感恩見證的時候
[00:00:59.000 --> 00:01:01.000]  你想來想去,想來想去
[00:01:01.000 --> 00:01:03.000]  哎呀,如果我上去,我想說什麼呢?
[00:01:03.000 --> 00:01:04.000]  有沒有?
[00:01:04.000 --> 00:01:09.000]  不斷地想,好像很空白,我想上來說見證
[00:01:09.000 --> 00:01:11.000]  不過我又不知道說什麼
[00:01:11.000 --> 00:01:15.000]  又不知道從哪一筆說起
[00:01:15.000 --> 00:01:16.000]  有沒有?
[00:01:16.000 --> 00:01:19.000]  或者有沒有人會說
[00:01:19.000 --> 00:01:22.000]  其實我生活都很正常
[00:01:22.000 --> 00:01:25.000]  沒什麼是很值得提一提的
[00:01:25.000 --> 00:01:26.000]  有沒有?
[00:01:26.000 --> 00:01:29.000]  感恩生活都很正常
[00:01:29.000 --> 00:01:32.000]  早上起床,吃早餐
[00:01:32.000 --> 00:01:35.000]  上班上班,上學上學
[00:01:35.000 --> 00:01:37.000]  一天又過了
[00:01:37.000 --> 00:01:40.000]  回家又打機,看電視
[00:01:40.000 --> 00:01:41.000]  一天又過了
[00:01:41.000 --> 00:01:43.000]  明天又起床,又重返
[00:01:43.000 --> 00:01:45.000]  我生活沒什麼是很值得的
[00:01:45.000 --> 00:01:47.000]  說有什麼特別的東西
[00:01:47.000 --> 00:01:48.000]  有沒有?
[00:01:48.000 --> 00:01:51.000]  我不知道你有沒有
[00:01:51.000 --> 00:01:52.000]  或者你說
[00:01:52.000 --> 00:01:54.000]  哎呀,我好想說
[00:01:54.000 --> 00:01:56.000]  見證的時候我特別好想說
[00:01:56.000 --> 00:01:58.000]  但是我好害羞呢
[00:01:58.000 --> 00:02:00.000]  有沒有?
[00:02:00.000 --> 00:02:03.000]  坐在那裡,你們是坐在那裡吧
[00:02:03.000 --> 00:02:06.000]  隻隻眼看著你
[00:02:06.000 --> 00:02:08.000]  隻手放在哪裡,不知道
[00:02:08.000 --> 00:02:10.000]  腳放在哪裡,不知道
[00:02:10.000 --> 00:02:11.000]  上來說
[00:02:11.000 --> 00:02:14.000]  平時說話都很流利的
[00:02:14.000 --> 00:02:17.000]  來到大家面前又不知道怎麼說
[00:02:17.000 --> 00:02:18.000]  有沒有?
[00:02:18.000 --> 00:02:20.000]  都有的
[00:02:20.000 --> 00:02:22.000]  其實我自己也試過的
[00:02:22.000 --> 00:02:25.000]  我試過見證會的時候
[00:02:25.000 --> 00:02:27.000]  我不斷地想
[00:02:27.000 --> 00:02:29.000]  我有什麼可以說嗎?
[00:02:29.000 --> 00:02:32.000]  我有什麼可以和大家
[00:02:32.000 --> 00:02:34.000]  大兄姊妹分享
[00:02:34.000 --> 00:02:36.000]  有什麼感恩的事
[00:02:36.000 --> 00:02:38.000]  沒有啊,我生活很好啊
[00:02:38.000 --> 00:02:41.000]  我又沒有穿霧難啊
[00:02:41.000 --> 00:02:43.000]  都OK的
[00:02:43.000 --> 00:02:45.000]  想來想去想不到
[00:02:45.000 --> 00:02:47.000]  直到有一次
[00:02:47.000 --> 00:02:49.000]  我看到一篇文章
[00:02:49.000 --> 00:02:51.000]  我聽到一個人
[00:02:51.000 --> 00:02:53.000]  說了一件事
[00:02:53.000 --> 00:02:56.000]  他說,如果你的生活裡面
[00:02:56.000 --> 00:02:58.000]  已經到了一個地步
[00:02:58.000 --> 00:03:02.000]  沒有什麼恩典可以訴算的話
[00:03:02.000 --> 00:03:04.000]  你真的要小心了
[00:03:04.000 --> 00:03:07.000]  因為你的神在哪裡呢?
[00:03:07.000 --> 00:03:09.000]  所以感恩有你
[00:03:09.000 --> 00:03:11.000]  是那個你重要
[00:03:11.000 --> 00:03:13.000]  還是那個感恩重要?
[00:03:13.000 --> 00:03:16.000]  如果沒有那個你
[00:03:16.000 --> 00:03:19.000]  你就不會了解
[00:03:19.000 --> 00:03:21.000]  什麼叫做感恩
[00:03:21.000 --> 00:03:23.000]  所以你重要
[00:03:23.000 --> 00:03:25.000]  還是感恩重要?
[00:03:25.000 --> 00:03:27.000]  我們一起祈禱
[00:03:27.000 --> 00:03:29.000]  天父我們感謝你
[00:03:29.000 --> 00:03:31.000]  讓我們今早有這段時間
[00:03:31.000 --> 00:03:33.000]  可以去思想
[00:03:33.000 --> 00:03:35.000]  雖然這段經文
[00:03:35.000 --> 00:03:37.000]  我們很熟悉
[00:03:37.000 --> 00:03:39.000]  我們時時都會想到
[00:03:39.000 --> 00:03:42.000]  這個神力百項之中
[00:03:42.000 --> 00:03:45.000]  這個十個麻風的病人的時候
[00:03:45.000 --> 00:03:47.000]  我們也會想到
[00:03:47.000 --> 00:03:50.000]  什麼叫做蒙恩賦義這件事
[00:03:50.000 --> 00:03:52.000]  但我們也很熟悉
[00:03:52.000 --> 00:03:54.000]  這段經文的時候
[00:03:54.000 --> 00:03:56.000]  求神你再一次給我們
[00:03:56.000 --> 00:03:58.000]  打開我們的眼睛
[00:03:58.000 --> 00:04:00.000]  再一次讓我們來到你面前
[00:04:00.000 --> 00:04:02.000]  說,神啊
[00:04:02.000 --> 00:04:05.000]  你就是在我們生活當中
[00:04:05.000 --> 00:04:07.000]  你活在我們當中
[00:04:07.000 --> 00:04:09.000]  求神你帶領
[00:04:09.000 --> 00:04:11.000]  今天這段時間
[00:04:11.000 --> 00:04:13.000]  奉耶穌基督的聖名而求
