
[00:00:00.000 --> 00:00:02.040]  太古城堂的弟兄姊妹
[00:00:02.040 --> 00:00:03.400]  你們好
[00:00:03.400 --> 00:00:05.160]  雖然我看不到你們
[00:00:05.160 --> 00:00:08.920]  但是我知道你們在不同的地方
[00:00:08.920 --> 00:00:10.800]  甚至不同的時間
[00:00:10.800 --> 00:00:13.920]  都參加太古城堂的敬拜
[00:00:13.920 --> 00:00:17.000]  這個我們覺得無論什麼情況
[00:00:17.000 --> 00:00:19.200]  不要停止敬拜
[00:00:19.200 --> 00:00:20.680]  每一刻都敬拜
[00:00:20.680 --> 00:00:22.120]  每一刻禱告
[00:00:22.120 --> 00:00:24.320]  特別是在休谷的時間
[00:00:24.320 --> 00:00:25.440]  我們更加
[00:00:25.440 --> 00:00:26.840]  所以我收到這個題目
[00:00:26.840 --> 00:00:28.560]  都給我很多反省
[00:00:28.560 --> 00:00:32.560]  所以我今天會按照這個題目
[00:00:32.560 --> 00:00:35.280]  跟大家分享神自己的說話
[00:00:35.280 --> 00:00:38.560]  剛才我們宣召的經文
[00:00:38.560 --> 00:00:40.920]  以及頌讚的詩歌
[00:00:40.920 --> 00:00:43.800]  都給我們得到很大的安慰
[00:00:43.800 --> 00:00:47.480]  神在什麼情況當中都與我們同在
[00:00:47.480 --> 00:00:50.600]  我準備了一個PowerPoint
[00:00:50.600 --> 00:00:53.080]  你們在家裡都可以看到
[00:00:53.080 --> 00:00:56.600]  我會按照神的感動
[00:00:56.600 --> 00:00:58.200]  我選了一些經文
[00:00:58.200 --> 00:01:02.040]  以及一些不同的書籍
[00:01:02.040 --> 00:01:04.360]  讓我們明白這個休谷
[00:01:04.360 --> 00:01:06.560]  為什麼是全球性的
[00:01:06.560 --> 00:01:08.200]  不只是香港
[00:01:08.200 --> 00:01:09.360]  每一個地方
[00:01:09.360 --> 00:01:12.160]  而且不只是疫症
[00:01:12.160 --> 00:01:13.920]  有政治的休谷
[00:01:13.920 --> 00:01:17.080]  所以我就將這個題目拉闊一點
[00:01:17.080 --> 00:01:19.560]  看看處境是怎麼樣的
[00:01:19.560 --> 00:01:20.800]  好
[00:01:20.800 --> 00:01:23.160]  香港人集體經歷休谷
[00:01:23.160 --> 00:01:25.160]  集體這個字號
[00:01:25.160 --> 00:01:29.040]  「休谷」這個字是聖經出現的
[00:01:29.040 --> 00:01:30.480]  《詩篇》23篇
[00:01:30.480 --> 00:01:31.840]  耶和華是我們的牧者
[00:01:31.840 --> 00:01:33.080]  我必不自缺乏
[00:01:33.080 --> 00:01:35.240]  誰知講完這個祝福
[00:01:35.240 --> 00:01:36.480]  我應許之後
[00:01:36.480 --> 00:01:40.080]  就跟著你走過死刃的休谷
[00:01:40.080 --> 00:01:41.720]  其實神已經預告
[00:01:41.720 --> 00:01:43.320]  祂雖然同在
[00:01:43.320 --> 00:01:46.920]  在世界上我們必定經歷起起跌跌
[00:01:46.920 --> 00:01:49.320]  山峰、休谷
[00:01:49.320 --> 00:01:51.680]  然後祂再過一點就說
[00:01:51.680 --> 00:01:53.440]  在敵人面前
[00:01:53.440 --> 00:01:54.920]  我為你擺設筵席
[00:01:54.920 --> 00:01:57.080]  不僅是休谷當中
[00:01:57.080 --> 00:01:58.800]  有很多不能控制的東西
[00:01:58.800 --> 00:02:00.800]  還有這裡說的敵人
[00:02:00.800 --> 00:02:03.200]  我相信包括撒旦
[00:02:03.200 --> 00:02:05.840]  所以其實就是一個屬靈的爭戰
[00:02:05.840 --> 00:02:08.520]  所以《詩篇》23篇是我們很喜歡的
[00:02:08.520 --> 00:02:11.520]  其實已經預備了我們的心
[00:02:11.520 --> 00:02:14.280]  在創世紀到啟示錄
[00:02:14.280 --> 00:02:16.840]  每一個年代都有休谷
[00:02:16.840 --> 00:02:22.160]  除了開始伊甸園創造那段時間
[00:02:22.160 --> 00:02:24.800]  嘩!真是人和神沒有阻隔
[00:02:24.800 --> 00:02:26.800]  但是很快的撒旦就進去了
[00:02:26.800 --> 00:02:29.720]  然後就進入休谷
[00:02:29.720 --> 00:02:31.400]  創世紀到啟示錄
[00:02:31.400 --> 00:02:33.600]  每一個年代都有休谷
[00:02:33.600 --> 00:02:36.760]  我講香港的休谷
[00:02:36.760 --> 00:02:40.480]  當然很多人關心病毒
[00:02:40.480 --> 00:02:43.280]  這個病毒當然我不詳細講
[00:02:43.280 --> 00:02:44.880]  因為我每天都跟蹤
[00:02:44.880 --> 00:02:46.080]  今早提提
[00:02:46.080 --> 00:02:47.920]  全世界
[00:02:47.920 --> 00:02:50.080]  我本來以為Greenland沒有的
[00:02:50.080 --> 00:02:50.880]  都有
[00:02:50.880 --> 00:02:52.880]  沒有一個州沒有
[00:02:52.880 --> 00:02:54.880]  有些國家暫時沒有
[00:02:54.880 --> 00:02:56.680]  但是因為人的流動
[00:02:56.680 --> 00:03:00.160]  我相信沒有哪個國家能夠自保
[00:03:00.160 --> 00:03:01.840]  雖然他說封關
[00:03:01.840 --> 00:03:03.840]  但是人的流動太多
[00:03:03.840 --> 00:03:06.280]  所以這個新型冠狀病毒
[00:03:06.280 --> 00:03:10.440]  引起全世界身體健康的恐慌
[00:03:10.440 --> 00:03:12.440]  而且是生死的恐慌
[00:03:12.440 --> 00:03:15.880]  因為我發覺死亡率都很驚人
[00:03:15.880 --> 00:03:17.560]  特別在西方
[00:03:17.560 --> 00:03:20.680]  我見是很多的
[00:03:20.680 --> 00:03:24.080]  但是我自己就感覺有一樣東西大家要留意
[00:03:24.080 --> 00:03:29.520]  其實香港一直以來自從97回歸之後
[00:03:29.520 --> 00:03:32.080]  我們已經會看到一個陰影
[00:03:32.080 --> 00:03:35.360]  究竟一國兩制是什麼意思
[00:03:35.360 --> 00:03:39.240]  接著我們再看看
[00:03:39.240 --> 00:03:47.680]  似乎我們一國在香港的顯露能力越來越強
[00:03:47.680 --> 00:03:50.760]  所以我們知道我們不習慣
[00:03:50.760 --> 00:03:55.160]  不知道怎樣去面對一個新的一國兩制
[00:03:55.160 --> 00:03:57.680]  所以這個就帶來撕裂
[00:03:57.680 --> 00:03:59.040]  是真實的
[00:03:59.040 --> 00:04:01.440]  你見那時候遊行
[00:04:01.440 --> 00:04:04.320]  整整200萬人在街上
[00:04:04.320 --> 00:04:06.120]  他們善意的
[00:04:06.120 --> 00:04:10.080]  都是很想爭取自由、民主、一國
[00:04:10.080 --> 00:04:11.760]  保持那個兩制
[00:04:11.760 --> 00:04:13.440]  這個就集體的
[00:04:13.440 --> 00:04:16.000]  我相信香港沒有一倖免
[00:04:16.000 --> 00:04:18.000]  沒有一倖免 無論你是學生
[00:04:18.000 --> 00:04:19.160]  你是就業的
[00:04:19.160 --> 00:04:20.400]  什麼年紀
[00:04:20.400 --> 00:04:23.520]  我這個年紀更加高危
[00:04:23.520 --> 00:04:25.880]  因為高齡 有三高
[00:04:25.880 --> 00:04:27.960]  所以是高危人士
[00:04:27.960 --> 00:04:29.280]  那怕不怕呢?
[00:04:29.280 --> 00:04:31.120]  那就想一下
[00:04:31.120 --> 00:04:32.440]  怕都沒有用
[00:04:32.440 --> 00:04:33.960]  因為你控制不了
[00:04:33.960 --> 00:04:37.080]  所以這個讓大家知道集體的一個
[00:04:37.080 --> 00:04:39.280]  那希望在哪裡
[00:04:39.280 --> 00:04:41.720]  這本書是我很喜歡的
[00:04:41.720 --> 00:04:43.200]  最近我再回去看
[00:04:43.200 --> 00:04:45.640]  穆盲是一個很著名的神學家
[00:04:45.640 --> 00:04:48.120]  他寫了一本很重要的書
[00:04:48.120 --> 00:04:49.280]  眾人
[00:04:49.280 --> 00:04:51.000]  所有基督教
