
[00:00:00.000 --> 00:00:06.340]  上個禮拜我們開始了提多書
[00:00:06.340 --> 00:00:15.460]  你轉到用一個題目叫做制約自己成全他人
[00:00:15.460 --> 00:00:18.920]  這個是講到提多書裏面
[00:00:18.920 --> 00:00:22.220]  如何保羅派提多去
[00:00:22.220 --> 00:00:23.980]  去選一些領袖
[00:00:23.980 --> 00:00:25.980]  而這些領袖要成爲領袖
[00:00:25.980 --> 00:00:27.980]  他需要在屬靈裏面
[00:00:27.980 --> 00:00:29.980]  有些約束
[00:00:29.980 --> 00:00:30.980]  有些自制
[00:00:30.980 --> 00:00:32.980]  纔可以成全別人
[00:00:32.980 --> 00:00:35.980]  當進入提摩泰第二章的時候
[00:00:35.980 --> 00:00:39.980]  我又發覺保羅告訴提多聽
[00:00:39.980 --> 00:00:41.980]  除了領袖之外
[00:00:41.980 --> 00:00:43.980]  他要進入家庭
[00:00:43.980 --> 00:00:45.980]  這個是家庭的制約
[00:00:45.980 --> 00:00:47.980]  爲了家庭
[00:00:47.980 --> 00:00:49.980]  當家庭成全的時候
[00:00:49.980 --> 00:00:51.980]  教會就會成全
[00:00:51.980 --> 00:00:53.980]  你有沒有發覺今天早上
[00:00:53.980 --> 00:00:55.980]  如果你和太太或者丈夫
[00:00:55.980 --> 00:00:57.980]  兒子有很大沖突
[00:00:57.980 --> 00:00:59.980]  或者很大爭吵
[00:00:59.980 --> 00:01:01.980]  你現在崇拜的時候
[00:01:01.980 --> 00:01:03.980]  總是叱吒
[00:01:03.980 --> 00:01:05.980]  不是很安寧
[00:01:05.980 --> 00:01:07.980]  如有類同
[00:01:07.980 --> 00:01:09.980]  這個是我們要討告的
[00:01:09.980 --> 00:01:15.980]  提多是一個保羅揀選的僕人
[00:01:15.980 --> 00:01:17.980]  我想問下大家
[00:01:17.980 --> 00:01:23.980]  熟不熟悉新約提多書和提摩泰前後書
[00:01:23.980 --> 00:01:25.980]  提摩泰前後書差不多加起來十章
[00:01:25.980 --> 00:01:27.980]  提多書三章
[00:01:27.980 --> 00:01:29.980]  我就問
[00:01:29.980 --> 00:01:31.980]  你猜
[00:01:31.980 --> 00:01:33.980]  保羅同時猜派這兩個人
[00:01:33.980 --> 00:01:35.980]  去牧羊教會
[00:01:35.980 --> 00:01:37.980]  如果用比較
[00:01:37.980 --> 00:01:39.980]  誰更厲害
