
[00:00:00.000 --> 00:00:02.000]  好 弟兄姊妹 早晨
[00:00:02.000 --> 00:00:05.000]  我們開始聆聽主導義先
[00:00:05.000 --> 00:00:09.000]  一齊同心低頭禱告仰望海主我們的神
[00:00:09.000 --> 00:00:12.000]  父神 多謝你
[00:00:12.000 --> 00:00:18.000]  讓我們能夠踏進到加拿大的春天的時間
[00:00:18.000 --> 00:00:22.000]  讓我們看到上帝你創造的美麗
[00:00:22.000 --> 00:00:25.000]  萬物的蓬勃再生
[00:00:25.000 --> 00:00:33.000]  讓我們看到生命活的樣式再次獻上感謝
[00:00:33.000 --> 00:00:37.000]  但願每一個在地上活的人
[00:00:37.000 --> 00:00:41.000]  都能夠有一份真正的生命
[00:00:41.000 --> 00:00:46.000]  一份永恆的生命活在恩主來的當中
[00:00:46.000 --> 00:00:51.000]  而不是只是流亂於短短數十年
[00:00:51.000 --> 00:00:55.000]  甚至更短的時間的生命生活
[00:00:55.000 --> 00:00:57.000]  求你的幫助
[00:00:57.000 --> 00:01:00.000]  特別我們這班屬你的子民
[00:01:00.000 --> 00:01:02.000]  求上主你的帶領
[00:01:02.000 --> 00:01:06.000]  讓我們每一個都能夠活在這個時代當中
[00:01:06.000 --> 00:01:10.000]  不為這個世代所污染
[00:01:10.000 --> 00:01:12.000]  求你的帶領
[00:01:12.000 --> 00:01:15.000]  讓我們有智慧能夠洞悉時局
[00:01:15.000 --> 00:01:19.000]  甚至在我們身邊所發生的事情
[00:01:19.000 --> 00:01:24.000]  準確回應上主你擺我們在那個崗位上
[00:01:24.000 --> 00:01:28.000]  或者那個位份上當作的生命樣式
[00:01:28.000 --> 00:01:31.000]  好使當人看到我們的時候
[00:01:31.000 --> 00:01:37.000]  就讓他們想起一個真正創始承宗的神
[00:01:37.000 --> 00:01:41.000]  是怎樣在當中去掌管時代
[00:01:41.000 --> 00:01:43.000]  求你的幫助
[00:01:43.000 --> 00:01:45.000]  我們的同心禱告
[00:01:45.000 --> 00:01:48.000]  奉靠主耶穌基督得聖的名字而求
[00:01:48.000 --> 00:01:50.000]  阿們
[00:01:50.000 --> 00:01:51.000]  好
[00:01:51.000 --> 00:01:53.000]  那我們從今天開始
[00:01:53.000 --> 00:01:57.000]  我們就看一卷新的書卷
[00:01:57.000 --> 00:01:59.000]  通常開始有一個新的書卷
[00:01:59.000 --> 00:02:01.000]  我相信很多弟兄姊妹
[00:02:01.000 --> 00:02:04.000]  都會有一些覺得很陌生的地方
[00:02:04.000 --> 00:02:06.000]  所以今天會用多一點的時間
[00:02:06.000 --> 00:02:09.000]  為大家一起去介紹
