
[00:00:00.000 --> 00:00:02.000]  各位影子們新年平安
[00:00:02.000 --> 00:00:06.000]  不過我今年不會穿起我的黃色龍袍
[00:00:06.000 --> 00:00:08.000]  來講生肖講章
[00:00:08.000 --> 00:00:10.000]  因為去年我說的話
[00:00:10.000 --> 00:00:12.000]  應該由另外的人來講
[00:00:12.000 --> 00:00:14.000]  而且我自己都說了
[00:00:14.000 --> 00:00:17.000]  是有接近兩個循環
[00:00:17.000 --> 00:00:19.000]  不過就是
[00:00:19.000 --> 00:00:22.000]  今年我們門訓
[00:00:22.000 --> 00:00:26.000]  我想到門訓師徒的關係
[00:00:26.000 --> 00:00:30.000]  就好像牧羊人和羊的關係一樣
[00:00:30.000 --> 00:00:33.000]  所以我今天特別想借著
[00:00:33.000 --> 00:00:35.000]  我是主的羊
[00:00:35.000 --> 00:00:39.000]  來思想門徒訓練的問題
[00:00:39.000 --> 00:00:42.000]  這個題目其實來自一首
[00:00:42.000 --> 00:00:46.000]  很多小朋友唱的一首兒歌
[00:00:46.000 --> 00:00:50.000]  歌詞內容是根據詩篇23篇
[00:00:50.000 --> 00:00:56.000]  「主領我渡情操的安潔在溪水旁」
[00:00:56.000 --> 00:00:58.000]  暫時唱到這裏
[00:00:58.000 --> 00:01:00.000]  要留聲
[00:01:00.000 --> 00:01:02.000]  一會兒講到就唱一唱
[00:01:02.000 --> 00:01:04.000]  一會兒聲音沙了就不行了
[00:01:04.000 --> 00:01:06.000]  這裏就講到
[00:01:06.000 --> 00:01:10.000]  其實在我們人生順逆的場景裏
[00:01:10.000 --> 00:01:12.000]  我們都是主的羊
[00:01:12.000 --> 00:01:15.000]  主都帶領我們到國
[00:01:15.000 --> 00:01:18.000]  主帶領我們去到清水地溪水旁
[00:01:18.000 --> 00:01:21.000]  是我們人生光明的景況
[00:01:21.000 --> 00:01:23.000]  能夠得到供應
[00:01:23.000 --> 00:01:26.000]  而且有遮陰的地方
[00:01:26.000 --> 00:01:27.000]  多麼好
[00:01:27.000 --> 00:01:29.000]  但是主也帶領我們經過
[00:01:29.000 --> 00:01:33.000]  溪水旁黃昏黑暗夜
[00:01:33.000 --> 00:01:36.000]  崎嶇高山峻嶺的情況
