
[00:00:00.000 --> 00:00:07.520]  阿里路亞 今天是最後一次的2023年聚會
[00:00:07.520 --> 00:00:09.720]  阿門
[00:00:09.720 --> 00:00:15.520]  所以你今年的第一次祖徒崇拜有來的舉手
[00:00:15.520 --> 00:00:18.280]  記不得了 請放下
[00:00:18.280 --> 00:00:21.920]  所以你連頭跟連尾都來了
[00:00:21.920 --> 00:00:25.360]  感謝讚美族 跟你旁邊說你有始有終
[00:00:25.360 --> 00:00:29.360]  感謝讚美族
[00:00:29.360 --> 00:00:34.840]  當然我的意思不是說明年開始你就連頭來連尾來就好了
[00:00:34.840 --> 00:00:36.920]  千萬不要做這種基督徒好不好
[00:00:36.920 --> 00:00:42.680]  跟你旁邊說千萬不要做這種基督徒
[00:00:42.680 --> 00:00:46.960]  我們今年講到《哥羅西書》
[00:00:46.960 --> 00:00:51.960]  今天也是我們《哥羅西書》的完結篇
[00:00:51.960 --> 00:00:55.360]  保羅在講《哥羅西書》的時候
[00:00:55.360 --> 00:00:58.600]  第四章花了大部分的時間
[00:00:58.600 --> 00:01:04.600]  在講到問安 還有保羅有一些叮嚀
[00:01:04.600 --> 00:01:08.160]  最後還有一個祝福
[00:01:08.160 --> 00:01:09.680]  如果我們讀《聖經》讀了這邊
[00:01:09.680 --> 00:01:11.080]  大概你就這樣讀過去就算了
[00:01:11.080 --> 00:01:14.360]  因為一大堆這個名字我都不太認識它的
[00:01:14.360 --> 00:01:16.280]  但是親愛的丟子們
[00:01:16.280 --> 00:01:18.240]  可能你信主這麼多年
[00:01:18.240 --> 00:01:20.880]  你從來沒有好好的去了解一下
[00:01:20.880 --> 00:01:28.160]  原來在這個書信的問安裡面是有訊息的
[00:01:28.160 --> 00:01:30.720]  保羅在最後的這個問安裡面
[00:01:30.720 --> 00:01:34.760]  我們前面的訊息裡面曾經提到
[00:01:34.760 --> 00:01:39.400]  保羅提到了他在宣教的過程當中的
[00:01:39.400 --> 00:01:43.240]  這一些的夢幻團隊 還記得嗎
[00:01:43.240 --> 00:01:45.560]  保羅提到這個人 保羅提到那個人
[00:01:45.560 --> 00:01:50.600]  保羅說問這個安 問那個安
[00:01:50.600 --> 00:01:52.240]  今天在這段《聖經》裡面
[00:01:52.240 --> 00:01:54.600]  《哥羅西書》第四章十四到十八節裡面
[00:01:54.600 --> 00:01:55.720]  保羅一開始就提到
[00:01:55.720 --> 00:02:04.200]  他說所親愛的醫生路加還有迪瑪問你們安
[00:02:04.200 --> 00:02:10.160]  他提到親愛的醫生是誰啊 路加
[00:02:10.160 --> 00:02:14.240]  不是張路加
[00:02:14.240 --> 00:02:19.800]  所以你知道台灣有一個叫做路加醫療傳道
[00:02:19.800 --> 00:02:26.960]  就是專門是一些醫生們組成的一個路加傳道會
[00:02:26.960 --> 00:02:32.760]  他們就是用這個名字 路加是一個醫生
[00:02:32.760 --> 00:02:36.080]  所以路加福音《使徒行傳》
[00:02:36.080 --> 00:02:41.160]  你可以看見路加在寫這個福音書的時候
[00:02:41.160 --> 00:02:43.120]  他非常的仔細
[00:02:43.120 --> 00:02:48.120]  做醫生的通常是比較仔細 有沒有 是不是
[00:02:48.120 --> 00:02:49.920]  不然的話可能動一個刀
[00:02:49.920 --> 00:02:55.400]  然後裡面就一個手術刀 那就麻煩了
[00:02:55.400 --> 00:03:00.360]  保羅說所親愛的醫生路加和迪瑪問你們安
[00:03:00.360 --> 00:03:15.320]  請問老底家的弟兄和靈法
[00:03:15.320 --> 00:03:18.720]  保羅就提到說他這邊一直在問安
[00:03:18.720 --> 00:03:21.080]  然後說病他家裡的教會安
[00:03:21.080 --> 00:03:23.480]  你們列了這書信便交給老底家的教會
[00:03:23.480 --> 00:03:24.440]  叫他們也列
[00:03:24.440 --> 00:03:26.440]  你們也要列從老底家來的書信
[00:03:26.440 --> 00:03:28.240]  要對雅基不說好
[00:03:28.240 --> 00:03:30.480]  保羅在這邊一連串的問安裡面
[00:03:30.480 --> 00:03:32.240]  那我今天就特別提到這裡
[00:03:32.240 --> 00:03:35.640]  在一開始裡面他提到所親愛的醫生路加
[00:03:35.640 --> 00:03:44.880]  還有誰啊 迪瑪 有沒有聽過迪瑪
[00:03:44.880 --> 00:03:49.360]  這個名字出現不多
[00:03:49.360 --> 00:03:51.960]  在這個地方保羅提到說
[00:03:51.960 --> 00:03:53.920]  他說迪瑪問你們安
[00:03:53.920 --> 00:03:57.120]  顯然迪瑪在這個時候是跟保羅一起同工的
[00:03:57.120 --> 00:03:57.920]  對不對
[00:03:57.920 --> 00:03:59.920]  所以保羅才會提到他名字說
[00:03:59.920 --> 00:04:01.880]  他也問你們安對不對
[00:04:01.880 --> 00:04:05.000]  但是迪瑪這個人呢
[00:04:05.000 --> 00:04:12.160]  在提摩太后書第四章又提到這個人
[00:04:12.160 --> 00:04:14.400]  我們起來看這段生機
[00:04:14.400 --> 00:04:16.960]  保羅說你要趕緊到我這裡來
[00:04:16.960 --> 00:04:19.320]  因為迪瑪怎麼樣
[00:04:19.320 --> 00:04:21.600]  貪愛現金的世界
[00:04:21.600 --> 00:04:25.000]  就離棄我往鐵薩羅利加去了
[00:04:25.000 --> 00:04:30.600]  所以保羅在這邊提到這個迪瑪這個人是怎麼樣
[00:04:30.600 --> 00:04:34.240]  半途而廢
[00:04:34.240 --> 00:04:38.440]  原本他跟保羅一起在宣教工廠同工的
[00:04:38.440 --> 00:04:41.520]  但是結果他半途而廢
[00:04:41.520 --> 00:04:43.240]  他離開了
[00:04:43.240 --> 00:04:47.040]  為什麼他離開
[00:04:47.040 --> 00:04:49.480]  原因是什麼
[00:04:49.480 --> 00:04:51.720]  為什麼迪瑪他離開了
[00:04:51.720 --> 00:04:53.760]  他為什麼在宣教工廠
[00:04:53.760 --> 00:04:55.640]  在宣教工廠不容易
[00:04:55.640 --> 00:04:56.800]  是不是
[00:04:56.800 --> 00:04:58.720]  我記得到土耳其去短宣的時候
[00:04:58.720 --> 00:05:00.880]  土耳其跟埃及短宣的時候
[00:05:00.880 --> 00:05:03.920]  那些宣教士告訴我們說
[00:05:03.920 --> 00:05:07.040]  他說這是今天給你們的生活費
[00:05:07.040 --> 00:05:08.600]  我們一看
[00:05:08.600 --> 00:05:09.960]  那個錢少的
[00:05:09.960 --> 00:05:12.600]  每一餐你真的就只能夠過
[00:05:12.600 --> 00:05:18.360]  在當地人過的最簡單的生活一餐
[00:05:18.360 --> 00:05:21.440]  我們還是直去短宣
[00:05:21.440 --> 00:05:23.560]  他們一年兩年
[00:05:23.560 --> 00:05:25.400]  甚至有的他們是長宣在那邊
[00:05:25.400 --> 00:05:28.440]  五年十年都是這樣子過日子
[00:05:28.440 --> 00:05:30.800]  所以宣教工廠
