
[00:00:00.000 --> 00:00:03.600]  有好多次培訓的時候
[00:00:03.600 --> 00:00:09.320]  因為培訓完了,我講完道呢
[00:00:09.320 --> 00:00:10.800]  我就去飲啲水
[00:00:10.800 --> 00:00:12.560]  特別係鄉下嘅地方呢
[00:00:12.560 --> 00:00:14.360]  唔係咁方便嘅
[00:00:14.360 --> 00:00:17.120]  所以落去飲完水嘅時候返嚟呢
[00:00:17.120 --> 00:00:19.120]  突然間就聽到一句說話
[00:00:19.120 --> 00:00:22.920]  咦,啊,不是不在啊
[00:00:22.920 --> 00:00:24.920]  即係因為我落咗喺後面吖嘛
[00:00:24.920 --> 00:00:26.520]  我後面聽住佢哋講
[00:00:26.520 --> 00:00:27.720]  不是不在
[00:00:27.720 --> 00:00:29.720]  啊,冇人祝福
[00:00:29.720 --> 00:00:32.720]  我哋被祖頭埋
[00:00:32.720 --> 00:00:34.720]  大家聽唔聽得明啊
[00:00:34.720 --> 00:00:37.720]  佢話牧師唔喺度,冇人祝福
[00:00:37.720 --> 00:00:40.720]  不如我哋背主禱問候咁
[00:00:40.720 --> 00:00:42.720]  咁另一方面呢
[00:00:42.720 --> 00:00:45.720]  去到有啲嘅團契,有啲嘅聚會嘅地方
[00:00:45.720 --> 00:00:47.720]  都係一樣
[00:00:47.720 --> 00:00:49.720]  有冇人祝福啊
[00:00:49.720 --> 00:00:53.720]  有冇人安排人祈禱啊
[00:00:53.720 --> 00:00:54.720]  冇啊
[00:00:54.720 --> 00:00:57.720]  我哋不如背主禱問候咁
[00:00:57.720 --> 00:00:59.720]  咁就結束嘅時間呢
[00:00:59.720 --> 00:01:02.720]  就用主禱問嚟到結束
[00:01:02.720 --> 00:01:04.720]  有幾多人有試過嘅
[00:01:04.720 --> 00:01:05.720]  可唔可以舉手啊
[00:01:05.720 --> 00:01:07.720]  聽過,試過
[00:01:07.720 --> 00:01:10.720]  嗱,寫上呢,係相當多嘅地方
[00:01:10.720 --> 00:01:12.720]  佢哋將主禱問係乜嘢呢
[00:01:12.720 --> 00:01:14.720]  就話當冇牧者喺度祝福
[00:01:14.720 --> 00:01:17.720]  冇牧者喺度作結束嘅禱告
[00:01:17.720 --> 00:01:20.720]  又唔知道邊個係一個最大嘅
