
[00:00:00.000 --> 00:00:05.500]  教會的元首,我們的主耶穌基督,我們感謝祢,
[00:00:05.500 --> 00:00:11.000]  我們感謝祢的愛,深深的淋到我們身上。
[00:00:11.000 --> 00:00:14.000]  我們感謝祢不單只拯救我們一個人,
[00:00:14.000 --> 00:00:19.000]  也拯救一個群體,成為我們的弟兄姊妹,
[00:00:19.000 --> 00:00:25.000]  在我們身邊成為我們的幫助,我們的鼓勵,我們的提醒。
[00:00:25.000 --> 00:00:29.000]  主,我們為了每一個生命獻上感恩,
[00:00:29.000 --> 00:00:34.000]  也為了祢自下寶貴的聖靈在我們中間運行工作,
[00:00:34.000 --> 00:00:38.000]  叫我們領受祢給我們的應許,
[00:00:38.000 --> 00:00:43.000]  又激勵我們來跟隨祢,追求成長,見證侍奉祢。
[00:00:43.000 --> 00:00:48.000]  一切都是祢自己所作的工作,我們獻上感謝。
[00:00:48.000 --> 00:00:51.000]  我們為了在前面祢給我們的應許,
[00:00:51.000 --> 00:00:55.000]  雖然我們感受自己仍然有很多不足的地方,
[00:00:55.000 --> 00:01:00.000]  但主我們知道祢必要在我們中間成就祢自己的應許,
[00:01:00.000 --> 00:01:05.000]  但祢我們領受,又進入祢自己豐盛的生命裡面。
[00:01:05.000 --> 00:01:10.000]  主,我們為了祢賜給我們各人,我們整個教會,
[00:01:10.000 --> 00:01:15.000]  在未來所要蒙受的恩惠,我們獻上感謝。
[00:01:15.000 --> 00:01:19.000]  主,祢應許,祢自己要充滿祢的教會,
[00:01:19.000 --> 00:01:22.000]  祢的豐盛要進入我們生命中。
[00:01:22.000 --> 00:01:28.000]  所以主,我們期待,也都尋求,等候在祢的面前。
[00:01:28.000 --> 00:01:34.000]  我們同心仰望,奉耶穌基督成名求,阿們。
[00:01:34.000 --> 00:01:38.000]  今天我們一起再試唱聖經一部所說裡面,
[00:01:38.000 --> 00:01:40.000]  關於教會的訊息。
[00:01:40.000 --> 00:01:44.000]  有人會問教會是什麼呢?
[00:01:44.000 --> 00:01:49.000]  有人會以為教會只不過是很多不同的社會組織之一,
[00:01:49.000 --> 00:01:56.000]  好像是一個校友會,或者是一個同鄉會,
[00:01:56.000 --> 00:02:00.000]  甚至是一個政治的壓力團體。
[00:02:00.000 --> 00:02:04.000]  很多人對教會有一些很錯誤的了解,
[00:02:04.000 --> 00:02:10.000]  但聖經裡面講述教會其實是一個屬靈的群體,
[00:02:10.000 --> 00:02:13.000]  是一個spiritual body,
[00:02:13.000 --> 00:02:18.000]  這個屬靈的群體都是領受了神給我們的呼召,
[00:02:18.000 --> 00:02:21.000]  其中每一個領受神給我們的呼召,
[00:02:21.000 --> 00:02:26.000]  這個呼召就是要我們歸屬於主耶穌,
[00:02:26.000 --> 00:02:30.000]  而整體成為了基督的身體,
[00:02:30.000 --> 00:02:36.000]  因此教會是一個屬靈的群體,一個基督的身體。
[00:02:36.000 --> 00:02:38.000]  當講到基督的身體的時候,
[00:02:38.000 --> 00:02:43.000]  正是講述到教會和耶穌基督是聯合在一起,
[00:02:43.000 --> 00:02:48.000]  和這位上帝是有一種聯合的關係。
[00:02:48.000 --> 00:02:50.000]  聖經再進一步講述,
[00:02:50.000 --> 00:02:54.000]  「是那充滿萬有者所充滿」,
[00:02:54.000 --> 00:02:57.000]  意味著這位上帝,
[00:02:57.000 --> 00:03:01.000]  最高、最尊榮的、掌管天地的上帝,
[00:03:01.000 --> 00:03:06.000]  連同他一切的豐盛都充滿在教會裡面。
[00:03:06.000 --> 00:03:09.000]  我們這樣講的時候,
[00:03:09.000 --> 00:03:12.000]  可能我們頭腦上會稍微了解,
[00:03:12.000 --> 00:03:15.000]  但是其實當你再盡心去想的時候,
[00:03:15.000 --> 00:03:18.000]  你會發覺太奇妙、太偉大,
[00:03:18.000 --> 00:03:22.000]  超越我們的理性所完全了解。
[00:03:22.000 --> 00:03:25.000]  聖經說,這位充滿萬有者,
[00:03:25.000 --> 00:03:28.000]  他一切的豐盛,連同他自己,
[00:03:28.000 --> 00:03:32.000]  是充滿在他的教會當中。
[00:03:32.000 --> 00:03:36.000]  沒錯,我們今天也看到教會有很多軟弱的地方,
[00:03:36.000 --> 00:03:38.000]  很多的問題,
[00:03:38.000 --> 00:03:44.000]  但是我們也看到教會,沒錯,是一個成長中的教會,
[00:03:44.000 --> 00:03:46.000]  它不是完美的。
[00:03:46.000 --> 00:03:50.000]  但是我們不要忘記我們本身有的那個身份,
[00:03:50.000 --> 00:03:52.000]  或者說我們的本質,
[00:03:52.000 --> 00:03:56.000]  因為聖經清楚講,我們是基督的身體,
[00:03:56.000 --> 00:04:00.000]  神一定會按照祂的計劃,
[00:04:00.000 --> 00:04:03.000]  承傳祂的旨意在教會中,
[00:04:03.000 --> 00:04:07.000]  我們會成為了基督的身體,
[00:04:07.000 --> 00:04:12.000]  我們一步一步進入神給我們完全的豐富裡面。
[00:04:12.000 --> 00:04:17.000]  所以在我們可能很多的困難當中,
[00:04:17.000 --> 00:04:19.000]  不忘記這個目標,
[00:04:19.000 --> 00:04:23.000]  也放膽按照神對教會的心意,
[00:04:23.000 --> 00:04:26.000]  對教會的目標來繼續追求,
[00:04:26.000 --> 00:04:31.000]  或者說在其中不斷地向著這個目標祈禱,
[00:04:31.000 --> 00:04:35.000]  讓神的旨意成就在我們中間。
[00:04:35.000 --> 00:04:38.000]  你記得我們曾經提及過,
[00:04:38.000 --> 00:04:40.000]  在過去讀到彈爾尼書的時候,
[00:04:40.000 --> 00:04:43.000]  彈爾尼才知道上帝有一個應許,
[00:04:43.000 --> 00:04:49.000]  就是以色列人被擄七十年之後會回歸到他們的故土,
[00:04:49.000 --> 00:04:53.000]  因此彈爾尼就竭力地禱告,
[00:04:53.000 --> 00:04:55.000]  向著這個目標,
[00:04:55.000 --> 00:04:57.000]  向著這個神要成就的事情,
[00:04:57.000 --> 00:04:59.000]  不斷地祈禱,
[00:04:59.000 --> 00:05:03.000]  讓神的旨意成就在他們中間,
[00:05:03.000 --> 00:05:07.000]  也表明他們的那種信心和開廠的心靈,
[00:05:07.000 --> 00:05:10.000]  是承接神將要成就的事情。
[00:05:10.000 --> 00:05:13.000]  因此你也會放膽來祈禱,
[00:05:13.000 --> 00:05:15.000]  不斷地為教會祈禱,
[00:05:15.000 --> 00:05:19.000]  也不斷地向著這個目標來追求,
[00:05:19.000 --> 00:05:20.000]  不是相信自己,
[00:05:20.000 --> 00:05:25.000]  而是知道神會按祂的應許成就這件事情。
[00:05:25.000 --> 00:05:27.000]  頂尖我們今天讀的聖經,
[00:05:27.000 --> 00:05:30.000]  以福瑟書裡面其中兩段的圖文,
[00:05:30.000 --> 00:05:33.000]  也正是保羅他很清楚,
[00:05:33.000 --> 00:05:36.000]  按照他對真理的認識,
[00:05:36.000 --> 00:05:38.000]  說出他的禱告,
[00:05:38.000 --> 00:05:40.000]  他尋求的方向,
[00:05:40.000 --> 00:05:42.000]  今天這個禱告,
