
[00:00:00.000 --> 00:00:03.520]  都讓我們在聽道理先同心同德
[00:00:03.520 --> 00:00:05.880]  讓我們聽到這些先同心同德
[00:00:05.880 --> 00:00:11.620]  親愛的父親 感謝你給我們能夠再次打開你的說話
[00:00:11.620 --> 00:00:13.420]  來到聆聽主道
[00:00:13.420 --> 00:00:17.740]  求你的聖靈現在給我們有一個清楚的耳朵
[00:00:17.740 --> 00:00:22.600]  活潑的能夠接受所聽進去的每一句
[00:00:22.600 --> 00:00:24.900]  神裏的真理的說話
[00:00:24.900 --> 00:00:28.220]  也讓我們在你的說話上面
[00:00:28.220 --> 00:00:30.340]  做出更大的維生
[00:00:30.340 --> 00:00:32.820]  好使我們不是光天
[00:00:32.820 --> 00:00:36.580]  我們能夠把天大的化成爲神動
[00:00:36.580 --> 00:00:39.500]  親愛的主多謝你給我們能夠再次有生命
[00:00:39.500 --> 00:00:41.340]  能夠去聆聽主理的說話
[00:00:41.340 --> 00:00:42.580]  求你與我同在
[00:00:42.580 --> 00:00:45.580]  給我們有一個清楚的耳朵
[00:00:45.580 --> 00:00:48.860]  並且明晰的心靈
[00:00:48.860 --> 00:00:51.540]  去明白當中的教訓
[00:00:51.540 --> 00:00:55.660]  並且能夠將所聽進的道理化之於行動
[00:00:55.660 --> 00:00:57.620]  求主與我們同在
[00:00:57.620 --> 00:00:59.860]  祈禱奉耶穌基督得勝的名字
[00:00:59.860 --> 00:01:02.380]  阿彌陀佛
[00:01:02.380 --> 00:01:04.940]  我們今天會開始去聽
[00:01:04.940 --> 00:01:08.620]  或者去讀提摩太後書第一章的經文
[00:01:08.620 --> 00:01:12.380]  今天我們開始研讀提摩太後書一章的經文
[00:01:12.380 --> 00:01:14.860]  在我們還沒有進入提摩太後書之前
[00:01:14.860 --> 00:01:17.660]  我說一點我前書做過些什麼
[00:01:17.660 --> 00:01:19.820]  在我們沒有進入後書之前
[00:01:19.820 --> 00:01:22.340]  我們先講一講前書講了些什麼
[00:01:22.340 --> 00:01:26.340]  首先我們要明白前後書不是連貫的書卷
[00:01:26.340 --> 00:01:28.420]  前後書不是連貫的書卷
[00:01:28.420 --> 00:01:31.900]  很多基督徒不知道原來新約的聖經前後書
[00:01:31.900 --> 00:01:35.100]  不是寫完前書馬上寫後書的
[00:01:35.100 --> 00:01:39.620]  很多基督徒認爲前後書不是先寫完前書再寫後書
[00:01:39.620 --> 00:01:41.340]  中間可能是隔了一段時間
[00:01:41.340 --> 00:01:43.020]  中間隔了一段時間
[00:01:43.020 --> 00:01:44.900]  那前書講了些什麼呢
[00:01:44.900 --> 00:01:46.180]  前書講了些什麼呢
[00:01:46.180 --> 00:01:47.940]  前書我們已經看過保羅
[00:01:47.940 --> 00:01:51.220]  如何向提摩太后這位的讀者
[00:01:51.220 --> 00:01:54.620]  去教導他如何面對當時教會的挑戰
[00:01:54.620 --> 00:02:00.500]  保羅向當時的讀者提摩太后講教會如何面對挑戰
[00:02:00.500 --> 00:02:03.780]  而且提摩太后前書講了很多教會里面的問題
[00:02:03.780 --> 00:02:06.580]  提摩太后前書講了很多教會里的問題
[00:02:06.580 --> 00:02:11.820]  特別是教會的領袖
[00:02:11.820 --> 00:02:17.100]  他們如何利用自己的歡迎程度去籠絡人心
[00:02:17.100 --> 00:02:20.340]  他們利用自己的歡迎程度去籠絡人心
[00:02:20.340 --> 00:02:23.180]  用廣東話說是收買人心的技巧
[00:02:23.180 --> 00:02:25.500]  用廣東話說是收買人心的技巧
[00:02:25.500 --> 00:02:26.820]  鞏固了自己的權力
[00:02:26.820 --> 00:02:30.180]  在教會里面去發揮自己的影響力
[00:02:30.180 --> 00:02:32.020]  鞏固了自己的權力
[00:02:32.020 --> 00:02:34.780]  在教會里面他有一種權力的發揮
[00:02:34.780 --> 00:02:38.620]  我們曾經提及過在聖經裏面有兩個人物
[00:02:38.620 --> 00:02:40.500]  在聖經裏面有兩個人物
[00:02:40.500 --> 00:02:41.820]  一個叫亞歷山大
[00:02:41.820 --> 00:02:42.980]  一個叫亞歷山大
[00:02:42.980 --> 00:02:44.180]  另外一個叫多米爾
[00:02:44.180 --> 00:02:45.020]  另外一個叫多米爾
[00:02:45.020 --> 00:02:48.860]  兩個人都是教會的領袖或者掌責
[00:02:48.860 --> 00:02:50.300]  甚至是教會的牧師
[00:02:50.300 --> 00:02:53.380]  甚至是教會的領袖或者牧師
[00:02:53.380 --> 00:02:55.340]  但是他們所作所爲
[00:02:55.340 --> 00:02:56.660]  但是他們所作所爲
[00:02:56.660 --> 00:02:58.660]  是怎樣去傳假道
[00:02:58.660 --> 00:02:59.780]  是怎樣去傳假道
[00:02:59.780 --> 00:03:01.820]  傳一些人喜歡聽的道理
[00:03:01.820 --> 00:03:03.540]  傳一些人喜歡聽的道理
[00:03:03.540 --> 00:03:04.780]  我亦都分享過
[00:03:04.780 --> 00:03:11.300]  譬如在現時最多教會教牧傳的異端就是成功神學
[00:03:11.300 --> 00:03:13.700]  我也分享了很多現在的教牧的牧會
[00:03:13.700 --> 00:03:16.500]  都講一些成功的神學
[00:03:16.500 --> 00:03:19.300]  信耶穌之後你什麼都會通順的
[00:03:19.300 --> 00:03:21.380]  信耶穌之後你什麼都信了
[00:03:21.380 --> 00:03:23.380]  信耶穌一會兒就會保守你的了
[00:03:23.380 --> 00:03:25.340]  信耶穌你就得到保守
[00:03:25.340 --> 00:03:26.940]  你就什麼問題都會沒有了
[00:03:26.940 --> 00:03:27.940]  你什麼問題都沒有了
[00:03:27.940 --> 00:03:30.340]  這些全是異端的教導
[00:03:30.340 --> 00:03:31.980]  這些都是異端的教導
[00:03:31.980 --> 00:03:33.180]  聖經不是這樣講的
[00:03:33.180 --> 00:03:34.260]  聖經不是這樣講的
[00:03:34.260 --> 00:03:36.100]  所以在前書裏面
[00:03:36.100 --> 00:03:40.900]  我看見原來在保羅的教導裏面是這麼嚴厲的
