
[00:00:00.000 --> 00:00:07.700]  其實今天的題目也是教會在這一年所安排的、所編排的一些主題
[00:00:07.700 --> 00:00:11.700]  特別是希望這一年提到關於愛的問題
[00:00:11.700 --> 00:00:16.000]  所以頭個三月我們都希望能夠強調一個活出愛
[00:00:16.000 --> 00:00:19.900]  而在過程裏面也是今天安排了一個題目
[00:00:19.900 --> 00:00:21.400]  是比較嚴肅的題目
[00:00:21.400 --> 00:00:25.200]  我覺得比較嚴肅就是關於管教
[00:00:25.200 --> 00:00:29.300]  今天的題目就是管教和愛
[00:00:29.300 --> 00:00:31.800]  當然一提起管教
[00:00:31.800 --> 00:00:35.800]  其實我們管教人的人是可以的 沒什麼所謂的
[00:00:35.800 --> 00:00:39.800]  但被管教的人可能會有很多不同的感受
[00:00:39.800 --> 00:00:41.800]  就是因為我們經常都說
[00:00:41.800 --> 00:00:43.800]  我愛你 我才管教你
[00:00:43.800 --> 00:00:45.800]  所以教會有些規矩
[00:00:45.800 --> 00:00:47.800]  做錯事 我們有些事要懲罰
[00:00:47.800 --> 00:00:48.800]  是愛你的
[00:00:48.800 --> 00:00:50.800]  甚至我們可能做錯一些事
[00:00:50.800 --> 00:00:54.800]  我們要去到一些懲教處裏面
[00:00:54.800 --> 00:00:57.800]  都是為了愛
[00:00:57.800 --> 00:01:01.800]  但是被懲教的人、被管教的人
[00:01:01.800 --> 00:01:03.800]  一定有很多不同的感受
[00:01:03.800 --> 00:01:06.800]  其實在我們同福聖經學院
[00:01:06.800 --> 00:01:10.800]  我們今年極有可能有一個新的可能性
[00:01:10.800 --> 00:01:12.800]  可以強調一個可能性
[00:01:12.800 --> 00:01:16.800]  一個新的工作是給我們同福聖經學院的
[00:01:16.800 --> 00:01:21.800]  就是我們現在是和懲教處在商討中
[00:01:21.800 --> 00:01:24.800]  會不會將同福聖經學院的課程
[00:01:24.800 --> 00:01:28.800]  進到懲教處給在囚人士
[00:01:28.800 --> 00:01:33.800]  可以有系統的讀我們的同福聖經學院
[00:01:33.800 --> 00:01:38.800]  我們已經交了我們的建議書給了懲教處的官員
[00:01:38.800 --> 00:01:40.800]  他們正在看我們的建議書
[00:01:40.800 --> 00:01:42.800]  我們希望能夠有機會
[00:01:42.800 --> 00:01:45.800]  真正我們的課程可以進到懲教處
[00:01:45.800 --> 00:01:48.800]  而當然 我們進去之後
[00:01:48.800 --> 00:01:50.800]  我們都明白裏面的在囚人士
[00:01:50.800 --> 00:01:54.800]  他們可能在經濟上面可能都未必樂意
[00:01:54.800 --> 00:01:56.800]  或者未必有這樣的機會
