
[00:00:00.000 --> 00:00:03.300]  不知道大家有沒有玩過小孩子的波波池?
[00:00:03.300 --> 00:00:04.300]  一個池子一樣
[00:00:04.300 --> 00:00:06.500]  五顏六色的波就鋪滿了那些池子
[00:00:06.500 --> 00:00:08.300]  小孩子跳下去玩的
[00:00:08.300 --> 00:00:11.200]  也許我們也想跳下去玩一會兒
[00:00:11.200 --> 00:00:12.700]  如果我跟你說
[00:00:12.700 --> 00:00:17.600]  在這麼一個波波池裡面這麼多的波
[00:00:17.600 --> 00:00:18.700]  有一個
[00:00:18.700 --> 00:00:21.000]  我畫了一些特別的記號裡面的
[00:00:21.000 --> 00:00:23.900]  然後就扔進去池子裡搗亂它
[00:00:23.900 --> 00:00:25.300]  然後我綁著你的眼
[00:00:25.300 --> 00:00:26.800]  叫你進去那裡
[00:00:26.800 --> 00:00:28.300]  撿回那個波
[00:00:28.300 --> 00:00:32.900]  你猜你能夠第一次撿到那個波的機會有多大呢?
[00:00:32.900 --> 00:00:33.900]  又或者
[00:00:33.900 --> 00:00:36.600]  又或者如果那個不是一個波波池
[00:00:36.600 --> 00:00:38.200]  而是一個足球場
[00:00:38.200 --> 00:00:40.400]  擺滿了那些波波
[00:00:40.400 --> 00:00:42.000]  又或者不是一個足球場
[00:00:42.000 --> 00:00:44.200]  而是整個的伊斯活區
[00:00:44.200 --> 00:00:45.800]  鋪滿了那些波波
[00:00:45.800 --> 00:00:48.900]  裡面只有一個是特別的顏色
[00:00:48.900 --> 00:00:49.900]  你綁著眼
[00:00:49.900 --> 00:00:51.400]  一跳下去可以抓到
[00:00:51.400 --> 00:00:54.800]  拿回那個波的機會有多大呢?
[00:00:54.800 --> 00:00:56.500]  在舊約裡面
[00:00:56.500 --> 00:01:02.400]  舊約裡面有很多關於耶穌的預言
[00:01:02.400 --> 00:01:03.900]  從出生到死亡
[00:01:03.900 --> 00:01:06.200]  有很多舊約裡面
[00:01:06.200 --> 00:01:09.200]  已經記載耶穌基督的事跡
[00:01:09.200 --> 00:01:11.700]  在過去的世紀裡面
[00:01:11.700 --> 00:01:13.800]  就是幾十年之前
[00:01:13.800 --> 00:01:15.300]  有一個數學家
[00:01:15.300 --> 00:01:17.000]  這個數學家的名字叫Peter Stoner
[00:01:17.000 --> 00:01:18.500]  大家上網也可以找到
[00:01:18.500 --> 00:01:22.100]  他就選了耶穌基督八個的預言
[00:01:22.100 --> 00:01:23.500]  在這八個預言裡面
[00:01:23.500 --> 00:01:28.500]  他就應用他的可能性
[00:01:28.500 --> 00:01:30.800]  那個叫做「滑言率」
[00:01:30.800 --> 00:01:32.100]  應用這個「滑言率」
[00:01:32.100 --> 00:01:33.700]  他就總結了
[00:01:33.700 --> 00:01:36.500]  就是說如果要有一個人
[00:01:36.500 --> 00:01:38.100]  他生活在這個世界上面
[00:01:38.100 --> 00:01:41.800]  如果完全八個預言都滿足了的時候
[00:01:41.800 --> 00:01:43.700]  就是這裡所指示了
[00:01:43.700 --> 00:01:48.100]  一、後面有十七個零份之一的機會
[00:01:48.100 --> 00:01:50.100]  這個人能夠滿足到
[00:01:50.100 --> 00:01:52.900]  八個有關耶穌基督
[00:01:52.900 --> 00:01:55.500]  在舊約裡面的預言
[00:01:55.500 --> 00:01:57.500]  一、之後有十七個零
[00:01:57.500 --> 00:01:58.900]  是什麼觀念?
[00:01:58.900 --> 00:01:59.700]  是什麼觀念?
[00:01:59.700 --> 00:02:01.700]  Stoner這個數學家
[00:02:01.700 --> 00:02:03.500]  他用了一個很活潑的例子
[00:02:03.500 --> 00:02:04.900]  來解釋
[00:02:04.900 --> 00:02:06.700]  一、後面有十七個零
[00:02:06.700 --> 00:02:09.200]  就好像你有一、十七個零
[00:02:09.200 --> 00:02:10.000]  不知道怎麼讀
[00:02:10.000 --> 00:02:11.100]  的鈔票
[00:02:11.100 --> 00:02:13.000]  鋪滿了德薩斯州
[00:02:13.000 --> 00:02:14.100]  德薩斯州有多大?
[00:02:14.100 --> 00:02:18.500]  德薩斯州大概比我們今天的紐省小一點
[00:02:18.500 --> 00:02:23.100]  他說把那些鈔票全部鋪滿德薩斯州
