
[00:00:00.000 --> 00:00:02.000]  各位大英姊妹
[00:00:02.000 --> 00:00:05.000]  我們今天再次回到尼希米基
[00:00:05.000 --> 00:00:07.000]  去分享神的話語
[00:00:07.000 --> 00:00:11.000]  我上個星期也分享了兩張照片
[00:00:11.000 --> 00:00:13.000]  我拍了兩張照片跟大家分享
[00:00:13.000 --> 00:00:16.000]  去了日本的建築物
[00:00:16.000 --> 00:00:20.000]  看到原來我們要以基督為中心去建造
[00:00:20.000 --> 00:00:24.000]  今天我會繼續從第七章看到第十章
[00:00:24.000 --> 00:00:27.000]  大家所讀的經文裡都看到
[00:00:27.000 --> 00:00:29.000]  讀了三十二到三十八節
[00:00:29.000 --> 00:00:31.000]  學習一個功課
[00:00:31.000 --> 00:00:36.000]  原來當尼希米完成了
[00:00:36.000 --> 00:00:39.000]  以斯拉完成了聖殿
[00:00:39.000 --> 00:00:41.000]  尼希米重建了城牆
[00:00:41.000 --> 00:00:43.000]  這是不是一個結束呢
[00:00:43.000 --> 00:00:44.000]  其實不是
[00:00:44.000 --> 00:00:47.000]  因為他們所關心的
[00:00:47.000 --> 00:00:49.000]  這幫屬靈領袖所關心的
[00:00:49.000 --> 00:00:51.000]  是人的生命
[00:00:51.000 --> 00:00:52.000]  我剛剛去了日本回來
[00:00:52.000 --> 00:00:55.000]  我都看到很多繁華的豪高的建築物
[00:00:55.000 --> 00:00:56.000]  我住在新宿
[00:00:56.000 --> 00:01:00.000]  第一晚睡覺一去到就下午
[00:01:00.000 --> 00:01:01.000]  入酒店住了
[00:01:01.000 --> 00:01:03.000]  第二天起床四五點
[00:01:03.000 --> 00:01:05.000]  我按Google Map
[00:01:05.000 --> 00:01:07.000]  看看附近有什麼地方可以逛逛
[00:01:07.000 --> 00:01:09.000]  沒有東西吃
[00:01:09.000 --> 00:01:10.000]  先出去逛逛
[00:01:10.000 --> 00:01:13.000]  按到原來酒店旁邊有個公園
[00:01:13.000 --> 00:01:15.000]  我決定不如走大約十分鐘
[00:01:15.000 --> 00:01:17.000]  Google Map說走十分鐘
[00:01:17.000 --> 00:01:20.000]  出去就去公園散步
[00:01:20.000 --> 00:01:23.000]  我一出去就經過了一個
[00:01:23.000 --> 00:01:26.000]  東京府會議廳的會議室
[00:01:26.000 --> 00:01:29.000]  然後旁邊有條天橋
[00:01:29.000 --> 00:01:32.000]  要下去下面過馬路就去公園
[00:01:32.000 --> 00:01:33.000]  真的十分鐘左右
[00:01:33.000 --> 00:01:38.000]  到之前我經過的天橋底
[00:01:38.000 --> 00:01:41.000]  天橋底有巴士站是會議廳的旁邊
[00:01:41.000 --> 00:01:45.000]  會議廳旁邊原來是在拆那些帳篷
[00:01:45.000 --> 00:01:46.000]  什麼帳篷呢
[00:01:46.000 --> 00:01:50.000]  就好像那些塔那些藍色那些膠席
[00:01:50.000 --> 00:01:52.000]  拆了究竟什麼回事呢
[00:01:52.000 --> 00:01:54.000]  開頭都不知道什麼回事
[00:01:54.000 --> 00:01:58.000]  但經過後原來是一班露宿者
[00:01:58.000 --> 00:02:01.000]  過了那條馬路之後就到了公園
[00:02:01.000 --> 00:02:03.000]  過了一個燈口
[00:02:03.000 --> 00:02:07.000]  去到公園裡面有一班年輕人
[00:02:07.000 --> 00:02:10.000]  在跑步放狗帶寵物
[00:02:10.000 --> 00:02:14.000]  又有一班朋友在做早操
[00:02:14.000 --> 00:02:18.000]  播音樂一起做動作做運動
