
[00:00:00.000 --> 00:00:02.960]  今天我們會討論薩加利亞書
[00:00:02.960 --> 00:00:08.380]  薩加利亞書和哈蓋書是屬於同一個時代的作品
[00:00:08.380 --> 00:00:15.280]  所以希望繼續在他們秘魯歸回的時代裏有更多的思考
[00:00:15.280 --> 00:00:17.880]  不過今天進入經文之前
[00:00:17.880 --> 00:00:20.380]  今天始終還未過年十五
[00:00:20.380 --> 00:00:22.720]  所以也要和大家拜一下年
[00:00:22.720 --> 00:00:25.960]  祝大家主因滿日 身體健康
[00:00:25.960 --> 00:00:27.580]  不過這些有點行
[00:00:27.580 --> 00:00:30.920]  應該這樣祝 既然要祝願要想大一點
[00:00:30.920 --> 00:00:34.500]  如果今年可以去旅行 也祝大家出入平安
[00:00:34.500 --> 00:00:37.000]  是不是聽到都很興奮
[00:00:37.000 --> 00:00:40.360]  很多時候祝福語要不行
[00:00:40.360 --> 00:00:45.940]  就是你要將當年 那一年那隻動物都加進去
[00:00:45.940 --> 00:00:48.180]  才好像有點誠意
[00:00:48.180 --> 00:00:51.340]  今年我也看到有一個鐵糖的作品
[00:00:51.340 --> 00:00:53.020]  就是都挺有創意的
[00:00:53.020 --> 00:00:57.780]  今年有一個人這樣祝大家苦盡甘來
[00:00:57.780 --> 00:00:59.480]  苦是老虎的苦
[00:00:59.480 --> 00:01:00.960]  不過你要想一下
[00:01:00.960 --> 00:01:05.620]  如果要過完苦年才有好的日子過
[00:01:05.620 --> 00:01:07.760]  其實也不知道是不是一個祝福
[00:01:07.760 --> 00:01:09.660]  所以有些人改一改它
[00:01:09.660 --> 00:01:12.260]  就叫做苦盡甘來
[00:01:12.260 --> 00:01:15.440]  就是苦年一進來就有好日子過
[00:01:15.440 --> 00:01:18.000]  是不是聽得比較合適
[00:01:18.000 --> 00:01:19.780]  不過如果今天我問你
[00:01:19.780 --> 00:01:22.540]  我們都經歷了兩年的疫情
[00:01:22.540 --> 00:01:25.140]  可能又經歷了很多苦的日子
[00:01:25.140 --> 00:01:27.580]  如果今天要問你好的日子來了
[00:01:27.580 --> 00:01:28.980]  甘來的時候
[00:01:28.980 --> 00:01:31.380]  你希望是一個怎樣的生活呢
[00:01:31.380 --> 00:01:33.380]  可能很多人都會說
[00:01:33.380 --> 00:01:36.560]  其實都不用這麼複雜 不用這麼多
[00:01:36.560 --> 00:01:40.600]  回復正常的生活已經很好了
[00:01:40.600 --> 00:01:43.660]  回復正常 back to normal
[00:01:43.660 --> 00:01:46.900]  相信都是我們日盼夜盼的事
[00:01:46.900 --> 00:01:48.560]  或者是每一次
[00:01:48.560 --> 00:01:55.080]  周政府說很多的消息都是告訴我們我們很快回到正常的生活裏面
[00:01:55.080 --> 00:01:58.780]  可能那個期盼會是怎樣呢
[00:01:58.780 --> 00:02:02.340]  就是和之前一樣不需要再戴著口罩
[00:02:02.340 --> 00:02:06.020]  可以和之前一樣不斷去和不同的人吃飯
[00:02:06.020 --> 00:02:07.920]  都不需要想過 度過
[00:02:07.920 --> 00:02:11.400]  好像每次出去吃飯都要拼命
[00:02:11.400 --> 00:02:15.120]  可能甚至是我們可以如常的工作
[00:02:15.120 --> 00:02:17.300]  如常的回教會
[00:02:17.300 --> 00:02:20.100]  如常的可以回香港
[00:02:20.100 --> 00:02:25.840]  又或者可以如常的在假期的時候去旅行
[00:02:25.840 --> 00:02:29.200]  是不是想起都覺得好像很遙遠
