
[00:00:00.000 --> 00:00:02.000]  各位電影師妹,早晨!
[00:00:02.000 --> 00:00:08.000]  在這段時間,踏入暑假,我們會開始一個新的系列
[00:00:08.000 --> 00:00:10.000]  「生活智慧」
[00:00:10.000 --> 00:00:12.000]  我不知道你是否一個有智慧的人
[00:00:12.000 --> 00:00:15.000]  盼望我們都能夠在這兩個月裏面
[00:00:15.000 --> 00:00:18.000]  透過不同的講員,藉著諗言,藉著詩篇
[00:00:18.000 --> 00:00:21.000]  我們一齊再去思想
[00:00:21.000 --> 00:00:25.000]  究竟在神裏面的智慧是甚麼呢?
[00:00:25.000 --> 00:00:30.000]  今天的題目就是,我們如何活出智慧的人生
[00:00:30.000 --> 00:00:34.000]  曾經美國人做了一個實驗
[00:00:34.000 --> 00:00:40.000]  將20位不需要依賴飛行儀器的機師,邀請他們
[00:00:40.000 --> 00:00:43.000]  這班人在天氣晴朗的時候
[00:00:43.000 --> 00:00:48.000]  他們能夠安全起飛,安全著落
[00:00:48.000 --> 00:00:55.000]  他們將這20人放在一個模擬室裏面
[00:00:55.000 --> 00:00:57.000]  模擬在一個暴風雨裏面
[00:00:57.000 --> 00:01:02.000]  飛行的時候,究竟他們能否駕駛得好呢?
[00:01:02.000 --> 00:01:04.000]  結果是甚麼呢?
[00:01:04.000 --> 00:01:09.000]  結果就是這20人所駕駛的飛機,全部都失事
[00:01:09.000 --> 00:01:12.000]  他們憑著自己的感覺
[00:01:12.000 --> 00:01:16.000]  或者過去所依賴的經驗
[00:01:16.000 --> 00:01:20.000]  在這次模擬裏面完全失效
[00:01:20.000 --> 00:01:26.000]  他們只能駕駛了3分鐘飛機就墜機了
[00:01:26.000 --> 00:01:28.000]  今天我們會在這個世界
[00:01:28.000 --> 00:01:31.000]  會否像這20位的機師
[00:01:31.000 --> 00:01:36.000]  可能我們都會不自覺地毀滅了我們的人生
[00:01:36.000 --> 00:01:39.000]  為甚麼?因為我們不相信
[00:01:39.000 --> 00:01:43.000]  不去依靠上帝對我們的吩咐
[00:01:43.000 --> 00:01:46.000]  很想大家記住這一句話
[00:01:46.000 --> 00:01:50.000]  「不聽上帝言,吃虧在眼前」
[00:01:50.000 --> 00:01:55.000]  我盼望這一句話都常常成為我們的提醒
[00:01:55.000 --> 00:01:57.000]  不知道在你的願望裏面
[00:01:57.000 --> 00:01:59.000]  在你的夢想裏面
[00:01:59.000 --> 00:02:01.000]  這一刻你想得到甚麼呢?
[00:02:01.000 --> 00:02:06.000]  可能我們有很多的目標,很多的期望
[00:02:06.000 --> 00:02:07.000]  不知道你有沒有想
[00:02:07.000 --> 00:02:09.000]  究竟這件事對你來說
[00:02:09.000 --> 00:02:11.000]  是否真的那麼有價值呢?
[00:02:11.000 --> 00:02:14.000]  可能我們都花了很多時間、心機
[00:02:14.000 --> 00:02:16.000]  很想得到它
[00:02:16.000 --> 00:02:20.000]  得到之後,結果又怎樣呢?
[00:02:20.000 --> 00:02:23.000]  我們作為神的兒女
[00:02:23.000 --> 00:02:26.000]  作為跟隨主的門徒
