
[00:00:00.000 --> 00:00:02.240]  先讓我們在聆聽主的說話
[00:00:02.240 --> 00:00:04.800]  讓我們一起同心低頭禱告
[00:00:04.800 --> 00:00:10.920]  創造天地萬物的主
[00:00:10.920 --> 00:00:11.880]  我們的父神
[00:00:11.880 --> 00:00:13.200]  我們再次多謝你
[00:00:13.200 --> 00:00:14.920]  給了我們有生命氣息
[00:00:14.920 --> 00:00:16.200]  來到你的跟前
[00:00:16.200 --> 00:00:20.280]  好讓我們再次在你的啟示當中
[00:00:20.280 --> 00:00:22.800]  明白創造的意義
[00:00:22.800 --> 00:00:27.760]  並且明白今天我們活在地上為人
[00:00:28.120 --> 00:00:31.840]  最重要的生命的目的是什麼
[00:00:31.840 --> 00:00:34.440]  我們為此再次將我們的心靈
[00:00:34.440 --> 00:00:38.360]  再次求主你的聖靈帶領我們
[00:00:38.360 --> 00:00:41.960]  進入到上帝你啟示的當中
[00:00:41.960 --> 00:00:49.200]  明白主你真正讓人脫罪的那份善意
[00:00:49.200 --> 00:00:53.560]  好使每一個能夠認罪悔改的人
[00:00:53.560 --> 00:00:57.080]  都能夠在主你的真道上面
[00:00:57.320 --> 00:01:00.280]  能夠得著永生的盼望
[00:01:00.280 --> 00:01:03.520]  我們為此再次獻上禱告
[00:01:03.520 --> 00:01:07.320]  讓每一個無論是善上善下
[00:01:07.320 --> 00:01:10.360]  實體崇拜的每一個弟兄姊妹
[00:01:10.360 --> 00:01:15.520]  我們都能夠同樣在上帝你的啟示當中
[00:01:15.520 --> 00:01:18.280]  蒙最大的福氣
[00:01:18.280 --> 00:01:21.240]  禱告奉靠主耶穌基督
[00:01:21.240 --> 00:01:23.240]  得聖的名字而求
[00:01:23.240 --> 00:01:24.040]  阿們
[00:01:24.040 --> 00:01:27.040]  在這個世界的上面
[00:01:27.720 --> 00:01:30.280]  信主的人和不信主的人
[00:01:30.280 --> 00:01:32.280]  最大的分別就是
[00:01:32.280 --> 00:01:36.800]  信主的人會去參透其他
[00:01:36.800 --> 00:01:40.120]  在聖靈引導之下所見到的世事
[00:01:40.120 --> 00:01:44.200]  而不信主的人往往在這個世界的裏面
[00:01:44.200 --> 00:01:49.960]  卻是只看自己的看法為絕對的真理
[00:01:49.960 --> 00:01:53.760]  換言之說得比較細俗的說話就是
[00:01:53.760 --> 00:01:57.280]  一個人只認為自己正確的人
[00:01:57.600 --> 00:02:01.640]  那些人就很肯定是一個不信主的人
[00:02:01.640 --> 00:02:05.440]  而不信主的人其實在這個世界的上面
[00:02:05.440 --> 00:02:08.280]  其實是最大損失的人
[00:02:08.280 --> 00:02:12.080]  他們以為自己是已經樣樣東西都得著
[00:02:12.080 --> 00:02:16.040]  但是卻是原來活在一個
[00:02:16.040 --> 00:02:19.560]  他將會失去一切的狀態
[00:02:19.560 --> 00:02:24.560]  今天我們再次回到哥羅西書第二章的裏面
