
[00:00:00.000 --> 00:00:02.000]  各位靈體姐妹,你好
[00:00:02.000 --> 00:00:06.000]  多謝剛才敬拜隊帶領我們唱的詩歌
[00:00:06.000 --> 00:00:11.000]  沒錯,正如他們當中所說的「薪火相傳」
[00:00:11.000 --> 00:00:15.000]  就讓我們今天成為真實主耶穌的門徒
[00:00:15.000 --> 00:00:18.000]  我們能夠在信服神的路
[00:00:18.000 --> 00:00:20.000]  即或現在有多少的疫情
[00:00:20.000 --> 00:00:24.000]  我們仍然的逆流而上
[00:00:24.000 --> 00:00:28.000]  今天我們是要繼續看詩篇
[00:00:28.000 --> 00:00:30.000]  在開始之前
[00:00:30.000 --> 00:00:34.000]  讓我們一起低頭祈禱
[00:00:34.000 --> 00:00:37.000]  聖三一的真神
[00:00:37.000 --> 00:00:41.000]  祢既是掌管我們生命的主
[00:00:41.000 --> 00:00:45.000]  在這一刻我們再一次回到祢的面前
[00:00:45.000 --> 00:00:49.000]  藉著耶穌基督,祢十字架的浮臂
[00:00:49.000 --> 00:00:53.000]  求祢藉祢的聖言開導我們的心
[00:00:53.000 --> 00:00:59.000]  使我們明白敬拜、尊崇祢的真實意義
[00:00:59.000 --> 00:01:01.000]  叫我們能夠曉得在生活
[00:01:01.000 --> 00:01:04.000]  即或遇到多少的困難
[00:01:04.000 --> 00:01:07.000]  多少高高低低的事
[00:01:07.000 --> 00:01:09.000]  我們能夠仍然像詩人一樣
[00:01:09.000 --> 00:01:12.000]  用心、用真來敬拜祢
[00:01:12.000 --> 00:01:15.000]  求祢帶領我們以下的時間
[00:01:15.000 --> 00:01:19.000]  我們這樣的禱告是奉耶穌基督的名求
[00:01:19.000 --> 00:01:21.000]  阿門
[00:01:21.000 --> 00:01:25.000]  我要稱頌、傳揚祢
[00:01:25.000 --> 00:01:31.000]  在最近上網看到一篇文章
[00:01:31.000 --> 00:01:35.000]  他說教我如何敬拜他
[00:01:35.000 --> 00:01:37.000]  很吸引我
[00:01:37.000 --> 00:01:39.000]  當看到這篇文章的時候
[00:01:39.000 --> 00:01:41.000]  作者北伐告訴我們
[00:01:41.000 --> 00:01:43.000]  我們今天所面對的環境
[00:01:43.000 --> 00:01:45.000]  實在不是很好
[00:01:45.000 --> 00:01:47.000]  包括如果大家知道
[00:01:47.000 --> 00:01:50.000]  香港的失業率又再升高了
[00:01:50.000 --> 00:01:53.000]  在17年以來最高
[00:01:53.000 --> 00:01:57.000]  失業的人數已經達到26萬人
[00:01:57.000 --> 00:02:01.000]  又或者當我們看更多身邊的人
[00:02:01.000 --> 00:02:05.000]  看到很多的弟妹、朋友、家人
[00:02:05.000 --> 00:02:10.000]  我們不單止在心靈上有很多的鬱結
[00:02:10.000 --> 00:02:15.000]  更加在我們的身體上都出了很多毛病
[00:02:15.000 --> 00:02:17.000]  就如一篇文章說
[00:02:17.000 --> 00:02:21.000]  七成的都市人在亞健康裡面
[00:02:21.000 --> 00:02:23.000]  他指出這種亞健康
[00:02:23.000 --> 00:02:25.000]  不單止是說身體
[00:02:25.000 --> 00:02:27.000]  心靈的亞健康
[00:02:27.000 --> 00:02:30.000]  生命品格的亞健康
[00:02:30.000 --> 00:02:34.000]  他說這一切都會讓我們出事
[00:02:34.000 --> 00:02:36.000]  所以有人會問我
[00:02:36.000 --> 00:02:40.000]  詩篇不就是教我們敬拜嗎?
