
[00:00:00.000 --> 00:00:09.000]  有時我們都會喜歡用聖經的金句作為我們人生的座右銘
[00:00:09.000 --> 00:00:18.000]  如果有選擇的話,你會找哪些經文成為你人生的座右銘呢?
[00:00:18.000 --> 00:00:24.000]  如果你問我的話,我相信剛才所讀的那兩節經文
[00:00:24.000 --> 00:00:29.000]  都很可能成為我的人生的座右銘
[00:00:29.000 --> 00:00:34.000]  因為這是非常美好的教導
[00:00:34.000 --> 00:00:38.000]  《針研三章》的五到六節
[00:00:38.000 --> 00:00:42.000]  是內宗有寶貴的道理
[00:00:42.000 --> 00:00:44.000]  而其中的我們都知道
[00:00:44.000 --> 00:00:48.000]  就是基督教信仰一些很核心的元素
[00:00:48.000 --> 00:00:52.000]  是在這裡出現
[00:00:52.000 --> 00:00:54.000]  究竟是什麼呢?
[00:00:54.000 --> 00:00:57.000]  就是信靠
[00:00:57.000 --> 00:00:59.000]  就是仰賴
[00:00:59.000 --> 00:01:05.000]  英文的翻譯是真的用trust這個字
[00:01:05.000 --> 00:01:07.000]  這是我們基督教信仰裡面
[00:01:07.000 --> 00:01:10.000]  我們所有聲稱是基督徒的人
[00:01:10.000 --> 00:01:13.000]  我們需要牢牢地掌握
[00:01:13.000 --> 00:01:18.000]  信靠、仰賴、相信主
[00:01:18.000 --> 00:01:20.000]  這是很重要的
[00:01:20.000 --> 00:01:24.000]  我相信大家都記得我們信仰入門
[00:01:24.000 --> 00:01:27.000]  成為基督徒的時候
[00:01:27.000 --> 00:01:30.000]  其實是需要相信的
[00:01:30.000 --> 00:01:32.000]  說得更加準確是
[00:01:32.000 --> 00:01:38.000]  信靠救主耶穌基督而得救了
[00:01:38.000 --> 00:01:40.000]  沒錯,悔改是很重要
[00:01:40.000 --> 00:01:42.000]  轉離惡行是很重要
[00:01:42.000 --> 00:01:44.000]  但是我們轉了之後
[00:01:44.000 --> 00:01:49.000]  是用信心去投靠這一位拯救我們的主
[00:01:49.000 --> 00:01:52.000]  是將整個人交託在上帝的手中
[00:01:52.000 --> 00:01:54.000]  接受祂進入我們的生命
[00:01:54.000 --> 00:01:58.000]  我們才可以叫做基督徒
[00:01:58.000 --> 00:02:02.000]  信仰的入門是從信心開始
[00:02:02.000 --> 00:02:04.000]  弟兄姊妹讓我們彼此提醒
[00:02:04.000 --> 00:02:05.000]  彼此勉勵
[00:02:05.000 --> 00:02:11.000]  原來信心的道路是要繼續走下去
[00:02:11.000 --> 00:02:13.000]  是一生之久的
[00:02:13.000 --> 00:02:15.000]  所以不只是信主那一刻
[00:02:15.000 --> 00:02:16.000]  我們相信了主
[00:02:16.000 --> 00:02:17.000]  然後放在一邊
[00:02:17.000 --> 00:02:19.000]  然後過我們的生活
[00:02:19.000 --> 00:02:20.000]  不是的
[00:02:20.000 --> 00:02:22.000]  是將我們以後的人生裡面
[00:02:22.000 --> 00:02:25.000]  我們繼續用信心
[00:02:25.000 --> 00:02:28.000]  信靠神的那種操練
[00:02:28.000 --> 00:02:32.000]  去與神共走人生路
[00:02:32.000 --> 00:02:34.000]  這是我們需要去做的
[00:02:34.000 --> 00:02:36.000]  而在這一節的經文裡面
[00:02:36.000 --> 00:02:37.000]  這兩節的經文裡面
[00:02:37.000 --> 00:02:42.000]  就很清楚將那個信心凸顯了出來
[00:02:42.000 --> 00:02:44.000]  羅馬書一章裡面都提過
[00:02:44.000 --> 00:02:50.000]  神的義是本於信而治於順
[00:02:50.000 --> 00:02:51.000]  所以是很重要的
[00:02:51.000 --> 00:02:53.000]  因此弟兄姊妹
[00:02:53.000 --> 00:02:54.000]  在今天裡面
[00:02:54.000 --> 00:02:57.000]  我們彼此的勉勵去學習一個功課
[00:02:57.000 --> 00:03:02.000]  就是我們要繼續有一顆信靠神的心
[00:03:02.000 --> 00:03:04.000]  來走我們人生的道路
[00:03:04.000 --> 00:03:06.000]  侍奉的道路
[00:03:06.000 --> 00:03:09.000]  保持那種活潑性
[00:03:09.000 --> 00:03:11.000]  保持那種真誠
[00:03:11.000 --> 00:03:14.000]  保持那種單純
[00:03:14.000 --> 00:03:17.000]  我相信這個是上帝所喜悅的
[00:03:17.000 --> 00:03:18.000]  好了
[00:03:18.000 --> 00:03:21.000]  我們今天就嘗試在這兩節的經文裡面
