
[00:00:00.000 --> 00:00:02.500]  我們說我們要看路德的故事
[00:00:02.500 --> 00:00:05.380]  我們要學習他做一個單純的人
[00:00:05.380 --> 00:00:08.180]  其實單純為路德帶來了什麼呢?
[00:00:08.180 --> 00:00:09.680]  第一樣想跟大家說就是
[00:00:09.680 --> 00:00:14.420]  他有一份一顆堅定、跟隨真神的心
[00:00:14.420 --> 00:00:18.860]  剛才我們說其實路德他是外邦人
[00:00:18.860 --> 00:00:21.100]  他是摩訶人
[00:00:21.100 --> 00:00:22.940]  摩訶人是拜偶像
[00:00:22.940 --> 00:00:26.720]  摩訶人其實本身他們就是
[00:00:26.720 --> 00:00:31.400]  阿伯拉罕、格渣、羅德跟他的大女兒
[00:00:31.400 --> 00:00:33.440]  亂倫山的兒子的後裔
[00:00:33.440 --> 00:00:35.060]  好像很複雜
[00:00:35.060 --> 00:00:39.000]  簡單來說其實他們本身也有一些以色列人的血統
[00:00:39.000 --> 00:00:43.240]  但是其實摩訶人結果就是去拜偶像
[00:00:43.240 --> 00:00:43.840]  去行姦淫
[00:00:43.840 --> 00:00:48.120]  他們的祭祀的模式是非常淫亂
[00:00:48.120 --> 00:00:52.760]  所以以色列人是不喜歡他們的
[00:00:52.760 --> 00:00:56.080]  也是因為他們在曠野的時候
[00:00:56.080 --> 00:01:01.160]  以色列人曾經被摩訶人勾引去拜偶像、行淫
[00:01:01.160 --> 00:01:05.040]  另外還在以色列人去出埃及的時候
[00:01:05.040 --> 00:01:07.320]  摩訶人沒有去幫助他們
[00:01:07.320 --> 00:01:08.120]  不僅如此
[00:01:08.120 --> 00:01:11.000]  還想辦法陷害他們
[00:01:11.000 --> 00:01:13.600]  想讓他們不能出埃及
[00:01:13.600 --> 00:01:18.320]  所以其實這件事也令我們的神耶和華非常憤怒
[00:01:18.320 --> 00:01:22.720]  所以在《生命記》裡記載了有一條律法
[00:01:22.720 --> 00:01:28.040]  就是這些摩訶人是不能夠進入以色列人的會
[00:01:28.040 --> 00:01:34.760]  就是說其實這些摩訶人在律法上是不能夠進入以色列人的當中的
[00:01:34.760 --> 00:01:36.000]  這是一個律法
[00:01:36.000 --> 00:01:36.960]  我們就想
[00:01:36.960 --> 00:01:39.160]  既然有一條這樣的律法
[00:01:39.160 --> 00:01:39.960]  這個律法
[00:01:39.960 --> 00:01:43.000]  這個路德是摩訶人
[00:01:43.000 --> 00:01:46.680]  他怎樣是會進入到以色列人的當中呢?
[00:01:46.680 --> 00:01:48.520]  因為其實我們到最後
[00:01:48.520 --> 00:01:51.000]  你會看路德的時候發現
[00:01:51.000 --> 00:01:51.960]  先透露一下
[00:01:51.960 --> 00:01:54.880]  他其實是大衛的曾祖母
[00:01:54.880 --> 00:01:56.960]  他是耶穌的祖先
[00:01:56.960 --> 00:02:00.160]  他怎樣進入到以色列人的當中呢?
[00:02:00.160 --> 00:02:04.000]  原因就是他嫁進去一個以色列人的家庭
[00:02:04.000 --> 00:02:07.600]  好像等於當初我們未信主
[00:02:07.600 --> 00:02:08.400]  不認識神
[00:02:08.400 --> 00:02:11.480]  但我們有認識了信主的男朋友、女朋友
[00:02:11.480 --> 00:02:13.400]  或者家人
[00:02:13.400 --> 00:02:16.960]  就進入了這些家庭
[00:02:16.960 --> 00:02:18.000]  這個家庭
[00:02:18.000 --> 00:02:19.400]  以色列人的家庭
[00:02:19.400 --> 00:02:22.600]  他的父親是以利米勒
[00:02:22.600 --> 00:02:27.000]  另外他的太太是娜娥米
[00:02:27.000 --> 00:02:28.960]  這兩個其實就是路德的
[00:02:28.960 --> 00:02:31.040]  老爺、奶奶
[00:02:31.040 --> 00:02:32.640]  兩個兒子
[00:02:32.640 --> 00:02:35.400]  兩個兒子叫做馬倫和基蓮
[00:02:35.400 --> 00:02:37.720]  這個家庭其實他們原本
[00:02:37.720 --> 00:02:39.040]  就是住在白里行
[00:02:39.040 --> 00:02:40.520]  以色列白里行那裡的
[00:02:40.520 --> 00:02:44.120]  但是我們知道史詩時期有很多饑荒
[00:02:44.120 --> 00:02:45.440]  他們在那個時期
[00:02:45.440 --> 00:02:48.720]  因為想逃避這個饑荒
[00:02:48.720 --> 00:02:51.280]  以利米勒就選擇了
[00:02:51.280 --> 00:02:55.640]  帶著老婆子女去到摩崖這個地方
[00:02:55.640 --> 00:02:58.400]  當然我們聖經沒有說他為什麼要去摩崖這個地方
[00:02:58.400 --> 00:02:59.560]  但是其實目的
[00:02:59.560 --> 00:03:02.960]  我想最主要都是希望可以有溫泊
[00:03:02.960 --> 00:03:03.920]  有饑荒
[00:03:03.920 --> 00:03:05.160]  你想找一個地方
[00:03:05.160 --> 00:03:09.400]  是能夠有飯吃的
