
[00:00:00.000 --> 00:00:04.000]  今日我會繼續跟大家講關於禱告這個題目
[00:00:04.000 --> 00:00:09.000]  大家不知道還記不記得上個禮拜
[00:00:09.000 --> 00:00:13.000]  即是上次講到是講這一段經文的前文
[00:00:13.000 --> 00:00:20.000]  主耶穌告訴我們不要學那些假冒為善的人的禱告方式
[00:00:20.000 --> 00:00:25.000]  因為他們目的只是想得到人的稱讚
[00:00:27.000 --> 00:00:32.000]  今日這段經文主耶穌教我們要有正確的禱告方法
[00:00:32.000 --> 00:00:37.000]  這些方法包括方式、方向和內容
[00:00:37.000 --> 00:00:45.000]  當我看這段經文時我自己有很大的感受
[00:00:45.000 --> 00:00:50.000]  覺得這段經文非常精彩和很有啟導性
[00:00:52.000 --> 00:01:00.000]  但另一方面我又想到很多信徒都未必知道要這樣祈禱
[00:01:00.000 --> 00:01:03.000]  或者沒有深入去想
[00:01:03.000 --> 00:01:07.000]  所以今日我相信是一個非常難得的機會
[00:01:07.000 --> 00:01:12.000]  我們可以一起去學習主所教導的禱告模式
[00:01:15.000 --> 00:01:23.000]  我們剛才讀的聖經是馬太福音六章七至十五節
[00:01:23.000 --> 00:01:25.000]  我們看看第七節
[00:01:25.000 --> 00:01:30.000]  你們禱告不可仗愛邦人
[00:01:30.000 --> 00:01:32.000]  用許多重覆話
[00:01:32.000 --> 00:01:35.000]  他們以為話多了必蒙誰聽
[00:01:37.000 --> 00:01:47.000]  耶穌教我們禱告時千萬不要學拜偶像的愛邦人的禱告方式
[00:01:47.000 --> 00:01:56.000]  他們是用許多重覆話來禱告
[00:01:56.000 --> 00:02:01.000]  他們以為話多了必蒙誰聽
[00:02:04.000 --> 00:02:08.000]  我們會問甚麼意思呢?
[00:02:08.000 --> 00:02:12.000]  不要用重覆話來禱告是甚麼意思呢?
[00:02:12.000 --> 00:02:19.000]  是否不可以重覆同樣的禱告內容呢?
[00:02:19.000 --> 00:02:24.000]  是否每件事都說一次就夠呢?
[00:02:24.000 --> 00:02:27.000]  當然我們很多時候說一次就夠
[00:02:27.000 --> 00:02:30.000]  但事實上不是的,很難的
[00:02:31.000 --> 00:02:36.000]  我們很多時候會為一些特定的事
