
[00:00:00.000 --> 00:00:02.440]  在我們自己的崗位裡面能夠去侍奉著
[00:00:02.440 --> 00:00:06.000]  所以我自己也有很大的鼓勵
[00:00:06.000 --> 00:00:09.280]  我希望大家來到教會也是一樣
[00:00:09.280 --> 00:00:10.800]  我們來到教會
[00:00:10.800 --> 00:00:12.440]  我們當然有不同的意見
[00:00:12.440 --> 00:00:14.720]  有不同的看法
[00:00:14.720 --> 00:00:16.760]  或者我們有不同的編號
[00:00:16.760 --> 00:00:20.560]  但是最重要的是我們要明白教會是一回什麼事
[00:00:20.560 --> 00:00:22.760]  如果了解教會是一回什麼事的時候
[00:00:22.760 --> 00:00:24.920]  我就了解我們自己是回什麼事
[00:00:24.920 --> 00:00:26.720]  為什麼我們來教會
[00:00:26.720 --> 00:00:29.160]  為什麼我們會在這裡生活
[00:00:29.160 --> 00:00:35.400]  為什麼會嘗試去活現出什麼叫做基督徒
[00:00:35.400 --> 00:00:37.000]  信耶穌是一回什麼事
[00:00:37.000 --> 00:00:40.280]  為什麼要參加教會的一個群體
[00:00:40.280 --> 00:00:44.640]  有什麼目的等等
[00:00:44.640 --> 00:00:48.000]  這就是我想在接下來這六七個星期
[00:00:48.000 --> 00:00:52.080]  我跟大家思考的一個問題
[00:00:52.080 --> 00:00:53.480]  嘗試去想一下
[00:00:53.480 --> 00:00:55.600]  到底教會是一回什麼事
[00:00:55.600 --> 00:00:59.720]  當然我們有很多不同的看法
[00:00:59.720 --> 00:01:03.560]  但是最重要的就是教會的主怎樣看我們
[00:01:03.560 --> 00:01:07.960]  教會在上帝的眼中是怎樣的
[00:01:07.960 --> 00:01:10.440]  上帝對教會有什麼預期
[00:01:10.440 --> 00:01:13.480]  上帝對教會有什麼吩咐
[00:01:13.480 --> 00:01:14.960]  這個才是最重要
[00:01:14.960 --> 00:01:17.120]  不是我說不是你說
[00:01:17.120 --> 00:01:20.160]  然後我們回到聖經上帝的話語
[00:01:20.160 --> 00:01:21.720]  基督自己怎樣看教會
[00:01:21.720 --> 00:01:25.840]  所以這個主題叫做基督眼中的教會
[00:01:25.840 --> 00:01:29.040]  What Christ thinks of the church
[00:01:29.040 --> 00:01:31.280]  大家不知道有沒有想過這個問題
[00:01:31.280 --> 00:01:34.200]  很多時候我們進到一個教會
[00:01:34.200 --> 00:01:36.120]  或者去到一個群體的時候
[00:01:36.120 --> 00:01:37.080]  我們想起的就是
[00:01:37.080 --> 00:01:40.520]  我們怎樣think about church
[00:01:40.520 --> 00:01:44.520]  但到底基督是怎樣去看教會的
[00:01:44.520 --> 00:01:47.960]  基督怎樣看你 怎樣看我
[00:01:47.960 --> 00:01:49.600]  所以在接下來六七個星期
[00:01:49.600 --> 00:01:54.280]  我們去到看一段經文
