
[00:00:00.000 --> 00:00:05.240]  聖誕節我也喜歡跟弟兄姊妹分享聖誕的經文或者聖誕詩歌
[00:00:05.240 --> 00:00:06.520]  所以今天在崇拜
[00:00:06.520 --> 00:00:09.880]  我想跟大家來看一段我們比較熟悉的
[00:00:09.880 --> 00:00:11.240]  其實也不止是一段
[00:00:11.240 --> 00:00:13.480]  可能看很多都是聖誕的經文
[00:00:13.480 --> 00:00:15.280]  希望我們回到家裡
[00:00:15.280 --> 00:00:18.240]  你有機會也可以趁著放假
[00:00:18.240 --> 00:00:19.640]  有多一點時間
[00:00:19.640 --> 00:00:23.120]  可以再看一下重溫聖誕的經文
[00:00:23.120 --> 00:00:24.760]  或者唱一些聖誕的詩歌
[00:00:24.760 --> 00:00:29.640]  可以幫助我們能夠更加去尊崇我們的主經歷
[00:00:29.640 --> 00:00:31.480]  主持給我們的平安
[00:00:31.480 --> 00:00:33.200]  今天的經文我用了一個題目
[00:00:33.200 --> 00:00:36.000]  叫做「不安中的真平安」
[00:00:36.000 --> 00:00:39.960]  我們試一下從聖經裡面有不同的人物
[00:00:39.960 --> 00:00:41.360]  他們的經歷
[00:00:41.360 --> 00:00:45.760]  我們來到去在神裡面領受那份真正的平安
[00:00:45.760 --> 00:00:49.480]  一段熟悉的經文是路加坊的儀章
[00:00:49.480 --> 00:00:54.400]  講到牧羊人在野地裡面跟天使的相遇
[00:00:54.400 --> 00:00:56.920]  我想請大家一起讀一次
[00:00:56.920 --> 00:00:58.360]  加深我們的印象
[00:00:58.360 --> 00:01:02.040]  讓我們能夠進入到這段經文信息裡面
[00:01:02.040 --> 00:01:03.680]  我們看到的一層就要重讀
[00:01:03.680 --> 00:01:05.040]  預備起
[00:01:05.040 --> 00:01:07.800]  在伯利恆之野地裡
[00:01:07.800 --> 00:01:09.480]  有牧羊的人
[00:01:09.480 --> 00:01:13.320]  夜間按著羹似看守羊群
[00:01:13.320 --> 00:01:17.200]  有主的使者站在他們旁邊
[00:01:17.200 --> 00:01:20.720]  主的榮光四面照著他們
[00:01:20.720 --> 00:01:23.840]  牧羊的人就甚懼怕
[00:01:23.840 --> 00:01:26.480]  那天使對他們說
[00:01:26.480 --> 00:01:28.120]  「不要懼怕
[00:01:28.120 --> 00:01:31.360]  我報給你們大喜的訊息
[00:01:31.360 --> 00:01:33.640]  是關乎萬民的
[00:01:33.640 --> 00:01:36.960]  因今天在大衛的城裡
[00:01:36.960 --> 00:01:39.640]  為你們生了救主
[00:01:39.640 --> 00:01:41.760]  就是主基督
[00:01:41.760 --> 00:01:44.840]  你們要看見一個英俠
[00:01:44.840 --> 00:01:48.040]  包著布臥在馬槽裡
