
[00:00:00.000 --> 00:00:03.900]  今天我要跟各位來分享的是
[00:00:03.900 --> 00:00:08.560]  從守望禱告到復興
[00:00:08.560 --> 00:00:11.260]  我特別要為各位介紹一個
[00:00:11.260 --> 00:00:14.500]  有一個有信心的先知
[00:00:14.500 --> 00:00:16.640]  他的名字叫哈巴古
[00:00:16.640 --> 00:00:18.800]  哈巴古先知
[00:00:18.800 --> 00:00:21.140]  他寫了這本《哈巴古書》
[00:00:21.140 --> 00:00:24.800]  總共就三個章節
[00:00:24.800 --> 00:00:28.500]  那麼我要介紹 我要跟各位講
[00:00:28.500 --> 00:00:35.040]  哈巴古的時代到底是什麼時代
[00:00:35.040 --> 00:00:37.240]  我們如果看哈巴古第一章
[00:00:37.240 --> 00:00:39.360]  Chapter 1
[00:00:39.360 --> 00:00:41.940]  你會發現他一直在那邊
[00:00:41.940 --> 00:00:45.240]  神讓他看到將來的現在的
[00:00:45.240 --> 00:00:48.140]  還有發生的事情
[00:00:48.140 --> 00:00:50.340]  他就向神禱告 向神呼求
[00:00:50.340 --> 00:00:54.740]  哎呀 你怎麼靜默不語呢
[00:00:54.740 --> 00:00:59.660]  這個巴比倫人或者是迦勒底人
[00:00:59.660 --> 00:01:03.100]  這個你用外邦人來在欺負我們
[00:01:03.100 --> 00:01:04.300]  你的子民啊
[00:01:04.300 --> 00:01:08.000]  你為什麼靜默不語呢
[00:01:08.000 --> 00:01:10.160]  到了第二章
[00:01:10.160 --> 00:01:12.100]  他的態度
[00:01:12.100 --> 00:01:16.300]  他的心開始有了一些改變
[00:01:16.300 --> 00:01:18.660]  因為他聽到神的聲音
[00:01:18.660 --> 00:01:21.660]  看到神的作為
[00:01:21.660 --> 00:01:26.860]  到了第三章 他就在族裡面歡喜快樂
[00:01:26.860 --> 00:01:29.240]  他就開始唱歌
[00:01:29.240 --> 00:01:33.440]  他說 雖然《哈巴古書》怎麼樣
[00:01:33.440 --> 00:01:37.140]  《感蘭書》怎麼樣等等
[00:01:37.140 --> 00:01:40.460]  最後 結束了
[00:01:40.460 --> 00:01:44.400]  其實呢 後來事情還是都發生
[00:01:44.400 --> 00:01:46.560]  他最怕的事情也是發生
[00:01:46.560 --> 00:01:49.760]  但是神的應許是永遠不變
[00:01:49.760 --> 00:01:51.760]  後來他們也有回歸
[00:01:51.760 --> 00:01:54.000]  是不是
[00:01:54.000 --> 00:01:57.040]  那麼《哈巴古書》
[00:01:57.040 --> 00:01:58.860]  這英文呢
[00:01:58.860 --> 00:01:59.640]  它是說
[00:01:59.640 --> 00:02:04.160]  The prophet who clung unto God
[00:02:04.160 --> 00:02:05.740]  clung 是說
[00:02:05.740 --> 00:02:09.400]  clink 抱的意思
[00:02:09.400 --> 00:02:10.900]  也就是說
[00:02:10.900 --> 00:02:12.900]  在英文聖經裡面說
[00:02:12.900 --> 00:02:17.300]  這個先知識僅僅抱住神
[00:02:17.300 --> 00:02:19.640]  這個clunk 就是過去式
[00:02:19.640 --> 00:02:22.100]  clink 僅僅的抱住
[00:02:22.100 --> 00:02:23.360]  他抱住神
[00:02:23.360 --> 00:02:24.500]  所以
[00:02:24.500 --> 00:02:28.260]  他是一個僅僅抱住神不放的
[00:02:28.260 --> 00:02:30.140]  一個先知
[00:02:30.140 --> 00:02:33.540]  雖然他面對許多的問題
[00:02:33.540 --> 00:02:35.700]  讓他煩擾
[00:02:35.700 --> 00:02:37.940]  他有許多的不如意
[00:02:37.940 --> 00:02:38.840]  但是
[00:02:38.840 --> 00:02:43.860]  他把他的難處帶到神的面前
[00:02:43.860 --> 00:02:46.040]  我們有沒有這個樣子啊
[00:02:46.040 --> 00:02:49.440]  當我們的生命中有難處的時候
[00:02:49.440 --> 00:02:53.240]  你會不會把他帶到神的面前來啊
[00:02:53.240 --> 00:02:56.500]  尤其
[00:02:56.500 --> 00:02:58.540]  我們在過去
[00:02:58.540 --> 00:02:59.640]  有的時候
[00:02:59.640 --> 00:03:02.500]  這兩年是幾乎沒有探訪
[00:03:02.500 --> 00:03:04.240]  大家也不要我們去了
[00:03:04.240 --> 00:03:06.240]  這三年沒有人探訪
[00:03:06.240 --> 00:03:08.600]  怕都怕得要死了
[00:03:08.600 --> 00:03:11.940]  但是我們也開始慢慢要探訪
[00:03:11.940 --> 00:03:15.000]  那麼過去幾年我們就常常探訪
[00:03:15.000 --> 00:03:17.200]  尤其是家裡面有糾紛的時候
[00:03:17.200 --> 00:03:18.840]  去探訪一下
[00:03:18.840 --> 00:03:20.740]  很奇怪的
[00:03:20.740 --> 00:03:23.100]  這真的是公說公有理
[00:03:23.100 --> 00:03:24.660]  婆說婆有理
[00:03:24.660 --> 00:03:28.000]  兩個人講的都是一樣的事情
[00:03:28.000 --> 00:03:30.440]  兩種截然不同的觀點
[00:03:30.440 --> 00:03:31.900]  也會吵起來
[00:03:31.900 --> 00:03:35.100]  吵得要分家不可開交
[00:03:35.100 --> 00:03:37.200]  結果我們就說 來吧
[00:03:37.200 --> 00:03:40.200]  不要再吵了
[00:03:40.200 --> 00:03:42.940]  讓我們把心中的難處
[00:03:42.940 --> 00:03:44.540]  我們的抱怨
[00:03:44.540 --> 00:03:46.400]  我們帶到神面前
[00:03:46.400 --> 00:03:49.160]  讓我們跪下來禱告
[00:03:49.160 --> 00:03:50.260]  禱告完
[00:03:50.260 --> 00:03:53.560]  真的問題就解決了
[00:03:53.560 --> 00:03:55.860]  這一切的事情
