
[00:00:00.000 --> 00:00:08.140]  大家好,非常高興今天早上可以來到大家當中跟大家分享上帝的話語。
[00:00:08.140 --> 00:00:12.940]  我們要講的是《始祿行傳》第十六章。
[00:00:12.940 --> 00:00:27.800]  《始祿行傳》第十六章是一個非常有名的一張聖經,因爲當中有一節聖經是大家非常熟悉的,是叫做《馬其頓的呼喊》或是呼召。
[00:00:27.800 --> 00:00:35.240]  《始祿行傳》第十六章第九節這樣說:請你過來到馬其頓來幫助我們。
[00:00:35.240 --> 00:00:55.220]  今天我們講到的經文比較長一點,是十六章六節到十節,然後十六節到三十四節,我的講道題目是《征服世界的大門呼應》(The World Conquering Mighty Gospel)。
[00:00:55.220 --> 00:01:10.960]  《始祿行傳》第十六章非常豐富,我沒辦法每一節都跟你討論,但是我選了三個非常重要的片段,希望把它們拼成一個整全的福音的圖像給你。
[00:01:10.960 --> 00:01:26.440]  這三個片段是第一,馬其頓緊急地呼求;第二,保羅驅走希臘的邪靈;第三,監獄裏的大門呼應。
[00:01:26.440 --> 00:01:45.620]  當你看到最後的時候,其實我只有一個信息,或者是有兩個信息要告訴大家,就是《始祿行傳》的作者路加他要呈現給我們的是一個十字架上面的基督,還有一個是揹負十字架的人生。
[00:01:45.620 --> 00:02:05.460]  我想一起開始跟你看《始祿行傳》第十六章第六節。請大家聽我讀:因爲聖靈禁止他們在亞細亞講道,他們就經過佛履加加拉泰一帶,到了梅西亞的邊界。
[00:02:05.460 --> 00:02:16.320]  他們想要去比推尼,耶穌的靈卻不許,他們就越過梅西尼,下到特羅亞去。
[00:02:16.320 --> 00:02:27.980]  路加一口氣給了我們一大堆的地名,我不知道我們當中有沒有人是特別對聖經的地理很有感興趣,
[00:02:28.580 --> 00:02:43.040]  或者是我們當中也有一些人好像我這樣,完全對這些名字沒有任何的概念。但是很明顯,最重要的不是地名,重要的是聖靈的帶領。
[00:02:43.040 --> 00:03:01.260]  我可以叫他說,保羅有一個聖靈的導航器,聖靈的GPS,Global Positioning System,全球定位的系統。或者我們聽到這個聖靈的GPS,我們都會很羨慕保羅,
[00:03:01.260 --> 00:03:19.900]  因爲他生命中有聖靈的帶領。如果我也有一個聖靈的GPS,那就很好了,從此以後我很確定我人生的方向,或者是我想,我從此以後就出入平安,一生蒙福。
[00:03:20.600 --> 00:03:33.880]  如果你是這樣想的話,我想你要小心,因爲如果你繼續讀下去這段聖經,你很快就會看見,就是因爲保羅緊緊跟着聖靈的GPS,
[00:03:34.480 --> 00:03:53.980]  因爲保羅緊緊跟着聖靈的帶領,於是他很快就平步青雲、升官發財。不是,因爲他緊緊跟着聖靈的GPS,他很快就被人逼迫背叛監牢。
[00:03:55.440 --> 00:04:10.180]  因爲你再讀下去,你看見《始祖行傳》第十六章裏面,保羅第一次坐牢了,但是他的坐牢不是一次,這個第一次只是將來的一個預演。
[00:04:11.520 --> 00:04:25.620]  《始祖行傳》第十六章是保羅第一次的坐牢,但是不是他最後一次。從《始祖行傳》第二十一章開始,一直到二十八章,基本上保羅都是帶着鎖鏈在那邊傳福音的。
[00:04:25.620 --> 00:04:35.140]  有時候我們在主位學的時候會問或者教導大家,《始祖行傳》裏面記載了保羅多少次的宣教旅程?
