
[00:00:00.000 --> 00:00:02.000]  多謝妹妹平安
[00:00:02.000 --> 00:00:05.000]  能夠在主日的清晨
[00:00:05.000 --> 00:00:06.000]  同心敬拜
[00:00:06.000 --> 00:00:10.000]  是上帝給我們一個很大的恩典
[00:00:10.000 --> 00:00:13.000]  剛才詩班唱了很宏偉的詩歌
[00:00:13.000 --> 00:00:15.000]  很美的歌詞
[00:00:15.000 --> 00:00:19.000]  將上帝對我們一個很大的私恩
[00:00:19.000 --> 00:00:22.000]  和很大的英許賜予
[00:00:22.000 --> 00:00:24.000]  來告訴我們
[00:00:24.000 --> 00:00:27.000]  剛剛過了上兩個禮拜
[00:00:27.000 --> 00:00:30.000]  是基督教最大的節期
[00:00:30.000 --> 00:00:32.000]  受難節和復活節
[00:00:32.000 --> 00:00:34.000]  不知道弟兄姊妹
[00:00:34.000 --> 00:00:38.000]  會不會在放假的過程裡
[00:00:38.000 --> 00:00:41.000]  來細心體味一下
[00:00:41.000 --> 00:00:44.000]  神自己的捨身的愛
[00:00:44.000 --> 00:00:47.000]  相信如果你有安靜起神面前
[00:00:47.000 --> 00:00:50.000]  去細數神自己的恩典
[00:00:50.000 --> 00:00:56.000]  你對上帝的受死待贖和復活
[00:00:56.000 --> 00:00:59.000]  相信會給我們很多提醒
[00:00:59.000 --> 00:01:03.000]  上帝確是對我們施了大恩
[00:01:03.000 --> 00:01:05.000]  今天會和大家去看
[00:01:05.000 --> 00:01:10.000]  《羅馬書》五章十二到二十一節的段落
[00:01:10.000 --> 00:01:12.000]  其實由今年的年頭開始
[00:01:12.000 --> 00:01:15.000]  全教會的講壇
[00:01:15.000 --> 00:01:18.000]  都是來看《羅馬書》
[00:01:18.000 --> 00:01:21.000]  特別是自己的同工來講
[00:01:21.000 --> 00:01:23.000]  我想問在座的弟兄姊妹
[00:01:23.000 --> 00:01:26.000]  你們有多少是從第一章
[00:01:26.000 --> 00:01:29.000]  已經聽到如今
[00:01:29.000 --> 00:01:31.000]  舉手給我看看
[00:01:31.000 --> 00:01:33.000]  不是很多
[00:01:33.000 --> 00:01:36.000]  這是一本很好的書
[00:01:36.000 --> 00:01:39.000]  所以就算你在崇拜裡沒有聽
[00:01:39.000 --> 00:01:41.000]  我鼓勵你回家
[00:01:41.000 --> 00:01:44.000]  好好地來看這本書
[00:01:44.000 --> 00:01:48.000]  以致你能夠對整個基督教的信仰
[00:01:48.000 --> 00:01:51.000]  和上帝給我們的恩典
[00:01:51.000 --> 00:01:54.000]  能夠看得更加透徹和清楚
[00:01:54.000 --> 00:01:56.000]  要進入真理
[00:01:56.000 --> 00:01:59.000]  我們先和心祈禱
[00:01:59.000 --> 00:02:04.000]  親愛的主耶穌
[00:02:04.000 --> 00:02:08.000]  我們一群屬祢的人來到祢的面前
[00:02:08.000 --> 00:02:10.000]  求祢用補血遮蓋
[00:02:10.000 --> 00:02:15.000]  並且撥開我們蒙蔽的眼睛
[00:02:15.000 --> 00:02:18.000]  又叫我們有軟綿綿的心田
[00:02:18.000 --> 00:02:23.000]  能夠進入祢自己的話語裡
