
[00:00:00.000 --> 00:00:08.080]  今天去到《生命記》第三十章
[00:00:08.080 --> 00:00:13.720]  三十章不是這本書的收尾
[00:00:13.720 --> 00:00:23.020]  三十二章有摩西之歌
[00:00:23.020 --> 00:00:28.180]  第三十三章有摩西祝福
[00:00:28.180 --> 00:00:31.000]  三十四章就有摩西的離世
[00:00:31.000 --> 00:00:42.120]  因此第三十章是摩西向以色列人講道的高峰
[00:00:42.120 --> 00:00:56.440]  《生命記》開始和結束都講到人的失敗
[00:00:58.180 --> 00:01:00.180]  我們在上個星期六看到
[00:01:00.180 --> 00:01:03.220]  摩西向以色列人講道
[00:01:03.220 --> 00:01:07.360]  以往的失敗
[00:01:07.360 --> 00:01:10.120]  在第一講,上個禮拜六開始的時候
[00:01:10.120 --> 00:01:12.720]  我們看到第一章到第三章
[00:01:12.720 --> 00:01:16.000]  摩西講道以色列人他們以往的失敗
[00:01:16.000 --> 00:01:27.680]  現在去到二十九章到三十一章
[00:01:27.680 --> 00:01:33.800]  神在講,將來以色列人仍然會遇到失敗
[00:01:33.800 --> 00:01:42.560]  第三十一章第十六節,神對摩西這樣講
[00:01:42.560 --> 00:01:48.720]  第十六節聖經說
[00:01:48.720 --> 00:01:52.320]  摩西啊,你快要離世了
[00:01:56.440 --> 00:01:57.960]  這些以色列人
[00:01:57.960 --> 00:02:02.320]  他們會隨從外邦人的神去行邪淫
[00:02:02.320 --> 00:02:06.560]  他們會離棄我
[00:02:06.560 --> 00:02:09.040]  違背我與他們所立的約
[00:02:09.040 --> 00:02:16.600]  到那天,神的怒氣必向他們發作
[00:02:16.600 --> 00:02:18.440]  也必離棄他們
[00:02:24.320 --> 00:02:28.520]  大家看到嗎,神對於舊約聖經接著發生的事
[00:02:28.520 --> 00:02:30.320]  神會覺得出奇
[00:02:30.320 --> 00:02:39.680]  以色列人他們犯罪,他們失敗
[00:02:39.680 --> 00:02:42.600]  又不會令到神說死了,他們在做什麼呢
[00:02:42.600 --> 00:02:46.600]  神明知他們會怎樣
[00:02:51.640 --> 00:02:56.040]  雖然是這樣,神仍然呼喚他們現在來向神
