
[00:00:00.000 --> 00:00:02.000]  各位姐妹 大家早安
[00:00:02.000 --> 00:00:04.240]  讓我們一同來禱告
[00:00:04.240 --> 00:00:08.820]  親愛的天父 我們來到祢的面前
[00:00:08.820 --> 00:00:11.980]  主啊 讓我們今天在祢的同在裡面
[00:00:11.980 --> 00:00:17.000]  聽祢的話語 聖靈求祢在我們的心裡面 向我們說話
[00:00:17.000 --> 00:00:21.500]  主啊 也賜給孩子有一個敏銳 聖靈引導的心
[00:00:21.500 --> 00:00:24.120]  主啊 讓我在傳講祢的話語的時候
[00:00:24.120 --> 00:00:28.400]  主啊 也能夠聽到從祢而來的指示
[00:00:28.400 --> 00:00:30.600]  謝謝主 與我們同在
[00:00:30.600 --> 00:00:33.740]  讓每一位弟兄姊妹 在聽到祢的話語
[00:00:33.740 --> 00:00:35.740]  生命都可以更新改變
[00:00:35.740 --> 00:00:38.400]  都能夠成為一個被主使用的人
[00:00:38.400 --> 00:00:42.120]  垂聽我們的禱告 奉靠耶穌基督 寶貴得勝的民求
[00:00:42.120 --> 00:00:44.120]  Amen
[00:00:44.120 --> 00:00:51.380]  今天跟各位所要分享的題目呢
[00:00:51.380 --> 00:00:54.800]  是傳揚基督奧秘的小人物
[00:00:56.560 --> 00:00:59.940]  我們都喜歡小人物
[00:00:59.940 --> 00:01:04.560]  我們都喜歡小人物變成大人物的故事
[00:01:04.560 --> 00:01:12.500]  在疫情期間 我們看到 我們認識了很多的小人物
[00:01:12.500 --> 00:01:16.340]  這些小人物呢 他們透過網路的科技
[00:01:16.340 --> 00:01:20.520]  利用YouTube平台 或者是Facebook 或者是Instagram
[00:01:20.520 --> 00:01:22.920]  他們在那裡分享他們的知識
[00:01:22.920 --> 00:01:26.720]  分享他們的生活經驗 分享他們的創意的點子
[00:01:26.720 --> 00:01:31.120]  然後就贏得了許多人的觀看 點讚 訂閱
[00:01:31.120 --> 00:01:34.960]  還有甚至現在還有打賞的這些的措施
[00:01:34.960 --> 00:01:37.400]  他們可以賺一些的費用
[00:01:37.400 --> 00:01:39.960]  在疫情當中呢
[00:01:39.960 --> 00:01:43.280]  有一個數字呢 它不斷地成長
[00:01:43.280 --> 00:01:47.280]  就是小網紅變成中網紅
[00:01:47.280 --> 00:01:48.780]  什麼意思呢
[00:01:48.780 --> 00:01:53.420]  當有一個人 他在YouTube上面播他的節目
[00:01:53.420 --> 00:01:55.880]  許多人就會來觀看
[00:01:55.880 --> 00:01:58.720]  當訂閱的人數增加的時候
[00:01:58.720 --> 00:02:03.160]  比如說 他說原來呢 是一到十萬個人
[00:02:03.160 --> 00:02:09.000]  有一萬到十萬這個區間的人
[00:02:09.000 --> 00:02:11.240]  都來觀看你的節目的話
[00:02:11.240 --> 00:02:14.600]  你就稱為小網紅
[00:02:14.600 --> 00:02:18.280]  那在疫情當中呢 這個數字
[00:02:18.280 --> 00:02:21.320]  從小網紅變成中網紅
[00:02:21.320 --> 00:02:22.880]  中網紅是什麼意思
[00:02:22.880 --> 00:02:25.880]  有十萬人到一百萬人訂閱的話
[00:02:25.880 --> 00:02:27.720]  你就成為中網紅
[00:02:27.720 --> 00:02:31.360]  所以在2010年到2021年
[00:02:31.360 --> 00:02:35.260]  這一年當中呢 有很大的成長
[00:02:35.260 --> 00:02:39.120]  中網紅的成長率是66%
[00:02:39.120 --> 00:02:44.040]  也就是很多的小網紅變成了中網紅
[00:02:44.040 --> 00:02:45.660]  網紅都在做什麼呢
[00:02:45.660 --> 00:02:47.940]  我現在來定義一下網紅的定義
[00:02:47.940 --> 00:02:50.480]  網紅呢 就是有一群人
[00:02:50.480 --> 00:02:53.680]  他們是稱為網生
[00:02:53.680 --> 00:02:56.920]  那個網生不是死掉的那個網生
[00:02:56.920 --> 00:02:58.580]  這個網生的意思是說
[00:02:58.580 --> 00:03:01.160]  你把你生命中自己的時間
[00:03:01.160 --> 00:03:04.360]  全部貢獻給網路
[00:03:04.360 --> 00:03:05.960]  這叫做網生
[00:03:05.960 --> 00:03:08.720]  他們的生命的專注都放在網路上面
[00:03:08.720 --> 00:03:12.100]  然後呢 這些的網紅呢
[00:03:12.100 --> 00:03:16.160]  他們就利用他們的創意
[00:03:16.160 --> 00:03:20.300]  在上面發揮他們的影響力和傳播力
[00:03:20.300 --> 00:03:21.840]  那他們所主持的內容
[00:03:21.840 --> 00:03:23.900]  他們所做的節目呢
[00:03:23.900 --> 00:03:26.640]  有分享食衣住行育樂
[00:03:26.640 --> 00:03:28.080]  所以你看他圖上面
[00:03:28.080 --> 00:03:31.020]  什麼11月可以種什麼蔬菜啊
[00:03:31.020 --> 00:03:32.680]  這個可以找得到
[00:03:32.680 --> 00:03:35.480]  去哪裡玩最好玩啊 也有
[00:03:35.480 --> 00:03:38.020]  這個衣服要怎麼穿啊
[00:03:38.020 --> 00:03:40.100]  潛水要怎麼穿啊
[00:03:40.100 --> 00:03:41.760]  還有潛水寶典
[00:03:41.760 --> 00:03:43.660]  那麵食要怎麼做啊
[00:03:43.660 --> 00:03:46.560]  反正現在你只要想得到的
[00:03:46.560 --> 00:03:51.060]  你去做搜尋可能都會找得到
[00:03:51.060 --> 00:03:52.940]  所以怎麼樣省錢怎麼樣投資
[00:03:52.940 --> 00:03:54.300]  通通都有
[00:03:54.300 --> 00:03:56.200]  幾乎你都可以找到
[00:03:56.200 --> 00:03:58.640]  你們覺得最受歡迎的題目是什麼呢
[00:03:58.640 --> 00:04:01.980]  什麼樣的主題是現在最受歡迎的
[00:04:01.980 --> 00:04:06.280]  根據統計呢是流行時尚和美妝
[00:04:06.280 --> 00:04:08.520]  所以這代表
[00:04:08.520 --> 00:04:11.020]  很多女生
[00:04:11.020 --> 00:04:14.320]  這個觀眾他們都會上去看
[00:04:14.320 --> 00:04:17.520]  另外一個就是藝術音樂和娛樂
[00:04:17.520 --> 00:04:19.400]  第三名是什麼
[00:04:19.400 --> 00:04:21.240]  吃吃喝喝
[00:04:21.240 --> 00:04:22.460]  第四名呢
[00:04:22.460 --> 00:04:24.660]  旅遊
[00:04:24.660 --> 00:04:26.100]  所以我們想想看
[00:04:26.100 --> 00:04:27.840]  我們有興趣的
[00:04:27.840 --> 00:04:32.080]  這些主題其他人也會有興趣
[00:04:32.080 --> 00:04:34.340]  這些的內容呢
[00:04:34.340 --> 00:04:37.520]  其實你說它是世俗嗎
[00:04:37.520 --> 00:04:40.180]  我要說這個就是我們的生活
[00:04:40.180 --> 00:04:41.480]  這就是世人的生活
[00:04:41.480 --> 00:04:43.820]  世人的智慧
[00:04:43.820 --> 00:04:46.260]  但是呢我們卻看見
[00:04:46.260 --> 00:04:47.620]  這一些的網紅
[00:04:47.620 --> 00:04:50.560]  他們都有一個熱情和熱忱
[00:04:50.560 --> 00:04:53.400]  他們在為著他們所信仰的
[00:04:53.400 --> 00:04:55.560]  或他們所喜歡的興趣
[00:04:55.560 --> 00:04:59.200]  在網路上公開發言
[00:04:59.200 --> 00:05:02.340]  甚至是很大膽的
[00:05:02.340 --> 00:05:05.440]  想到我們今天如果
[00:05:05.440 --> 00:05:08.620]  我們想說要找代言人的話
[00:05:08.620 --> 00:05:11.480]  這些網紅他們在傳遞他們的信息
[00:05:11.480 --> 00:05:13.320]  那基督徒如何傳遞信息呢
[00:05:13.320 --> 00:05:15.280]  我們有沒有可能透過網路
[00:05:15.280 --> 00:05:16.660]  也來傳遞信息呢
[00:05:16.660 --> 00:05:17.520]  也有的
[00:05:17.520 --> 00:05:19.080]  我是看到也有的
[00:05:19.080 --> 00:05:20.500]  只不過有一些太偏頗
[00:05:20.500 --> 00:05:23.300]  有一些把基督教拿來當作消費
[00:05:23.300 --> 00:05:25.060]  消費基督教
[00:05:25.060 --> 00:05:26.300]  這是很可惜的
[00:05:26.300 --> 00:05:27.640]  如果我們今天
[00:05:27.640 --> 00:05:28.800]  各位弟兄姊妹
