
[00:00:00.000 --> 00:00:06.000]  在心願裏面 其實主耶穌給基督徒有一個使命
[00:00:06.000 --> 00:00:09.000]  就是其實神給我們享受很多的福氣
[00:00:09.000 --> 00:00:13.000]  但是我們活着不但只是享受神給我們的福氣
[00:00:13.000 --> 00:00:17.000]  無論是你事業很成功 或者你的家庭婚姻關係很好
[00:00:17.000 --> 00:00:20.000]  享受天倫之樂 這些都是很好的東西
[00:00:20.000 --> 00:00:23.000]  但是神如果只是讓我們享受的話
[00:00:23.000 --> 00:00:25.000]  其實可以早一點接我們回去
[00:00:25.000 --> 00:00:28.000]  因爲你在世上所能夠享受最好的福氣
[00:00:28.000 --> 00:00:30.000]  其實也比不過神爲你預備的
[00:00:30.000 --> 00:00:34.000]  那個永恆的家鄉里面的可能百分之一都不到
[00:00:34.000 --> 00:00:36.000]  所以如果神只是讓我們享受的話
[00:00:36.000 --> 00:00:38.000]  其實接我們迴天就要好的無比
[00:00:38.000 --> 00:00:40.000]  但是神沒有接住我們留在世上
[00:00:40.000 --> 00:00:43.000]  其中一個目的是因爲我們還有一些事情
[00:00:43.000 --> 00:00:46.000]  還有一些使命我們還沒有完成
[00:00:46.000 --> 00:00:50.000]  因此在馬太福音的五章十四十六節
[00:00:50.000 --> 00:00:51.000]  那邊有一段的經文
[00:00:51.000 --> 00:00:53.000]  我們一起來讀好不好 一起來讀
[00:00:53.000 --> 00:00:58.000]  你們是世上的光 曾照在山上是不能隱藏的
[00:00:58.000 --> 00:01:01.000]  人點燈不能放在鬥底下
[00:01:01.000 --> 00:01:04.000]  是放在燈臺上就照亮一家的人
[00:01:04.000 --> 00:01:07.000]  你們的光也當這樣照在人前
[00:01:07.000 --> 00:01:10.000]  叫他們看見你們的好行爲
[00:01:10.000 --> 00:01:13.000]  便將榮耀歸給你們在天上的父
[00:01:13.000 --> 00:01:16.000]  所以這是馬太福音五章十四十六節
[00:01:16.000 --> 00:01:18.000]  這邊講到主耶穌告訴我們說
[00:01:18.000 --> 00:01:21.000]  原來我們基督徒有個使命
[00:01:21.000 --> 00:01:23.000]  我們有個身份我們活在世上
[00:01:23.000 --> 00:01:26.000]  其實是要照亮這個黑暗的世界
[00:01:26.000 --> 00:01:27.000]  這是我們應該做的
[00:01:27.000 --> 00:01:29.000]  當我們沒有做到的時候
[00:01:29.000 --> 00:01:31.000]  我們就失去了作用
[00:01:31.000 --> 00:01:33.000]  就像鹽沒有了味道
[00:01:33.000 --> 00:01:35.000]  如果沒有味道就不是鹽了
[00:01:35.000 --> 00:01:36.000]  就沒作用
[00:01:36.000 --> 00:01:37.000]  燈也是一樣
[00:01:37.000 --> 00:01:40.000]  燈如果不發光也是沒用
[00:01:40.000 --> 00:01:44.000]  所以我們是神讓我們是點燃
[00:01:44.000 --> 00:01:45.000]  我們自己的生命
[00:01:45.000 --> 00:01:48.000]  在這個黑暗的世界能夠成爲光
[00:01:48.000 --> 00:01:51.000]  那麼如果我們需要把我們的生命活出來
[00:01:51.000 --> 00:01:53.000]  真的像主耶穌所說的
[00:01:53.000 --> 00:01:55.000]  我們活得有發光
[00:01:55.000 --> 00:01:57.000]  能夠在黑暗的世界讓別人看到
[00:01:57.000 --> 00:01:58.000]  看到盼望
[00:01:58.000 --> 00:01:59.000]  我們需要
[00:01:59.000 --> 00:02:01.000]  今天我們需要討論幾件事情
[00:02:01.000 --> 00:02:03.000]  是我們需要來學習的
[00:02:03.000 --> 00:02:05.000]  因爲這些不學習的話
[00:02:05.000 --> 00:02:06.000]  我們很難發光
[00:02:06.000 --> 00:02:07.000]  那麼第一件事
[00:02:07.000 --> 00:02:08.000]  我們今天要來學的就是
[00:02:08.000 --> 00:02:11.000]  我們不再爲物質的生活而憂愁
[00:02:11.000 --> 00:02:13.000]  我們不再爲
[00:02:13.000 --> 00:02:17.000]  在馬太福音的六章三十一三十三節那邊說
[00:02:17.000 --> 00:02:18.000]  所以不要憂愁說
[00:02:18.000 --> 00:02:20.000]  喫什麼喝什麼穿什麼
[00:02:20.000 --> 00:02:22.000]  這都是外邦人所求的
