
[00:00:00.000 --> 00:00:02.000]  我們添福感謝你
[00:00:02.000 --> 00:00:06.500]  今天下午當我們回來看《創世紀》的時候
[00:00:06.500 --> 00:00:08.500]  給我們聰明智慧
[00:00:08.500 --> 00:00:14.500]  我們越來越覺得聖經是非常不容易讀的一本書
[00:00:14.500 --> 00:00:16.500]  但在這個不容易讀的過程中
[00:00:16.500 --> 00:00:22.500]  也看出了很多很深奧很豐富的地方
[00:00:22.500 --> 00:00:24.500]  在從前我們所不知道的
[00:00:24.500 --> 00:00:29.500]  幫助我們去看到故事背後的故事
[00:00:29.500 --> 00:00:38.500]  幫助我們去有一個很清晰的頭腦去思想
[00:00:38.500 --> 00:00:40.500]  究竟我們怎樣去入門
[00:00:40.500 --> 00:00:43.500]  怎樣去進深到這個話語當中
[00:00:43.500 --> 00:00:45.500]  也幫我們感受到
[00:00:45.500 --> 00:00:49.500]  最終我們在做的不是一個學術的研究
[00:00:49.500 --> 00:00:55.500]  我們是在聽上帝的heartbeat
[00:00:55.500 --> 00:00:57.500]  上帝的真理
[00:00:57.500 --> 00:01:01.500]  上帝要給我們傳講的訊息
[00:01:01.500 --> 00:01:03.500]  祂對我們的呼召
[00:01:03.500 --> 00:01:07.500]  今晚我們會一起讀創造的故事
[00:01:07.500 --> 00:01:09.500]  但這個遠遠是超越創造的故事
[00:01:09.500 --> 00:01:11.500]  這是一個拯救的故事
[00:01:11.500 --> 00:01:15.500]  這是一個最偉大的故事
[00:01:15.500 --> 00:01:17.500]  指向著耶穌基督的故事
[00:01:17.500 --> 00:01:18.500]  求祢幫助我們
[00:01:18.500 --> 00:01:22.500]  叫我們內心的去一節一節地去看
[00:01:22.500 --> 00:01:27.500]  叫我們去重溫我們很熟悉的主一學的故事
[00:01:27.500 --> 00:01:30.500]  但用一個完全不一樣的眼光去思想
[00:01:30.500 --> 00:01:31.500]  再次多謝您的期待
[00:01:31.500 --> 00:01:33.500]  奉主耶穌基督的名,阿們
[00:01:33.500 --> 00:01:35.500]  未和您分組之前
[00:01:35.500 --> 00:01:39.500]  我想和您去回顧一點
[00:01:39.500 --> 00:01:40.500]  因為有些事情
[00:01:40.500 --> 00:01:43.500]  我們是需要不斷重覆去做
