
[00:00:00.000 --> 00:00:03.280]  今天的題目叫做「如何維繫合一」
[00:00:03.280 --> 00:00:06.000]  我不知道你有沒有見過有一些組合
[00:00:06.000 --> 00:00:07.800]  本來發展得很好的
[00:00:07.800 --> 00:00:09.600]  或者很合拍的
[00:00:09.600 --> 00:00:12.720]  或者雙方合作得很好
[00:00:12.720 --> 00:00:15.480]  或者本來是很有潛質的
[00:00:15.480 --> 00:00:17.240]  但是因為有一些分歧
[00:00:17.240 --> 00:00:18.880]  或者意見不合
[00:00:18.880 --> 00:00:20.960]  而最後不能夠繼續合作
[00:00:20.960 --> 00:00:22.760]  或者最後不能夠繼續合拍
[00:00:22.760 --> 00:00:24.920]  或者不能夠繼續配合的呢
[00:00:24.920 --> 00:00:26.080]  如果大家認識我
[00:00:26.080 --> 00:00:29.520]  就知道我很喜愛Beyond這隊樂隊的
[00:00:29.520 --> 00:00:32.680]  今年其實是Beyond成立40週年了
[00:00:32.680 --> 00:00:38.360]  作為樂迷其實很希望樂隊能夠再一次重組
[00:00:38.360 --> 00:00:40.400]  再一次能夠走在一起
[00:00:40.400 --> 00:00:43.280]  一起玩音樂、一起表演
[00:00:43.280 --> 00:00:45.680]  如果有時候我們留意社交媒體的信息
[00:00:45.680 --> 00:00:49.400]  都有說原來是隊員和隊員之間
[00:00:49.400 --> 00:00:51.400]  有一些可能意見不合
[00:00:51.400 --> 00:00:56.240]  導致到今天都未能夠再一次重組
[00:00:56.240 --> 00:00:58.760]  最近我留意社交媒體
[00:00:58.760 --> 00:01:00.120]  突然間有一個報導就說
[00:01:00.120 --> 00:01:04.920]  Beyond將會重組為40週年再次表演
[00:01:04.920 --> 00:01:05.880]  很興奮
[00:01:05.880 --> 00:01:07.600]  立刻按下去看
[00:01:07.600 --> 00:01:08.640]  原來按下去
[00:01:08.640 --> 00:01:10.240]  原來不是真的
[00:01:10.240 --> 00:01:11.600]  是沒有根據的
[00:01:11.600 --> 00:01:13.960]  空歡喜一場
[00:01:13.960 --> 00:01:19.000]  因為我還有追蹤一些樂隊的一些群體
[00:01:19.000 --> 00:01:21.560]  然後又有一個人昨天就發佈出來
[00:01:21.560 --> 00:01:22.680]  不是,前晚發佈出來
[00:01:22.680 --> 00:01:26.160]  就說我們看到其中一個成員
[00:01:26.160 --> 00:01:27.960]  我正在看他、追蹤他
[00:01:27.960 --> 00:01:31.000]  他還在追蹤另一個成員
[00:01:31.000 --> 00:01:32.080]  還有希望的
[00:01:32.080 --> 00:01:35.720]  他們還未追蹤大家
[00:01:35.720 --> 00:01:38.760]  就想想他追蹤了幾十萬個人
[00:01:38.760 --> 00:01:41.160]  究竟還有沒有得重組呢
[00:01:41.160 --> 00:01:42.200]  都是不知道的
[00:01:42.200 --> 00:01:43.800]  但是作為樂迷
[00:01:43.800 --> 00:01:45.800]  40週年這麼重要的日子
[00:01:45.800 --> 00:01:48.680]  如果真的樂隊不能夠重組
[00:01:48.680 --> 00:01:50.760]  都只能用他們其中一首歌
[00:01:50.760 --> 00:01:54.280]  就是「無淚的遺憾」
[00:01:54.280 --> 00:01:57.000]  大家除了知道我很喜歡Beyond之外
[00:01:57.000 --> 00:01:58.960]  我也很喜歡看球賽
[00:01:58.960 --> 00:02:01.640]  外華頓是我很喜愛的球隊
[00:02:01.640 --> 00:02:03.880]  最近很多時候我告訴別人
[00:02:03.880 --> 00:02:05.000]  我喜歡外華頓
[00:02:05.000 --> 00:02:06.640]  或者大家知道的時候
[00:02:06.640 --> 00:02:11.240]  最近看到我都會用同情和憐憫的眼光
[00:02:11.240 --> 00:02:13.440]  來跟我聊天
[00:02:13.440 --> 00:02:15.000]  大家都知道外華頓
[00:02:15.000 --> 00:02:18.080]  特別是現在經歷很多內憂外患
[00:02:18.080 --> 00:02:20.320]  分數已經不多了
[00:02:20.320 --> 00:02:23.240]  另外最近被人控告
[00:02:23.240 --> 00:02:27.280]  說他們財務處理得不好
[00:02:27.280 --> 00:02:30.280]  如果被罰會扣分
[00:02:30.280 --> 00:02:32.040]  我心想沒有甚麼分數了
[00:02:32.040 --> 00:02:34.480]  還扣分就是沒有分數了
[00:02:34.480 --> 00:02:36.800]  過去大家知道
[00:02:36.800 --> 00:02:39.520]  有看新聞他們換過幾次領隊
[00:02:39.520 --> 00:02:42.520]  其實每次換領隊都出現一個問題
[00:02:42.520 --> 00:02:45.480]  就是之前有些踢得不錯的球員
[00:02:45.480 --> 00:02:47.960]  但是因為他們跟領隊怎樣
[00:02:47.960 --> 00:02:49.320]  不能配合
[00:02:49.320 --> 00:02:52.960]  跟領隊的踢法或者理解不能配合
[00:02:52.960 --> 00:02:54.880]  最終就要離開球隊
[00:02:54.880 --> 00:02:57.200]  每次離開球隊都會很心痛
[00:02:57.200 --> 00:02:58.000]  為甚麼呢
[00:02:58.000 --> 00:03:00.480]  因為通常如果他們跟領隊配合不到
[00:03:00.480 --> 00:03:02.160]  然後他們轉去另一間球隊
[00:03:02.160 --> 00:03:04.720]  轉會費很便宜
[00:03:04.720 --> 00:03:06.080]  但是他們去另一間球隊
[00:03:06.080 --> 00:03:07.600]  又踢得很好
[00:03:07.600 --> 00:03:08.520]  然後你的心會覺得
[00:03:08.520 --> 00:03:09.880]  哎呀 捉住捉住
[00:03:09.880 --> 00:03:11.800]  如果合得來踢就好了
[00:03:11.800 --> 00:03:14.120]  但是合不來
[00:03:14.120 --> 00:03:17.400]  我們今天作為耶穌的門徒
[00:03:17.400 --> 00:03:20.720]  我們的生命是經歷了基督的救恩
[00:03:20.720 --> 00:03:24.640]  我們的生命都有聖靈在我們的生命裏面
[00:03:24.640 --> 00:03:26.160]  寶不寶貴
[00:03:26.160 --> 00:03:26.760]  寶貴啊
[00:03:26.760 --> 00:03:28.360]  你看看你旁邊的那個
[00:03:28.360 --> 00:03:30.840]  你會覺得我們的生命真的很寶貴
[00:03:30.840 --> 00:03:32.240]  生命很寶貴
[00:03:32.240 --> 00:03:34.320]  我們領受了基督的救恩
[00:03:34.320 --> 00:03:36.360]  有聖靈在我們的生命當中
[00:03:36.360 --> 00:03:40.240]  並且我們一起領受大界命
[00:03:40.240 --> 00:03:41.520]  和大使命
[00:03:41.520 --> 00:03:43.520]  當我們這樣領受的時候
[00:03:43.520 --> 00:03:45.200]  我們的屬靈群體
[00:03:45.200 --> 00:03:49.760]  又怎樣維繫這個屬靈群體的合一呢
[00:03:49.760 --> 00:03:51.400]  當我們說看《迦拉太書》
[00:03:51.400 --> 00:03:52.920]  大家記得第一章
[00:03:52.920 --> 00:03:54.560]  陳牧師說出
[00:03:54.560 --> 00:03:57.800]  要怎樣拆穿假東西
[00:03:57.800 --> 00:03:59.880]  我們要活在真理裏面
[00:03:59.880 --> 00:04:02.120]  其實陳牧師說了一件很重要的事
[00:04:02.120 --> 00:04:04.880]  他說如果昔日保羅沒有在那裏
[00:04:04.880 --> 00:04:06.760]  去持守那個真理
[00:04:06.760 --> 00:04:09.720]  其實對於我們有很大的影響
[00:04:09.720 --> 00:04:11.880]  因為當時有一個爭拗
[00:04:11.880 --> 00:04:15.200]  就是信耶穌那些非猶太人
[00:04:15.200 --> 00:04:17.200]  即是外邦人信則耶穌
[00:04:17.200 --> 00:04:22.280]  他們還需不需要遵守猶太的律法呢
[00:04:22.280 --> 00:04:25.040]  如果當時這個真理沒有處理好
[00:04:25.040 --> 00:04:26.960]  剛才陳牧師上星期跟我們說
[00:04:26.960 --> 00:04:28.720]  我們都有很大的影響
[00:04:28.720 --> 00:04:30.520]  就是今天我們如果不處理好
[00:04:30.520 --> 00:04:32.600]  說一定要跟隨猶太的律法
[00:04:32.600 --> 00:04:35.320]  我們就不能吃豬了
[00:04:35.320 --> 00:04:38.200]  那就沒有焗豬扒飯吃
[00:04:38.200 --> 00:04:41.400]  以及沒有魚豬吃
[00:04:41.400 --> 00:04:44.600]  我就很喜歡吃魚豬
[00:04:44.600 --> 00:04:47.160]  多謝保羅持守了真理
[00:04:47.160 --> 00:04:50.080]  叫我們今天信耶穌可以吃魚豬
[00:04:50.080 --> 00:04:51.000]  不單止是這樣
[00:04:51.000 --> 00:04:53.800]  其實我想到有另外一個很嚴重的後果
[00:04:53.800 --> 00:04:58.920]  如果保羅沒有昔日為我們持守那個真理
[00:04:58.920 --> 00:05:00.360]  今天你進來教會
[00:05:00.360 --> 00:05:02.680]  譬如說你看到有浸禮
[00:05:02.680 --> 00:05:07.480]  你就會看到寫著雅根堂第幾多屆浸禮
[00:05:07.480 --> 00:05:09.480]  祈葛禮
[00:05:09.480 --> 00:05:10.400]  為甚麼
[00:05:10.400 --> 00:05:16.480]  因為猶太的傳統男士是要受葛禮的
[00:05:16.480 --> 00:05:19.960]  如果今天你說信耶穌要跟隨猶太的傳統
[00:05:19.960 --> 00:05:23.760]  即是我們今天每一個信耶穌的弟兄要受葛禮
[00:05:23.760 --> 00:05:26.720]  所以今天你可能進來參加浸禮
[00:05:26.720 --> 00:05:28.800]  通常你很開心慢慢參加浸禮
[00:05:28.800 --> 00:05:32.000]  帶著一些花、禮物很開心進來
[00:05:32.000 --> 00:05:33.760]  但你進來看到寫著雅根堂
[00:05:33.760 --> 00:05:35.760]  譬如說第二十六屆浸禮
[00:05:35.760 --> 00:05:37.440]  祈葛禮
[00:05:37.440 --> 00:05:42.480]  然後姊妹就好心坐在這裏,弟兄就坐在這裏等受葛禮
[00:05:42.480 --> 00:05:44.880]  你又會見到牧師說完
[00:05:44.880 --> 00:05:48.400]  我們現在完了浸禮,現在是葛禮的開始
[00:05:48.400 --> 00:05:51.160]  但感謝因為保羅為我們持守了真理
[00:05:51.160 --> 00:05:54.400]  所以我們就有浸禮,我們沒有葛禮
[00:05:54.400 --> 00:05:57.360]  如果你是新來的,我們沒有葛禮
[00:05:57.360 --> 00:06:01.600]  但你想想,原來對我們有這麼嚴重的後果
[00:06:01.600 --> 00:06:08.000]  但其實更加重要的是,如果這個問題不處理好
[00:06:08.000 --> 00:06:10.400]  其實是會導致教會分裂的
[00:06:10.400 --> 00:06:12.800]  因為大家有不同的看法的時候
[00:06:12.800 --> 00:06:18.160]  如果不處理,會導致有一班人覺得這個教會要行葛禮的
[00:06:18.160 --> 00:06:22.480]  那個教會不需要行葛禮,就會導致教會的分裂
[00:06:22.480 --> 00:06:26.000]  所以我們看到就是加泰教會信耶穌的非猶太人
[00:06:26.000 --> 00:06:29.440]  是否要受葛禮才能夠成為真正的基督徒呢?
[00:06:29.440 --> 00:06:33.280]  我們進一步去看,當教會,或者我們屬靈的群體
[00:06:33.280 --> 00:06:35.520]  我們出現不同的想法或者意見
[00:06:35.520 --> 00:06:39.920]  我們又怎樣維繫信仰群體的合一呢?
[00:06:39.920 --> 00:06:43.360]  我們就跟加拉太書第二章
[00:06:43.360 --> 00:06:47.520]  我們一起學好三個重要的功課
[00:06:47.520 --> 00:06:52.560]  第一個功課,是我們要竭力溝通,保護真道
[00:06:52.560 --> 00:06:56.320]  我們首先讀第一至第五節,我們一起讀,一二三
[00:06:56.320 --> 00:07:01.440]  過了十四年,我同巴拿巴又上耶路撒冷去
[00:07:01.440 --> 00:07:06.720]  並帶著提多同去,我是奉啟示想去的
[00:07:06.720 --> 00:07:12.240]  把我在外方人所傳的福音,對弟兄們陳說
[00:07:12.240 --> 00:07:16.560]  卻是背地裡對那有名望之人說的
[00:07:16.560 --> 00:07:21.360]  唯恐我現在,或是從前,徒然奔跑
[00:07:21.360 --> 00:07:28.880]  但與我同去的提多,雖是欺騙人,也沒有勉強他受割禮
[00:07:28.880 --> 00:07:33.040]  因為有偷著引進來的假弟兄
[00:07:33.040 --> 00:07:37.680]  私下窺探我們在基督耶穌裡的自由
[00:07:37.680 --> 00:07:42.880]  要叫我們作勞僕,我們就是一刻的功夫
[00:07:42.880 --> 00:07:46.000]  也沒有容讓信服他們
[00:07:46.000 --> 00:07:50.800]  為要叫福音的真理,仍存在你們中間
[00:07:50.800 --> 00:07:54.160]  這裡開始,保羅說過了十四年
[00:07:54.160 --> 00:07:56.960]  過了十四年,他又去耶路撒冷
[00:07:56.960 --> 00:08:01.920]  我們不知道過了十四年,是他遇見耶穌後十四年
[00:08:01.920 --> 00:08:06.800]  或是他上一次去耶路撒冷後,過了十四年又再去耶路撒冷
[00:08:06.800 --> 00:08:12.720]  今次他說了他跟誰一起去,他跟巴拿巴和提多一起去
[00:08:12.720 --> 00:08:18.480]  他沒有作特別的介紹,即是加拉泰教會應該很清楚知道
[00:08:18.480 --> 00:08:23.520]  巴拿巴和提多是甚麼人,他們兩個都是保羅的同工
[00:08:23.520 --> 00:08:25.920]  亦都是當時教會的領袖
[00:08:25.920 --> 00:08:30.880]  相信今日如果陳牧師跟你說,他是派單張跟梁牧和廖牧一起去
[00:08:30.880 --> 00:08:34.880]  你不會問梁牧和廖牧是誰,你知道他們是誰
[00:08:34.880 --> 00:08:38.720]  如果你不知道,你問你旁邊的梁牧和廖牧是誰就可以了
[00:08:38.720 --> 00:08:40.960]  他們知道這兩個人是甚麼人
[00:08:40.960 --> 00:08:44.720]  但這裡有一個關鍵的人物就是提多,為甚麼呢
[00:08:44.720 --> 00:08:48.320]  因為提多是欺騙人,他是外邦人
[00:08:48.320 --> 00:08:52.080]  提多其實在這裡有一個很重要的象徵
[00:08:52.080 --> 00:08:57.120]  就是他代表著聖靈在外邦人當中的工作
[00:08:57.120 --> 00:08:59.520]  聖靈在外邦人中叫人信耶穌
[00:08:59.520 --> 00:09:06.240]  不單是這樣,聖靈在外邦人,在信主的果子裡面興起了教會的領袖
[00:09:06.240 --> 00:09:10.640]  他是希臘人,他是聖靈在外邦人之中的工作的果子
[00:09:10.640 --> 00:09:13.840]  更加成為了教會的領袖
[00:09:13.840 --> 00:09:18.320]  而第二節保羅就解釋了這次他去耶路撒冷是做甚麼的呢
[00:09:18.320 --> 00:09:21.600]  他首先解釋清楚這是上帝給他的啟示
[00:09:21.600 --> 00:09:26.560]  即是不是有人叫他去,即是你要過來匯報,不是這樣的意思
[00:09:26.560 --> 00:09:31.680]  他說是上帝給他的啟示,但他去耶路撒冷做甚麼呢
[00:09:31.680 --> 00:09:36.560]  原來他去耶路撒冷就是要去見那些有名望的人
[00:09:36.560 --> 00:09:39.360]  即是耶路撒冷教會的領袖
[00:09:39.360 --> 00:09:44.480]  去見耶路撒冷的領袖做甚麼呢,就是要澄清這個重要的問題
[00:09:44.480 --> 00:09:50.960]  究竟信主的非猶太人需不需要遵守猶太的律法呢
[00:09:50.960 --> 00:09:54.160]  他主動溝通去處理這個問題
[00:09:54.160 --> 00:09:56.560]  因為如果這個問題不處理
[00:09:56.560 --> 00:10:00.640]  第一,我們今天就不能吃豬肉,我們要受割禮
[00:10:00.640 --> 00:10:04.320]  但更加重要的是如果不處理好,教會會分裂的
