
[00:00:00.000 --> 00:00:03.300]  在新年的時候,剛剛過了新年
[00:00:03.300 --> 00:00:07.000]  有個人送了盆栽給我
[00:00:07.000 --> 00:00:12.940]  我就很體會到種植那些人的心情
[00:00:12.940 --> 00:00:14.760]  有人問我有多重
[00:00:14.760 --> 00:00:17.240]  我就有點明白
[00:00:17.240 --> 00:00:23.240]  其實種植盆栽的人
[00:00:23.240 --> 00:00:26.240]  其實是必定會期望
[00:00:26.240 --> 00:00:29.440]  出生時很興奮的那種感覺
[00:00:29.440 --> 00:00:32.840]  你們從一顆看不到的東西鋪在泥裏
[00:00:32.840 --> 00:00:35.400]  到它發芽生長是很興奮的事
[00:00:35.400 --> 00:00:39.000]  就好像他們剛剛做爹地時
[00:00:39.000 --> 00:00:42.360]  看到寶寶出生時很興奮的感覺
[00:00:42.360 --> 00:00:45.440]  你們明白的不要緊
[00:00:45.440 --> 00:00:47.240]  種下東西你會明白的
[00:00:47.240 --> 00:00:50.240]  從一顆看不到的種子發芽生長
[00:00:50.240 --> 00:00:52.040]  什麼叫生命的成長呢
[00:00:52.040 --> 00:00:55.240]  可能就是說知識的增長
[00:00:55.240 --> 00:00:57.240]  從幼稚園到小學到中學
[00:00:57.240 --> 00:00:59.400]  一直有更多的知識
[00:00:59.400 --> 00:01:01.400]  又或者是待人處事的時候
[00:01:01.400 --> 00:01:04.600]  隨着你的年紀,你會慢慢成熟
[00:01:04.600 --> 00:01:07.200]  慢慢品格各方面都會成熟
[00:01:07.200 --> 00:01:08.400]  待人處事
[00:01:08.400 --> 00:01:11.000]  又或者是技能會進步
[00:01:11.000 --> 00:01:13.400]  好像你第一次聽我講道和你今天聽我講道
[00:01:13.400 --> 00:01:15.400]  是否覺得已經進步了呢
[00:01:15.400 --> 00:01:18.600]  YES (掌聲)
[00:01:18.600 --> 00:01:21.200]  我們說生命裏面的體驗
[00:01:21.200 --> 00:01:23.800]  在生命裏面想一想
[00:01:23.800 --> 00:01:26.400]  有什麼地方是進步過的呢
[00:01:26.400 --> 00:01:28.400]  要想一想有什麼地方是進步了的
[00:01:28.400 --> 00:01:32.800]  每個人都應該有向前進步的
[00:01:32.800 --> 00:01:35.800]  只不過我們不留意就覺得自己沒有進步
[00:01:35.800 --> 00:01:38.200]  又或者是過於放大了自己
[00:01:38.200 --> 00:01:41.200]  輕微進步的位置就覺得很滿足
[00:01:41.200 --> 00:01:43.000]  其實都不是太健康的
[00:01:43.000 --> 00:01:46.800]  不過今天我的題目就是栽種道的種子
[00:01:46.800 --> 00:01:48.400]  我講明這是上集
[00:01:48.400 --> 00:01:51.200]  下星期我會講下集
[00:01:51.200 --> 00:01:53.200]  栽種道的種子
[00:01:53.200 --> 00:01:57.200]  究竟種子如何在我們的心裏發芽
[00:01:57.200 --> 00:02:00.600]  由看不到的種子慢慢看到的芽發出來
[00:02:00.600 --> 00:02:03.800]  以及在我們生命裏面如何成長
[00:02:03.800 --> 00:02:06.400]  以至慢慢看到的果子
[00:02:06.400 --> 00:02:08.200]  這個過程是如何的呢
[00:02:08.200 --> 00:02:10.000]  我們今天只講了上集
[00:02:10.000 --> 00:02:12.000]  就是栽種道的種子
