
[00:00:00.000 --> 00:00:01.460]  頂尖的平安
[00:00:01.460 --> 00:00:06.700]  很感恩很開心今天有機會跟大家一起崇拜
[00:00:06.700 --> 00:00:09.140]  有機會在這裡分享信息
[00:00:09.140 --> 00:00:11.080]  早幾個星期開始
[00:00:11.080 --> 00:00:15.920]  我發現原來星期天要五堂崇拜不是必然的
[00:00:15.920 --> 00:00:19.200]  相信大家都很清楚
[00:00:19.200 --> 00:00:23.420]  有一個颱風叫做天隔
[00:00:23.420 --> 00:00:25.320]  有一個叫做帕卡
[00:00:25.320 --> 00:00:28.800]  我們在之前的一些時間裡面
[00:00:28.800 --> 00:00:31.680]  曾經停過兩次的崇拜
[00:00:31.680 --> 00:00:35.440]  我相信大家都很深印象
[00:00:35.440 --> 00:00:38.660]  不知道大家喜不喜歡颱風呢?
[00:00:38.660 --> 00:00:41.420]  「零頭」
[00:00:41.420 --> 00:00:47.700]  一直以來香港人普遍是很喜歡颱風的
[00:00:47.700 --> 00:00:50.600]  不過這次兩個颱風
[00:00:50.600 --> 00:00:52.600]  至於連續三個颱風之後
[00:00:52.600 --> 00:00:53.600]  的確
[00:00:53.600 --> 00:00:55.120]  剛才看到大家的反應了
[00:00:55.120 --> 00:00:56.580]  「零頭」
[00:00:56.580 --> 00:00:58.180]  為什麼會「零頭」呢?
[00:00:58.180 --> 00:01:00.700]  一個來而又一個
[00:01:00.700 --> 00:01:02.240]  一個來而又一個
[00:01:02.240 --> 00:01:03.240]  很煩吧?
[00:01:03.240 --> 00:01:05.240]  我相信不單止是煩的
[00:01:05.240 --> 00:01:07.880]  更加是它造成的災害
[00:01:07.880 --> 00:01:11.320]  看到地下的停車場
[00:01:11.320 --> 00:01:13.060]  全部都浸了水
[00:01:13.060 --> 00:01:15.680]  看到大澳的房子
[00:01:15.680 --> 00:01:17.440]  很大的天災
[00:01:17.440 --> 00:01:19.720]  更加看到澳門的狀況的時候
[00:01:19.720 --> 00:01:21.720]  我相信大家都很心傷
[00:01:21.720 --> 00:01:23.180]  大家都會看到
[00:01:23.180 --> 00:01:24.760]  為什麼會這樣呢?
[00:01:24.760 --> 00:01:28.680]  大家都不想再見到這個景象發生
[00:01:28.680 --> 00:01:32.240]  這些故事我相信影響了我們每一個人
[00:01:32.240 --> 00:01:35.280]  讓我們都激起了一份善心
[00:01:35.280 --> 00:01:37.280]  我們禱告的行列裡面
[00:01:37.280 --> 00:01:40.440]  我們也有為澳門的災情禱告
[00:01:40.440 --> 00:01:41.800]  我們身為基督徒
[00:01:41.800 --> 00:01:43.280]  我們應該學習
[00:01:43.280 --> 00:01:45.880]  怎麼去愛我們身邊的朋友
[00:01:45.880 --> 00:01:48.520]  不知道大家
[00:01:48.520 --> 00:01:50.520]  除了這個新聞之外
[00:01:50.520 --> 00:01:52.180]  還記得什麼新聞呢?
[00:01:52.180 --> 00:01:55.400]  最近有很多跳樓的事件
[00:01:55.400 --> 00:01:57.400]  聽到跳樓的時候
[00:01:57.400 --> 00:01:59.020]  大家都可能心都汗了
[00:01:59.020 --> 00:02:00.160]  為什麼會這樣呢?
[00:02:00.160 --> 00:02:02.160]  的確這個世代
[00:02:02.160 --> 00:02:04.160]  有很多很多跳樓的事件
[00:02:04.160 --> 00:02:09.520]  最近有一對夫婦在政府裡面做的雙雙跳樓
[00:02:09.520 --> 00:02:11.520]  有很多故事
[00:02:11.520 --> 00:02:13.200]  那天晚上
[00:02:13.200 --> 00:02:15.200]  我晚上在工作的時候
[00:02:15.200 --> 00:02:18.280]  我一邊看電視一邊做的時候
[00:02:18.280 --> 00:02:20.760]  電視被我吸引著
[00:02:20.760 --> 00:02:22.280]  為什麼呢?
[00:02:22.280 --> 00:02:24.280]  那天電視台說
[00:02:24.280 --> 00:02:27.360]  那天跳樓的新聞裡面
[00:02:27.360 --> 00:02:28.360]  他們去追擊
[00:02:28.360 --> 00:02:29.960]  追擊完之後就問
[00:02:29.960 --> 00:02:31.960]  究竟那些豪宅
[00:02:31.960 --> 00:02:33.960]  如果是凶宅的時候
[00:02:33.960 --> 00:02:35.960]  樓價會跌多少?
[00:02:35.960 --> 00:02:44.360]  究竟香港有沒有凶宅這個法定的標準呢?
[00:02:44.360 --> 00:02:45.360]  我看到
[00:02:45.360 --> 00:02:46.680]  為什麼會這樣呢?
[00:02:46.680 --> 00:02:51.960]  為什麼香港人會將樓價這麼快連接
[00:02:51.960 --> 00:02:55.560]  在一個這麼傷感的情況裡面呢?
[00:02:55.560 --> 00:02:58.400]  今天香港的人是不是真的這麼涼薄呢?
[00:02:58.400 --> 00:03:04.360]  買樓雖然是我們香港很多人要面對的苦況
[00:03:04.360 --> 00:03:10.440]  但是我們今天是不是這麼快就將這件事件連起來呢?
[00:03:10.440 --> 00:03:13.000]  再過一些時間
[00:03:13.000 --> 00:03:15.720]  教育局的副局長就要跳樓了
[00:03:15.720 --> 00:03:19.040]  我相信大家都有留意新聞
[00:03:19.040 --> 00:03:23.000]  令大家我相信都很激動或者可能很震撼的
[00:03:23.000 --> 00:03:25.400]  就是較大的民主牆
[00:03:25.400 --> 00:03:29.640]  所貼出恭喜人的一些標語
[00:03:29.640 --> 00:03:34.600]  我相信看到的應該是很傷感也都很髮指
[00:03:34.600 --> 00:03:36.600]  為什麼人會這樣呢?
[00:03:36.600 --> 00:03:39.200]  將人家傷感的故事
[00:03:39.200 --> 00:03:42.160]  拿來開玩笑拿來責罵
[00:03:42.160 --> 00:03:45.080]  就算他們做得怎樣不對都好
[00:03:45.080 --> 00:03:48.440]  這一刻我相信他們是需要安慰
[00:03:48.440 --> 00:03:50.760]  關心、同行的
[00:03:50.760 --> 00:03:53.240]  不過我們有沒有想過這些故事
[00:03:53.240 --> 00:03:55.480]  跟我們有什麼關係呢?
[00:03:55.480 --> 00:04:00.040]  會不會同樣讓我們有反思有反省
[00:04:00.040 --> 00:04:04.640]  我們有沒有用整個角度去看這些事情
[00:04:04.640 --> 00:04:06.960]  我們有沒有去踏出一步
[00:04:06.960 --> 00:04:10.520]  我們去關心我們身邊的人呢?
[00:04:10.520 --> 00:04:13.480]  未必是直接關心受害的人
