
[00:00:00.000 --> 00:00:03.160]  讀一段聖經 我們在路加福音第九章
[00:00:03.160 --> 00:00:06.140]  十二到十七節 這裡我來念
[00:00:06.140 --> 00:00:07.840]  日頭快要平息
[00:00:07.840 --> 00:00:11.840]  十二個門徒來對他說 請教眾人散開
[00:00:11.840 --> 00:00:15.240]  他們豪往四面鄉村去借宿找吃的
[00:00:15.240 --> 00:00:17.280]  因為我們這裡是野地
[00:00:17.280 --> 00:00:19.480]  耶穌說 你們給他們吃吧
[00:00:19.480 --> 00:00:22.280]  門徒說 我們不過有五個餅兩條魚
[00:00:22.280 --> 00:00:25.480]  若不去為這些人買食物就不夠
[00:00:25.480 --> 00:00:27.080]  那時人數約五千
[00:00:27.080 --> 00:00:30.280]  耶穌對門徒說 叫他們一排一排的坐下
[00:00:30.280 --> 00:00:31.880]  每排大約五十人
[00:00:31.880 --> 00:00:35.280]  門徒就如此行叫眾人都坐下
[00:00:35.280 --> 00:00:38.180]  耶穌拿著這五個餅兩條魚望著天
[00:00:38.180 --> 00:00:42.080]  祝福撥開遞給門徒 擺在眾人面前
[00:00:42.080 --> 00:00:44.280]  他們就吃 而且都吃飽了
[00:00:44.280 --> 00:00:46.680]  把剩下的零碎收拾起來
[00:00:46.680 --> 00:00:48.680]  裝滿了十二個籃子
[00:00:48.680 --> 00:00:50.580]  我們就讀到這裡
[00:00:50.580 --> 00:00:53.180]  在這裡再一次感謝很多弟兄姊妹
[00:00:53.180 --> 00:00:56.380]  昨天晚上來參加我七十歲的慶生會
[00:00:56.380 --> 00:00:58.480]  非常歡喜快樂
[00:00:58.480 --> 00:01:02.680]  我看見 阿們
[00:01:02.680 --> 00:01:04.680]  真的看見這麼多人聚集
[00:01:04.680 --> 00:01:06.180]  還有很多全家大小來
[00:01:06.180 --> 00:01:07.680]  我真的非常受感動
[00:01:07.680 --> 00:01:09.480]  也特別謝謝
[00:01:09.480 --> 00:01:12.280]  我知道多少的同工在幕前幕後
[00:01:12.280 --> 00:01:16.280]  真的非常有愛心的付出擺上
[00:01:16.280 --> 00:01:18.780]  我想昨天晚上我們真的經歷了一個
[00:01:18.780 --> 00:01:23.180]  屬靈大家庭聚集在一起的愛跟喜樂
[00:01:23.180 --> 00:01:29.180]  阿們 我們將榮耀歸給我們的神
[00:01:29.180 --> 00:01:30.480]  我覺得最近這段日子來
[00:01:30.480 --> 00:01:34.380]  我真的感覺到神正在帶領我們
[00:01:34.380 --> 00:01:35.880]  不但在我個人身上
[00:01:35.880 --> 00:01:37.580]  也在整個教會
[00:01:37.580 --> 00:01:41.780]  好像要進入一個新的季節當中
[00:01:41.780 --> 00:01:42.980]  走過了疫情
[00:01:42.980 --> 00:01:46.880]  神要帶領我們進入他一個擴張的恩典
[00:01:46.880 --> 00:01:49.180]  恢復的恩典當中
[00:01:49.180 --> 00:01:52.680]  現在正是教會應當準備好
[00:01:52.680 --> 00:01:56.680]  能夠向左向右來擴張的時候
