
[00:00:00.000 --> 00:00:05.320]  今年講到我的經文系列是講針研
[00:00:05.320 --> 00:00:10.320]  由第一個月第一個星期我就講第一章
[00:00:10.320 --> 00:00:12.600]  上個月就講都是第一章
[00:00:12.600 --> 00:00:14.200]  不過因為第一章很長
[00:00:14.200 --> 00:00:16.040]  所以我要分幾次講
[00:00:16.040 --> 00:00:17.960]  和大家重溫一下
[00:00:17.960 --> 00:00:19.560]  針研第一章的內容
[00:00:19.560 --> 00:00:22.240]  一章一節七節提及
[00:00:22.240 --> 00:00:25.680]  針研帶給人兩個重要的益處
[00:00:25.680 --> 00:00:27.680]  不知道大家記不記得呢
[00:00:27.680 --> 00:00:29.120]  第一個的益處是講
[00:00:29.120 --> 00:00:32.080]  年少單純的人在處事的時候
[00:00:32.080 --> 00:00:38.280]  我們懂得持守人義、公平和正直的原則
[00:00:38.280 --> 00:00:40.120]  因為有時候我們年少
[00:00:40.120 --> 00:00:41.360]  我們簡單
[00:00:41.360 --> 00:00:43.800]  我們容易受人誘惑
[00:00:43.800 --> 00:00:45.880]  我們很容易用了一些錯誤的方法
[00:00:45.880 --> 00:00:47.040]  但針研告訴我們
[00:00:47.040 --> 00:00:50.560]  我們應該持守人義、公平和正直的原則
[00:00:50.560 --> 00:00:51.720]  第二個益處原來是
[00:00:51.720 --> 00:00:54.200]  針研不只是給年少的人有幫助
[00:00:54.200 --> 00:00:55.680]  給我們那些成年人
[00:00:55.680 --> 00:00:58.280]  我們自覺我們都不是年少了
[00:00:58.280 --> 00:00:59.960]  我們都知道分別是非
[00:00:59.960 --> 00:01:01.240]  但繼續有幫助
[00:01:01.240 --> 00:01:05.160]  是幫助我們這些成熟智慧者的生命
[00:01:05.160 --> 00:01:06.960]  是能夠更加盡心
[00:01:06.960 --> 00:01:08.360]  盡心到一個地步
[00:01:08.360 --> 00:01:11.760]  我們懂得來敬畏上帝
[00:01:11.760 --> 00:01:15.200]  去到一章八節至到第十三節
[00:01:15.200 --> 00:01:17.280]  其實是全段的經文
[00:01:17.280 --> 00:01:19.440]  給我們看到一幅圖畫
[00:01:19.440 --> 00:01:24.000]  是一幅關乎生命禍福抉擇的圖畫
[00:01:24.000 --> 00:01:27.000]  所以這一大段經文是分兩段的
[00:01:27.000 --> 00:01:29.040]  第八節至到第十九節
[00:01:29.040 --> 00:01:31.320]  告訴我們惡人的道路是怎樣的
[00:01:31.320 --> 00:01:33.320]  第二十節至到三十三節
[00:01:33.320 --> 00:01:35.040]  智慧的道路是怎樣的
[00:01:35.040 --> 00:01:39.400]  它期望我們要留意、細心聽、要選擇
[00:01:39.400 --> 00:01:41.040]  所以細心聽的時候
[00:01:41.040 --> 00:01:45.960]  在第一章第八節至到十九節
[00:01:45.960 --> 00:01:48.720]  有一個聲音,就是父親的聲音
