
[00:00:00.000 --> 00:00:02.120]  今天會繼續講第二波
[00:00:02.120 --> 00:00:04.260]  今天應該是比較容易明白的了
[00:00:04.260 --> 00:00:05.960]  因為是進入正題了
[00:00:05.960 --> 00:00:07.020]  好了
[00:00:07.020 --> 00:00:10.840]  跟大家很簡單的分析上次我們所聽到的
[00:00:10.840 --> 00:00:13.600]  記住我講的就是我們是不會有考試的
[00:00:13.600 --> 00:00:15.480]  就連口試都沒有的
[00:00:15.480 --> 00:00:17.880]  我們這本書叫什麼書呢?
[00:00:17.880 --> 00:00:18.880]  《阿摩斯書》
[00:00:18.880 --> 00:00:20.680]  所以大家多厲害
[00:00:20.680 --> 00:00:22.920]  大家都知道是《阿摩斯書》
[00:00:22.920 --> 00:00:23.760]  沒錯
[00:00:23.760 --> 00:00:26.220]  《阿摩斯》是一個什麼人呢?
[00:00:26.220 --> 00:00:28.520]  他跟其他的先知很不同的
[00:00:28.520 --> 00:00:31.720]  他沒有受過先知門徒的訓練
[00:00:31.720 --> 00:00:32.900]  他是做什麼的呢?
[00:00:32.900 --> 00:00:34.320]  是的
[00:00:34.320 --> 00:00:37.160]  修理桑樹和做牧羊人而已
[00:00:37.160 --> 00:00:40.560]  但是他是南國還是北國的人呢?
[00:00:40.560 --> 00:00:42.040]  沒錯
[00:00:42.040 --> 00:00:42.740]  真的很好
[00:00:42.740 --> 00:00:43.880]  大家都令我很感動
[00:00:43.880 --> 00:00:46.000]  因為剛出門應該是忘記了
[00:00:46.000 --> 00:00:47.100]  但是大家都記得很清楚
[00:00:47.100 --> 00:00:48.560]  他是南國的人
[00:00:48.560 --> 00:00:53.000]  但是他是向哪邊國家的人帶去宣講信息呢?
[00:00:53.000 --> 00:00:54.060]  北國
[00:00:54.060 --> 00:00:55.760]  就是踩上去了
[00:00:55.760 --> 00:00:56.800]  那麼
[00:00:56.800 --> 00:00:57.920]  接著完了
[00:00:57.920 --> 00:01:00.520]  一開始的時候他很有技巧的
[00:01:00.520 --> 00:01:03.720]  不是立刻罵你們這群人做了不好的事情
[00:01:03.720 --> 00:01:05.960]  他很有計劃地
[00:01:05.960 --> 00:01:07.440]  先講什麼呢?
[00:01:07.440 --> 00:01:13.560]  包圍著他們北國以色列國的其他外邦國家
[00:01:13.560 --> 00:01:15.320]  你們犯罪
[00:01:15.320 --> 00:01:16.660]  神要懲罰你了
[00:01:16.660 --> 00:01:20.620]  你們是三番四次來犯罪的
[00:01:20.620 --> 00:01:22.040]  所以神會懲罰你了
[00:01:22.040 --> 00:01:24.920]  所以那些北國的人聽到會很開心的
[00:01:24.920 --> 00:01:26.240]  越聽越興奮
[00:01:26.240 --> 00:01:28.720]  記不記得是罵那邊的國家呢?
[00:01:28.720 --> 00:01:30.600]  大馬式
[00:01:30.600 --> 00:01:33.840]  就是當天叫做什麼國呢?
[00:01:33.840 --> 00:01:34.640]  阿瑞
[00:01:34.640 --> 00:01:35.860]  對了
[00:01:35.860 --> 00:01:36.360]  阿蘭
[00:01:36.360 --> 00:01:37.560]  沒錯
[00:01:37.560 --> 00:01:39.280]  大家記得阿瑞是阿蘭
[00:01:39.280 --> 00:01:40.160]  阿蘭國
[00:01:40.160 --> 00:01:42.400]  就是今天的敘利亞
[00:01:42.400 --> 00:01:45.720]  是在以色列北邊的境界裡面
[00:01:45.720 --> 00:01:49.600]  當時是最令他們傷腦筋的
[00:01:49.600 --> 00:01:50.440]  因為怎麼說呢?
[00:01:50.440 --> 00:01:52.720]  南邊的強敵就是埃及
[00:01:52.720 --> 00:01:55.280]  但是北邊的強敵就是阿蘭
[00:01:55.280 --> 00:01:56.320]  就是阿蘭
[00:01:56.320 --> 00:01:57.960]  還有就是摩什麼呢?
[00:01:57.960 --> 00:01:59.320]  摩亞
[00:01:59.320 --> 00:02:00.440]  大家又記得了
[00:02:00.440 --> 00:02:01.120]  摩亞
[00:02:01.120 --> 00:02:05.240]  摩亞還有一個叫做阿滿
[00:02:05.240 --> 00:02:08.360]  還有一個就是三個字的菲
[00:02:08.360 --> 00:02:08.860]  對了
[00:02:08.860 --> 00:02:09.760]  菲利士
[00:02:09.760 --> 00:02:11.680]  我們不詳細去看這些了
[00:02:11.680 --> 00:02:12.880]  大家上去看看筆記吧
[00:02:12.880 --> 00:02:14.840]  稍後也會再提的
[00:02:14.840 --> 00:02:15.760]  其實你留意一下
[00:02:15.760 --> 00:02:17.880]  所有的國家
[00:02:17.880 --> 00:02:19.960]  神要審判他們是什麼呢?
[00:02:19.960 --> 00:02:22.360]  就是他們是極不仁道
[00:02:22.360 --> 00:02:23.720]  極不仁道
[00:02:23.720 --> 00:02:27.360]  就是可能他們會在戰爭裡面
[00:02:27.360 --> 00:02:29.160]  是將人的肚子
[00:02:29.160 --> 00:02:30.440]  你看看孕婦怎麼辦呢?
[00:02:30.440 --> 00:02:31.560]  剖開
[00:02:31.560 --> 00:02:33.960]  但是還要殺小孩子
[00:02:33.960 --> 00:02:35.640]  讓他們有絕種
[00:02:35.640 --> 00:02:38.960]  甚至會將人的屍體拿出來怎麼辦呢?
[00:02:38.960 --> 00:02:40.840]  忘記了嗎?
[00:02:40.840 --> 00:02:42.080]  燒啊
[00:02:42.080 --> 00:02:44.080]  就是讓他們死無全屍
[00:02:44.080 --> 00:02:45.000]  但是你記住
[00:02:45.000 --> 00:02:46.920]  在舊約的年代裡面
[00:02:46.920 --> 00:02:49.760]  火化是一個嚴重的審判
[00:02:49.760 --> 00:02:52.880]  但是你死了連骨頭都燒了就糟糕了
[00:02:52.880 --> 00:02:53.720]  記住
[00:02:53.720 --> 00:02:55.440]  死了的時候那天不腐化
[00:02:55.440 --> 00:02:56.640]  死剩下什麼呢?
[00:02:56.640 --> 00:02:58.040]  記住
[00:02:58.040 --> 00:03:00.120]  不要只說死剩牙齒
[00:03:00.120 --> 00:03:01.720]  我們經常說錯話
[00:03:01.720 --> 00:03:03.040]  死剩不只是牙齒
[00:03:03.040 --> 00:03:04.400]  是死剩骨頭
[00:03:04.400 --> 00:03:06.120]  連骨頭都燒了
