
[00:00:00.000 --> 00:00:04.780]  好 今天我就在講《羅馬書》第十四章
[00:00:04.780 --> 00:00:12.260]  就是講到信心堅強和信心軟弱的兩組的弟兄姐妹
[00:00:12.260 --> 00:00:15.320]  在羅馬教會的一種對峙
[00:00:15.320 --> 00:00:18.140]  其實是有上下集的
[00:00:18.140 --> 00:00:21.640]  就是今天講上一集《羅馬書》第十四章
[00:00:21.640 --> 00:00:24.100]  下個禮拜講下一集《羅馬書》第十五章
[00:00:24.100 --> 00:00:26.660]  其實《英文聖經》是非常複雜的
[00:00:26.660 --> 00:00:30.860]  也都是我思想莊重 其實花了很多時間去想了很多東西
[00:00:30.860 --> 00:00:35.340]  因為最後時間關係 我就cut了很多東西
[00:00:35.340 --> 00:00:38.620]  但是我想如果你是比較深思的話
[00:00:38.620 --> 00:00:42.460]  你都會覺得可能有一些重要的issue
[00:00:42.460 --> 00:00:47.620]  我還沒有機會去碰到
[00:00:47.620 --> 00:00:51.780]  所以我就準備錄這個叫做附加版
[00:00:51.780 --> 00:00:54.680]  去解釋一些重要的地方
[00:00:54.680 --> 00:00:58.280]  是我有想過 但是沒有時間去present
[00:00:58.280 --> 00:01:03.880]  但是我想也都對於我們去思想正傳神經是非常重要的
[00:01:03.880 --> 00:01:07.180]  如果你聽過那篇稿 你就知道
[00:01:07.180 --> 00:01:11.660]  其實最終他們對峙的理由
[00:01:11.660 --> 00:01:15.740]  就是吃不吃東西、吃不吃肉、喝不喝酒
[00:01:15.740 --> 00:01:17.240]  或者守不守節
[00:01:17.240 --> 00:01:20.320]  其實都是牽涉到一個很重要的問題
[00:01:20.320 --> 00:01:23.760]  就是當主耶穌基督已經來了
[00:01:23.760 --> 00:01:26.480]  究竟已經成全之後 基督徒
[00:01:26.480 --> 00:01:29.060]  無論你是猶太人的基督徒 或者外國人的基督徒
[00:01:29.060 --> 00:01:35.680]  你和舊約律法裡面的一些禮儀的關係是什麼?
[00:01:35.680 --> 00:01:38.660]  我就暫時 你聽我所說的
[00:01:38.660 --> 00:01:41.480]  我就不是說所有舊約的律法
[00:01:41.480 --> 00:01:42.720]  我一會兒再說這件事
[00:01:42.720 --> 00:01:46.600]  但是我說的是舊約中的一些禮儀
[00:01:46.600 --> 00:01:47.680]  關於食物的禮儀
[00:01:47.680 --> 00:01:52.000]  還有關於節期的禮儀的關係是什麼?
[00:01:52.000 --> 00:01:55.000]  就是To keep or not to keep
[00:01:55.000 --> 00:01:57.000]  其實當我去思想
[00:01:57.000 --> 00:02:01.780]  或者每一個人要去思想這段聖經的時候
[00:02:01.780 --> 00:02:06.080]  可能都要去想一想在新約聖經裡面
[00:02:06.080 --> 00:02:08.920]  尤其是在《保羅書信》裡面
[00:02:08.920 --> 00:02:15.720]  究竟新約作者是怎樣去看一個新約裡面的基督徒
[00:02:15.720 --> 00:02:22.360]  他和舊約裡面禮儀 或者舊約律法的關係
[00:02:22.360 --> 00:02:25.120]  我們今天看到這一段聖經是其中一段
[00:02:25.120 --> 00:02:27.240]  這段聖經我覺得是很特別的
[00:02:27.240 --> 00:02:30.540]  因為保羅好像是 你沒有什麼所謂
[00:02:30.540 --> 00:02:33.700]  你喜歡守也行 你不喜歡守也行
