
[00:00:00.000 --> 00:00:02.440]  各位女士、先生、姐妹,早安!
[00:00:02.440 --> 00:00:04.680]  我們先做一次同心祈禱
[00:00:04.680 --> 00:00:12.360]  愛我們的恩主,我們要向祢獻上感恩
[00:00:12.360 --> 00:00:19.240]  讓我們能夠在主耶誕的清晨,在祢的一殿當中,去崇拜祢
[00:00:19.240 --> 00:00:24.280]  無論外面有多少風雨,甚至我們裏面有多少風雨都好
[00:00:24.280 --> 00:00:28.760]  讓我們這一刻就享受和祢在一起的那份甜蜜和美好
[00:00:29.240 --> 00:00:35.240]  由願祢開我們的眼睛,讓我們專心看見祢,並看見祢的榮美
[00:00:35.240 --> 00:00:37.720]  開我們的耳朵,讓我們留心傾聽
[00:00:37.720 --> 00:00:41.880]  開我們的心,讓我們體會感受,並且用行動去回應
[00:00:41.880 --> 00:00:45.000]  由願每人口中的言語,弟兄姊妹之間的心思意念
[00:00:45.000 --> 00:00:47.400]  蒙聖靈的啟迪,蒙主的娛樂
[00:00:47.400 --> 00:00:49.400]  禱告奉耶穌基督的名
[00:00:49.400 --> 00:00:59.200]  各位弟兄姊妹,今天想和大家去思考一個關於赦罪、蒙恩的問題
[00:01:00.240 --> 00:01:03.240]  想起赦罪,不知會想起什麼
[00:01:03.240 --> 00:01:09.480]  可能很快會想起很多很重要、很大件的事
[00:01:09.480 --> 00:01:13.680]  話說,剛剛弟兄姊妹知道,我放了大假
[00:01:13.680 --> 00:01:17.120]  放假的時候,我又和家人去旅行,有休息的機會
[00:01:17.120 --> 00:01:23.280]  在剛剛,一個多星期前,我去到日本一個地方,那個地方叫港島
[00:01:23.280 --> 00:01:25.720]  不知大家聽到港島會想起什麼
[00:01:26.160 --> 00:01:30.160]  港島是一個比較特別的地方,因為港島有一個很著名的旅遊點
[00:01:30.160 --> 00:01:34.360]  就是一個原子彈核爆的遺跡
[00:01:34.360 --> 00:01:39.560]  當我們去到港島之前,我們就開車,去到高速公路上的休息站
[00:01:39.560 --> 00:01:41.560]  我們休息,喝杯飲料,休息一下
[00:01:41.560 --> 00:01:44.880]  當時很多人在休息站裡面看著電視機
[00:01:44.880 --> 00:01:50.280]  原來剛好當時日本舉行的一個世界首腦高峰會議
[00:01:50.280 --> 00:01:53.720]  美國的總統奧巴馬就去到日本的地方
[00:01:54.040 --> 00:01:56.480]  剛剛下午,奧巴馬又去到港島
[00:01:56.480 --> 00:02:02.840]  所以電視就拍著他的專車進入港島,特別是去紀念館公園那裡
[00:02:02.840 --> 00:02:06.080]  人們就不停地在等待,看看究竟
[00:02:06.080 --> 00:02:13.680]  第一位用美國總統身份去到港島的一位總統,他會發表什麼談話
[00:02:13.680 --> 00:02:16.400]  在那天之前,其實我也留意了很多新聞
[00:02:16.400 --> 00:02:17.920]  不知道大家有沒有留意
[00:02:17.920 --> 00:02:20.440]  可能很多新聞都提到,究竟奧巴馬會說些什麼呢?
[00:02:20.760 --> 00:02:24.840]  會不會為著大戰,為著原子彈等等去做道歉呢?
[00:02:24.840 --> 00:02:27.440]  當然啦,政府有不同的表達等等
[00:02:27.440 --> 00:02:31.360]  當我一路去留意這些新聞的時候,我就在想
[00:02:31.360 --> 00:02:37.800]  是啊,當在說要赦罪,要道歉,要一些人去饒恕
[00:02:37.800 --> 00:02:40.360]  當然是這些高層次,這麼大的事情
[00:02:40.360 --> 00:02:45.320]  甚至可能有很多電視,在過去這個星期我在日本看了很多電視都訪問一些人
[00:02:45.640 --> 00:02:50.960]  怎樣去理解這件事,是不是應該要饒恕,原諒這些美國人等等
[00:02:50.960 --> 00:02:54.600]  當中其中有一個片段訪問,就是一個老人家,一個伯伯
[00:02:54.600 --> 00:02:59.280]  去回應一個電視的訪問,就是說怎樣去回應要饒恕人
