
[00:00:00.000 --> 00:00:03.640]  記得我小時候的觀音廟
[00:00:03.640 --> 00:00:05.440]  知不知道在哪裏
[00:00:05.440 --> 00:00:09.280]  為何你們那麼熟悉
[00:00:09.280 --> 00:00:10.640]  都很厲害的
[00:00:10.640 --> 00:00:13.000]  觀音開庫之類的東西
[00:00:13.000 --> 00:00:14.760]  排滿長龍的
[00:00:14.760 --> 00:00:19.080]  不過以前的數目沒有那麼浮誇
[00:00:19.080 --> 00:00:20.520]  現在不知去到多少
[00:00:20.520 --> 00:00:22.680]  好像是億億
[00:00:22.680 --> 00:00:26.120]  甚麼二億億三億億八億億
[00:00:26.120 --> 00:00:28.160]  我小時候已經很不明白
[00:00:28.160 --> 00:00:31.840]  為何人們要這樣去
[00:00:31.840 --> 00:00:33.520]  即是那個廟裏
[00:00:33.520 --> 00:00:34.720]  一年你才去一次
[00:00:34.720 --> 00:00:35.840]  問人拿錢
[00:00:35.840 --> 00:00:36.600]  是不是
[00:00:36.600 --> 00:00:37.280]  都不知搞甚麼
[00:00:37.280 --> 00:00:39.840]  因為我的小學其實在隔壁附近
[00:00:39.840 --> 00:00:43.360]  我是讀紅磡觀立小學長大的
[00:00:43.360 --> 00:00:46.200]  有沒有校友在這裏
[00:00:46.200 --> 00:00:47.800]  有真是神奇
[00:00:47.800 --> 00:00:48.880]  舉手
[00:00:48.880 --> 00:00:50.760]  不是 看錯了
[00:00:50.760 --> 00:00:52.440]  嚇死我 馬上認
[00:00:52.440 --> 00:00:55.200]  到現在都找不到我的小學同學
[00:00:55.200 --> 00:00:58.320]  為何要去到一個廟裏
[00:00:58.320 --> 00:01:00.560]  來求神
[00:01:00.560 --> 00:01:04.480]  我小時候不是一個相信神明的人
[00:01:04.480 --> 00:01:07.960]  我是一個意圖很威武地
[00:01:07.960 --> 00:01:11.080]  立志做一個無神論者的人
[00:01:11.080 --> 00:01:13.760]  直至我讀中學的時候
[00:01:13.760 --> 00:01:17.520]  同學跟我說所謂基督教會的地方
[00:01:17.520 --> 00:01:20.760]  原來那裏是有兩種人
[00:01:20.760 --> 00:01:22.360]  一種是男性
[00:01:22.360 --> 00:01:24.800]  另一種就是女性
[00:01:24.800 --> 00:01:26.240]  因為我讀男校
[00:01:26.240 --> 00:01:28.160]  所以這個理據
