
[00:00:00.000 --> 00:00:08.000]  也和大家繼續看大衛亡命天涯的故事
[00:00:08.000 --> 00:00:11.840]  當然不是故事,是在聖經裡面的記載
[00:00:11.840 --> 00:00:20.160]  我覺得亡命天涯就是上帝要訓練大衛成為以色列君王的訓練營
[00:00:20.160 --> 00:00:24.480]  不單要訓練他有一個祈禱以求神的心
[00:00:24.480 --> 00:00:31.520]  更重要的是他要操練生命那份道德和價值觀
[00:00:31.520 --> 00:00:33.280]  如何控制他的情緒
[00:00:33.280 --> 00:00:35.120]  如何聆聽勸諫
[00:00:35.120 --> 00:00:40.320]  還有一個信靠上帝會為他伸冤的信心
[00:00:40.320 --> 00:00:45.680]  所以看到原來大衛不單要成為以色列的君王
[00:00:45.680 --> 00:00:50.480]  他更重要的是要成為上帝的僕人
[00:00:50.480 --> 00:00:52.000]  我們經常這樣說
[00:00:52.000 --> 00:00:56.480]  有仇不報就非君子,以牙還牙
[00:00:56.480 --> 00:01:02.400]  在今天這個社會,職場,或者在我們的家庭裡面
[00:01:02.400 --> 00:01:05.840]  可能我們甚至沒有做過什麼壞事,不對的事情
[00:01:05.840 --> 00:01:09.360]  但我們都會受到一些不公平、不公義的事情的對待
[00:01:09.360 --> 00:01:13.200]  就好像過去一連串的社會事件
[00:01:13.200 --> 00:01:17.200]  我們看到那群追求公義的示威者
[00:01:17.200 --> 00:01:20.720]  他們用和平的方式去爭取公義
[00:01:20.720 --> 00:01:25.760]  我們看到一群很希望維持秩序的警察
[00:01:25.760 --> 00:01:28.080]  他們要執行公義
[00:01:28.080 --> 00:01:31.200]  但為什麼我們看到暴力好像不斷地升級
[00:01:31.200 --> 00:01:36.960]  漸漸變成一網網令人震驚、傷感、憤怒、流血的衝突
[00:01:36.960 --> 00:01:42.240]  以暴易暴是不是能夠帶給我們最後的公義呢?
[00:01:42.240 --> 00:01:46.640]  除了社會,在你的職場,在你的家庭裡面
[00:01:46.640 --> 00:01:49.840]  都會不會遇到一些不公義的事情呢?
[00:01:49.840 --> 00:01:53.440]  今天我們看大衛的《撒慕爾記》上25章
