
[00:00:00.000 --> 00:00:11.000]  相信大家都留意到剛才的經文是很短 但是非常有意思
[00:00:11.000 --> 00:00:17.000]  這一節的經文來自詩篇的三十九篇
[00:00:17.000 --> 00:00:22.000]  我們沒有時間來全程讀完這篇詩篇
[00:00:22.000 --> 00:00:30.000]  但是我很想姐妹回去有機會多讀一下 又留意一下裡面說的是什麼
[00:00:30.000 --> 00:00:40.000]  在這篇詩篇裡面 我們發現詩人對現狀 對人生有很多的不滿
[00:00:40.000 --> 00:00:44.000]  有很多事情都令他不開心
[00:00:44.000 --> 00:00:51.000]  特別是他講到對一些惡人所作的 非常的不滿
[00:00:51.000 --> 00:01:00.000]  很想去罵他們 但是又想一下不好 於是就說不如不要說了
[00:01:00.000 --> 00:01:05.000]  但是閉口不言 裡面又很抵受不住
[00:01:05.000 --> 00:01:09.000]  於是又想一下 又可能還是要說一點
[00:01:09.000 --> 00:01:16.000]  證明他真的看到很多很不滿 耿耿於懷的事情很想去說
[00:01:16.000 --> 00:01:21.000]  不單止這樣 當我們去留意詩篇的第三十九篇的時候
[00:01:21.000 --> 00:01:28.000]  你會發現 同樣的他觀察人生也都很徹底
[00:01:28.000 --> 00:01:32.000]  他看到人生原來其實是很虛幻的
[00:01:32.000 --> 00:01:36.000]  他又看到人是不會不死的
[00:01:36.000 --> 00:01:44.000]  所以他覺得人是很虛幻 很脆弱 稍縱即逝
[00:01:44.000 --> 00:01:51.000]  他也都看到 縱然有人在世上儲很多錢 很多財物
[00:01:51.000 --> 00:01:58.000]  但是死後又如何呢?那些錢歸給誰呢?他也都掌管不了
[00:01:58.000 --> 00:02:04.000]  所以總的來說 他覺得人世間很多事情是掌握不了的
[00:02:04.000 --> 00:02:08.000]  人的前路是不明朗的
[00:02:08.000 --> 00:02:16.000]  而他也都看到人世間很多的罪孽 罪惡 包括他自己都有
[00:02:16.000 --> 00:02:24.000]  因此他只能夠在做尾聲的時候 求神記得赦免他的罪
[00:02:24.000 --> 00:02:29.000]  不單止這樣 也都求神寬容一點對他
[00:02:29.000 --> 00:02:35.000]  因為如果神看得緊的話 他都沒什麼空間可以走
[00:02:35.000 --> 00:02:40.000]  所以他只能夠求神來寬容他 使他多一點空間
[00:02:40.000 --> 00:02:43.000]  活得開心一點 活得美好一點
[00:02:43.000 --> 00:02:46.000]  而最終他還是再一次的去肯定
[00:02:46.000 --> 00:02:52.000]  他其實在世上都是一個客女 是一個寄居的
[00:02:52.000 --> 00:02:58.000]  他都好像其他人一樣 不可以在世上是永存的
[00:02:58.000 --> 00:03:05.000]  這就是詩篇三十九篇裡頭大概的意思
[00:03:05.000 --> 00:03:11.000]  我不知道大家當知道了之後 或者有機會回去看這篇詩篇的時候
[00:03:11.000 --> 00:03:18.000]  你會不會覺得既然是這樣說的時候 這篇詩真的很消極
[00:03:18.000 --> 00:03:24.000]  這篇詩篇這麼說話的 這麼負面的 這麼消極的
[00:03:24.000 --> 00:03:27.000]  當然某程度你都可以這樣去看
[00:03:27.000 --> 00:03:30.000]  但是我又換個角度去想
[00:03:30.000 --> 00:03:33.000]  詩人能夠這樣說 為什麼這樣說
[00:03:33.000 --> 00:03:35.000]  其中一個很重要的原因
[00:03:35.000 --> 00:03:40.000]  就是因為他用一種現實的眼光來看世界
[00:03:40.000 --> 00:03:43.000]  可以稱它為一種如實觀
[00:03:43.000 --> 00:03:46.000]  當你真的如實觀去看這個世界的時候
[00:03:46.000 --> 00:03:49.000]  你又覺得詩人所說的真的很真的
[00:03:49.000 --> 00:03:53.000]  人真的很脆弱的 很虛幻的
[00:03:53.000 --> 00:03:57.000]  你可以保證你明天一定在的嗎
[00:03:57.000 --> 00:04:00.000]  沒有人知道的 是不是
[00:04:00.000 --> 00:04:03.000]  你也觀察到這個世界真的有很多不同的罪孽
[00:04:03.000 --> 00:04:07.000]  也都包括自己有的罪孽
[00:04:07.000 --> 00:04:12.000]  所以當他說的時候又發現 又真的挺真實的
[00:04:12.000 --> 00:04:15.000]  很多不穩定性
[00:04:15.000 --> 00:04:18.000]  所以當我們能夠從一個如實觀的時候
[00:04:18.000 --> 00:04:23.000]  就不會覺得詩人所說的真的這麼消極
[00:04:23.000 --> 00:04:25.000]  這麼悲觀的
[00:04:25.000 --> 00:04:27.000]  不過無論怎樣都好
[00:04:27.000 --> 00:04:32.000]  這方面我們覺得都是沒有這麼正面
[00:04:32.000 --> 00:04:34.000]  但是我們也很想弟兄姊妹留意的就是
[00:04:34.000 --> 00:04:37.000]  在這一篇詩篇裡面
[00:04:37.000 --> 00:04:39.000]  其中有一句話
[00:04:39.000 --> 00:04:44.000]  是確是非常的正面 非常的積極
[00:04:44.000 --> 00:04:47.000]  也都是非常的準確的
[00:04:47.000 --> 00:04:53.000]  這篇詩篇裡面帶來的是一道曙光 光明
[00:04:53.000 --> 00:04:57.000]  帶來的是一種生命的亮光
[00:04:57.000 --> 00:05:00.000]  所以縱然你說他消極悲觀都好
[00:05:00.000 --> 00:05:05.000]  其實都還有一些光明的一面
