
[00:00:00.000 --> 00:00:07.880]  特曼西·達賓奇在畫了一幅繪製人口的《最後晚餐》之前
[00:00:07.880 --> 00:00:11.680]  他曾經與他一個畫師有爭執
[00:00:11.680 --> 00:00:16.360]  他很激氣,他心裏有苦讀,有怨氣
[00:00:16.360 --> 00:00:22.880]  於是他將這個所謂仇人,這個畫師的面貌
[00:00:22.880 --> 00:00:26.640]  畫在猶大的身上
[00:00:26.640 --> 00:00:30.280]  盼望可以將他的怒氣消除
[00:00:30.280 --> 00:00:37.880]  兼且可以將仇人的面貌傳到世世代代都認得
[00:00:37.880 --> 00:00:41.760]  可以知道他真的生氣得很厲害
[00:00:41.760 --> 00:00:47.760]  他越畫越開心,很快就將猶大或者說得清楚一點
[00:00:47.760 --> 00:00:52.520]  應該是這個仇人的樣貌畫得栩栩如生
[00:00:52.520 --> 00:01:01.280]  他相信每一個認識這個人都肯定會認得出這是誰
[00:01:01.280 --> 00:01:05.720]  他沾沾自喜,心裏有一些快慰
[00:01:05.720 --> 00:01:09.480]  他好像為自己出了一口氣
[00:01:09.480 --> 00:01:12.880]  接著他就畫耶穌
[00:01:12.880 --> 00:01:16.880]  誰不知他畫來畫去,毫無進展
[00:01:16.880 --> 00:01:22.760]  他心裏面很煩悶,不知為何畫的耶穌總是不合意
[00:01:22.760 --> 00:01:25.560]  左改右改
[00:01:25.560 --> 00:01:29.960]  他有一份的重擔壓在他心裏面
[00:01:29.960 --> 00:01:36.160]  最後他在神的光照底下變得羞愧
[00:01:36.160 --> 00:01:45.040]  他明白到是他將怨氣發洩在猶大的面容上誤了大事
[00:01:45.040 --> 00:01:47.800]  他對朋友的這份怨氣
[00:01:47.800 --> 00:01:53.000]  令到他沒有辦法面對耶穌
[00:01:53.000 --> 00:01:56.600]  因此他怎樣都不能夠再畫上耶穌
[00:01:56.600 --> 00:02:02.240]  於是他就用顏料將猶大的樣貌蓋上
[00:02:02.240 --> 00:02:08.200]  才可以順暢地將耶穌畫完
[00:02:08.200 --> 00:02:15.360]  更加的是讓這幅名作流傳後世
[00:02:15.360 --> 00:02:18.520]  被世人所欣賞
