
[00:00:00.000 --> 00:00:02.000]  請師妹平安
[00:00:02.000 --> 00:00:09.000]  在上星期六我在網上看到一則新聞
[00:00:09.000 --> 00:00:13.440]  說到一位九十後的年青人自殺
[00:00:13.440 --> 00:00:15.000]  為何要自殺呢?
[00:00:15.000 --> 00:00:18.360]  原因是他女朋友向他提出分手
[00:00:18.360 --> 00:00:20.640]  在情海翻波之下
[00:00:20.640 --> 00:00:23.180]  這個男的不堪打擊
[00:00:23.180 --> 00:00:25.180]  所以最後跳樓自殺
[00:00:25.180 --> 00:00:28.260]  聽到這些新聞
[00:00:28.260 --> 00:00:30.260]  我們除了感慨之外
[00:00:30.260 --> 00:00:33.240]  可能也會替他覺得很可惜
[00:00:33.240 --> 00:00:36.900]  這麼年輕為何要放棄自己的生命呢?
[00:00:36.900 --> 00:00:39.780]  更甚的或許我們也不太明白
[00:00:39.780 --> 00:00:42.700]  為何這麼想不開呢?
[00:00:42.700 --> 00:00:44.700]  既然有勇氣去尋死
[00:00:44.700 --> 00:00:48.800]  為何沒有勇氣去面對困難呢?
[00:00:48.800 --> 00:00:53.480]  正所謂「留得青山在,哪怕無柴燒」
[00:00:53.480 --> 00:00:58.280]  另一邊廂有一個一出生就患了視網膜腫瘤
[00:00:58.280 --> 00:01:02.640]  必須要切除雙眼才能保住性命的小女孩
[00:01:02.640 --> 00:01:07.100]  她不僅沒有因為自己的遭遇而自暴自棄
[00:01:07.100 --> 00:01:09.720]  她反而很熱愛生命
[00:01:09.720 --> 00:01:11.300]  她看不到樂譜
[00:01:11.300 --> 00:01:13.920]  但她就靠她的聽覺和記憶
[00:01:13.920 --> 00:01:15.920]  來學小提琴
[00:01:15.920 --> 00:01:19.200]  她又參加學校的弦樂團
[00:01:19.200 --> 00:01:23.200]  她從小就接受點字教育
[00:01:23.200 --> 00:01:27.400]  她曾經贏得美國點字挑戰賽的冠軍
[00:01:27.400 --> 00:01:32.560]  中學畢業時
[00:01:32.560 --> 00:01:36.440]  她更考取了滿分4.0的成績
[00:01:36.440 --> 00:01:39.680]  她得到美國總統獎
[00:01:39.680 --> 00:01:43.440]  不知說到這裏大家能否猜到這位是誰?
[00:01:43.440 --> 00:01:48.680]  她是2003年在沙士期間拍攝宣傳短片
[00:01:48.680 --> 00:01:51.240]  鼓勵香港人要熱愛生命
[00:01:51.240 --> 00:01:54.640]  在電視裏跳開心舞的小女孩
[00:01:54.640 --> 00:01:57.760]  雙目失明的龍懷軒
[00:01:57.760 --> 00:01:59.760]  剛才說了兩個人
[00:01:59.760 --> 00:02:05.560]  我們看到有些人讓別人來決定自己的人生
[00:02:05.560 --> 00:02:09.320]  但亦有些人勇於面對自己的人生
[00:02:09.320 --> 00:02:12.080]  為自己的人生負責任
[00:02:12.080 --> 00:02:13.880]  他們不怨天尤人
[00:02:13.880 --> 00:02:18.400]  反而很勇敢地面對人生所經歷的一切
[00:02:18.400 --> 00:02:21.760]  結果兩種人生態度
[00:02:21.760 --> 00:02:26.160]  造就了兩種極之不同的人生
[00:02:26.160 --> 00:02:28.600]  今日經文的主角耶佛他
[00:02:28.600 --> 00:02:31.320]  你覺得他又是哪一種人生呢?
