
[00:00:00.000 --> 00:00:05.000]  皇帝姐妹,我們來到神的面前
[00:00:05.000 --> 00:00:08.000]  我們也要懷著謙卑的心
[00:00:08.000 --> 00:00:12.000]  去認見我們的神,聆聽祂的話
[00:00:12.000 --> 00:00:15.000]  我們一起在祂面前祈禱,好嗎?
[00:00:15.000 --> 00:00:17.000]  天父上帝,我們也多謝你
[00:00:17.000 --> 00:00:20.000]  因為你再一次給我們有機會在這裡
[00:00:20.000 --> 00:00:24.000]  和你在雙魚去敬拜你
[00:00:24.000 --> 00:00:27.000]  我們祈求上帝開我們的眼睛
[00:00:27.000 --> 00:00:30.000]  讓我們的心思,我們的意念
[00:00:30.000 --> 00:00:32.000]  向著神你自己
[00:00:32.000 --> 00:00:36.000]  以致我們能夠去明白你和我們說的話
[00:00:36.000 --> 00:00:39.000]  多謝你,我們祈禱奉耶穌的姓名
[00:00:39.000 --> 00:00:41.000]  我問大家一個問題,很簡單的
[00:00:41.000 --> 00:00:43.000]  不知道大家覺得這個世界
[00:00:43.000 --> 00:00:46.000]  你認為這個世界是愈來愈有秩序
[00:00:46.000 --> 00:00:51.000]  愈來愈有規律,還是愈來愈混亂呢?
[00:00:51.000 --> 00:00:55.000]  嘩,好像只聽到聲音混亂
[00:00:55.000 --> 00:01:00.000]  其實大家從人類始早犯罪開始
[00:01:00.000 --> 00:01:04.000]  其實這個世界就愈來愈多問題
[00:01:04.000 --> 00:01:06.000]  不是今時今日
[00:01:06.000 --> 00:01:08.000]  人的心也愈來愈險惡
[00:01:08.000 --> 00:01:11.000]  還有呢,我想大家都同意的就是
[00:01:11.000 --> 00:01:15.000]  人犯罪的意念和犯罪的招數
[00:01:15.000 --> 00:01:18.000]  是愈來愈層出不窮
[00:01:18.000 --> 00:01:21.000]  或者我們看回聖經
[00:01:21.000 --> 00:01:23.000]  在聖經的年代
[00:01:23.000 --> 00:01:26.000]  人最初被造之後的第一代
[00:01:26.000 --> 00:01:28.000]  一路發展下去的時候
[00:01:28.000 --> 00:01:32.000]  究竟人類的罪是不是真的那麼厲害呢?
[00:01:32.000 --> 00:01:36.000]  如果我們看看創世紀人犯罪那裡
[00:01:36.000 --> 00:01:39.000]  大家會記得,現在重溫一下
[00:01:39.000 --> 00:01:41.000]  大家記不記得
[00:01:41.000 --> 00:01:45.000]  當人類分泌成樹的果子之後就躲起來
[00:01:45.000 --> 00:01:48.000]  又說呼喚人,人就逃避神
[00:01:48.000 --> 00:01:52.000]  人的反應是什麼呢?就是逃避神
[00:01:52.000 --> 00:01:55.000]  當人被上帝問及
[00:01:55.000 --> 00:01:57.000]  為什麼你做了這些事呢?
[00:01:57.000 --> 00:02:00.000]  人怎樣?阿當
[00:02:00.000 --> 00:02:02.000]  推卸責任
[00:02:02.000 --> 00:02:06.000]  是不是?是你賜給我的第一個賴上帝
[00:02:06.000 --> 00:02:10.000]  是你賜給我那個和我一起的女人
[00:02:10.000 --> 00:02:12.000]  初初是骨中的骨,肉中的肉
[00:02:12.000 --> 00:02:15.000]  現在和我一起,搭檯而已
[00:02:15.000 --> 00:02:18.000]  好像完全沒有關係
[00:02:18.000 --> 00:02:23.000]  到了第二代,犯罪的2.0版本是怎樣呢?
[00:02:23.000 --> 00:02:25.000]  蓋忍,大家記得
[00:02:25.000 --> 00:02:30.000]  不單止只是吃了一些不應該吃的東西那麼簡單
[00:02:30.000 --> 00:02:32.000]  他還很暴力
[00:02:32.000 --> 00:02:36.000]  他就攻擊和殺了他的弟弟,阿伯
