
[00:00:00.000 --> 00:00:04.400]  我不知道對大家來說 一個最難忘的一餐飯是什麼
[00:00:04.400 --> 00:00:07.740]  對我來說 我一生走到今天
[00:00:07.740 --> 00:00:09.740]  的確有很多餐很難忘
[00:00:09.740 --> 00:00:14.480]  其中我記得十多年前在我姐姐澳洲的家
[00:00:14.480 --> 00:00:17.520]  她的後花園宵夜吃過一次
[00:00:17.520 --> 00:00:19.520]  對我來說也很難忘
[00:00:19.520 --> 00:00:21.520]  因為我爸爸媽媽
[00:00:21.520 --> 00:00:24.640]  我哥哥的一家
[00:00:24.640 --> 00:00:27.200]  為什麼?因為我哥哥現在已經上天家了
[00:00:27.200 --> 00:00:28.880]  當時我哥哥的一家
[00:00:28.880 --> 00:00:30.880]  我自己的一家
[00:00:30.880 --> 00:00:32.880]  我姐姐在那邊的一家
[00:00:32.880 --> 00:00:34.880]  我外父的一家
[00:00:34.880 --> 00:00:37.200]  我太太姐姐Lina的一家
[00:00:37.200 --> 00:00:41.200]  還有在我們中間的梁牧師的一家
[00:00:41.200 --> 00:00:43.200]  竟然...給點掌聲
[00:00:43.200 --> 00:00:45.840]  我們一起在這裡宵夜吃
[00:00:45.840 --> 00:00:47.840]  真的是很開心的事
[00:00:47.840 --> 00:00:50.640]  我記得有時候我們的老友
[00:00:50.640 --> 00:00:52.640]  中間也有不少
[00:00:52.640 --> 00:00:55.280]  也有一些驚喜的生日派對
[00:00:55.280 --> 00:00:57.280]  在香港也是很感動的
[00:00:57.280 --> 00:01:02.880]  我就問我太太有什麼很難忘的晚餐等等
[00:01:02.880 --> 00:01:05.360]  她就反駁歸真
[00:01:05.360 --> 00:01:09.440]  她說我們中原過去年紀差不多
[00:01:09.440 --> 00:01:12.480]  也吃過很多不同好的東西
[00:01:12.480 --> 00:01:14.480]  但是她很記得
[00:01:14.480 --> 00:01:16.480]  當時剛剛畢業
[00:01:16.480 --> 00:01:20.480]  當我們很緊張的時候
[00:01:20.480 --> 00:01:23.440]  很難得才儲到第一頓飯
[00:01:23.440 --> 00:01:28.960]  可以請她去吃燭光晚餐
[00:01:28.960 --> 00:01:31.920]  裡面她很記得細節
[00:01:31.920 --> 00:01:34.720]  燭光晚餐其實我也是第一次去
[00:01:34.720 --> 00:01:36.720]  當然是代表什麼呢
[00:01:36.720 --> 00:01:38.720]  代表浪漫
[00:01:38.720 --> 00:01:41.520]  燭光晚餐應該是浪漫的吧
[00:01:41.520 --> 00:01:45.200]  我不會和梁牧師去燭光晚餐的
[00:01:45.200 --> 00:01:48.720]  我太太很記得那裡有什麼呢
[00:01:48.720 --> 00:01:50.720]  有海景
[00:01:50.720 --> 00:01:52.720]  很寧靜
[00:01:52.720 --> 00:01:54.720]  沒有障礙
[00:01:54.720 --> 00:01:57.720]  那頓飯她很記得有花
[00:01:57.720 --> 00:01:59.720]  因為應該是她生日
[00:01:59.720 --> 00:02:03.720]  我太太很喜歡黃色的
[00:02:03.720 --> 00:02:05.720]  所以我通常都送黃色的玫瑰
[00:02:05.720 --> 00:02:08.720]  玫瑰代表什麼呢
[00:02:08.720 --> 00:02:11.720]  短暫的時間要珍惜
[00:02:11.720 --> 00:02:13.720]  不是害人 只是玫瑰
[00:02:13.720 --> 00:02:15.720]  珍惜的
[00:02:15.720 --> 00:02:17.720]  這個不要讓我太太聽到
[00:02:17.720 --> 00:02:19.720]  我太太昨天崇拜了 應該聽不到
[00:02:19.720 --> 00:02:21.720]  很漂亮的
[00:02:21.720 --> 00:02:24.720]  誰知道那頓飯突然有人來唱歌
[00:02:24.720 --> 00:02:26.720]  我都沒聽過 沒試過
[00:02:26.720 --> 00:02:28.720]  突然去點一首歌
[00:02:28.720 --> 00:02:30.720]  我馬上很擔心 點一首歌
[00:02:30.720 --> 00:02:32.720]  拿著結他圍著桌子唱
[00:02:32.720 --> 00:02:34.720]  要不要給錢呢 我心裡很掙扎
[00:02:34.720 --> 00:02:36.720]  又想去唱 但不好意思問她
[00:02:36.720 --> 00:02:38.720]  Do I have to pay
[00:02:38.720 --> 00:02:42.720]  又不好 結果就點了一些懷舊的金曲
[00:02:42.720 --> 00:02:44.720]  代表我們的回憶
[00:02:44.720 --> 00:02:49.720]  到最後我和我太太回想她的記憶
[00:02:49.720 --> 00:02:52.720]  在最後吃完飯之後
[00:02:52.720 --> 00:02:53.720]  我們做錯了一件事
[00:02:53.720 --> 00:02:55.720]  我說做錯了什麼
[00:02:55.720 --> 00:02:58.720]  你真的不懂 當時原來這些餐廳
[00:02:58.720 --> 00:03:02.720]  原來生日是有蛋糕贈送
[00:03:02.720 --> 00:03:04.720]  Complimentary Cake
[00:03:04.720 --> 00:03:07.720]  當時你蠢了 浪費錢
[00:03:07.720 --> 00:03:09.720]  買了一磅的蛋糕
[00:03:09.720 --> 00:03:11.720]  這個代表什麼呢
[00:03:11.720 --> 00:03:13.720]  代表我太太其實很節儉
[00:03:13.720 --> 00:03:16.720]  還記得這件事
[00:03:16.720 --> 00:03:19.720]  在一餐飯裡面 如果你記得細節
[00:03:19.720 --> 00:03:23.720]  每一個動作其實都代表一些意思
[00:03:23.720 --> 00:03:26.720]  都值得回憶
[00:03:26.720 --> 00:03:32.720]  當然我們今天說這個聖餐的真義
[00:03:32.720 --> 00:03:34.720]  我相信對門徒來說
[00:03:34.720 --> 00:03:38.720]  當日和耶穌基督最後的午晚餐中
[00:03:38.720 --> 00:03:42.720]  每一個動作都是有意思
[00:03:42.720 --> 00:03:47.720]  而我們今天作為二十一世紀的門徒
[00:03:47.720 --> 00:03:49.720]  我們去吃聖餐的時候
[00:03:49.720 --> 00:03:52.720]  每一個動作其實都向我們說話
[00:03:52.720 --> 00:03:57.720]  所以我們今天用哥林多前書十一章
[00:03:57.720 --> 00:04:01.720]  我們先說聖餐真義的第一部分
[00:04:01.720 --> 00:04:02.720]  因為太豐富了
[00:04:02.720 --> 00:04:04.720]  下星期會說下集
[00:04:04.720 --> 00:04:07.720]  會說到今天短短十節的經文
[00:04:07.720 --> 00:04:09.720]  不過是相當豐富
[00:04:09.720 --> 00:04:11.720]  所以我們準備好自己
[00:04:11.720 --> 00:04:14.720]  在旁邊說相當豐富
[00:04:14.720 --> 00:04:16.720]  在家裡的弟兄姊妹同事也說
[00:04:16.720 --> 00:04:18.720]  相當豐富
[00:04:18.720 --> 00:04:19.720]  我們立刻看下去
[00:04:19.720 --> 00:04:21.720]  十一章十七節
[00:04:21.720 --> 00:04:22.720]  我們先讀
[00:04:22.720 --> 00:04:23.720]  預備起
[00:04:23.720 --> 00:04:26.720]  我現今吩咐你們的話
[00:04:26.720 --> 00:04:28.720]  不是稱讚你們
[00:04:28.720 --> 00:04:31.720]  因為你們聚會不是受益
[00:04:31.720 --> 00:04:34.720]  乃是招損
[00:04:34.720 --> 00:04:40.720]  在這裡當保羅開始說這個聖餐前
[00:04:40.720 --> 00:04:44.720]  他有一個很重要的宣講
[00:04:44.720 --> 00:04:48.720]  他說我要說這些話不是稱讚你
[00:04:48.720 --> 00:04:49.720]  很清楚
[00:04:49.720 --> 00:04:52.720]  他的設定不是稱讚你
[00:04:52.720 --> 00:04:53.720]  聽清楚
[00:04:53.720 --> 00:04:55.720]  Fasten your seatbelt
[00:04:55.720 --> 00:04:56.720]  即是坐好一點
[00:04:56.720 --> 00:04:57.720]  他說什麼呢
[00:04:57.720 --> 00:05:00.720]  你們的聚會不是受益
[00:05:00.720 --> 00:05:02.720]  咦 有話說
[00:05:02.720 --> 00:05:05.720]  並且說是招損
[00:05:05.720 --> 00:05:07.720]  這是什麼事呢
[00:05:07.720 --> 00:05:10.720]  我們今天馬上看兩點
[00:05:10.720 --> 00:05:13.720]  而這兩點其實也是很多點
[00:05:13.720 --> 00:05:16.720]  所以跟別人說很多點
[00:05:16.720 --> 00:05:18.720]  我們馬上看看第一點
[00:05:18.720 --> 00:05:22.720]  他說什麼是不受益呢
[00:05:22.720 --> 00:05:24.720]  什麼是招損呢
[00:05:24.720 --> 00:05:26.720]  我們立刻讀十八十九節
[00:05:26.720 --> 00:05:27.720]  預備起
