
[00:00:00.000 --> 00:00:03.880]  原本我預告 今天的崇拜是一個獻堂禮
[00:00:03.880 --> 00:00:07.260]  但是嚴格來說 今天不可以說是一個獻堂禮
[00:00:07.260 --> 00:00:09.360]  因為我們在2001年
[00:00:09.360 --> 00:00:12.860]  我們已經將這個堂 獻給我們的神來使用
[00:00:12.860 --> 00:00:16.180]  我們今天只能夠將這個新的裝修之後
[00:00:16.180 --> 00:00:17.820]  我們將這個新的裝修
[00:00:17.820 --> 00:00:20.900]  再一次來呈獻給我們的天父
[00:00:20.900 --> 00:00:24.940]  讓祂繼續用我們新的一個地方 新的台
[00:00:24.940 --> 00:00:27.940]  來繼續祝福更多更多的人
[00:00:27.940 --> 00:00:31.960]  當然 我今天雖然不是真的一個獻堂禮
[00:00:31.960 --> 00:00:33.820]  不過上帝仍然擺在我心裏邊
[00:00:33.820 --> 00:00:36.980]  仍然是在用昔日所有的門王
[00:00:36.980 --> 00:00:40.480]  當他為神起了第一座聖殿之後
[00:00:40.480 --> 00:00:44.700]  他在將這個聖殿來獻給神的過程裏邊
[00:00:44.700 --> 00:00:48.280]  特別是在列代之下第五章到第七章裏邊
[00:00:48.280 --> 00:00:49.780]  這三章聖經裏邊
[00:00:49.780 --> 00:00:52.880]  我在當中嘗試去找一些訊息
[00:00:52.880 --> 00:00:54.780]  嘗試在當中禱告
[00:00:54.780 --> 00:00:57.980]  祈求天父給我們一些訊息 讓我們明白
[00:00:57.980 --> 00:01:01.220]  究竟上帝為什麼在過去十多年當中
[00:01:01.220 --> 00:01:04.700]  神讓我們同福 有這麼大的恩典
[00:01:04.700 --> 00:01:07.120]  我們的教會人數由百多人的人數
[00:01:07.120 --> 00:01:10.000]  到今天是超過五千人的人數
[00:01:10.000 --> 00:01:13.260]  所以今天我的題目就是「全是恩典」
[00:01:13.260 --> 00:01:15.000]  在我今天分享講道之前
[00:01:15.000 --> 00:01:18.680]  我想和大家回顧一下小小的過去這十多年
[00:01:18.680 --> 00:01:21.080]  特別由2001年打後到今天
[00:01:21.080 --> 00:01:22.560]  我們有什麼大事
[00:01:22.560 --> 00:01:23.800]  雖然今天的時間問題
[00:01:23.800 --> 00:01:27.400]  我們會將這些powerpoint很快地過
[00:01:27.400 --> 00:01:29.720]  所以大家要不要眨眼
[00:01:29.720 --> 00:01:33.400]  用分分鐘時間看完這二十多三十張powerpoint
[00:01:33.400 --> 00:01:36.280]  看回過去這大概十多年當中
[00:01:36.280 --> 00:01:40.200]  神給我們的一些大事的回顧
[00:01:40.200 --> 00:01:42.900]  2001年當年很大的一件事就是我們要搬塘
[00:01:42.900 --> 00:01:45.820]  我們由天后的地方搬來這裏
[00:01:45.820 --> 00:01:48.360]  搬了塘之後我們真的有獻堂禮
[00:01:48.360 --> 00:01:51.100]  所以變成我們今天真的不是一個獻殿禮
[00:01:51.100 --> 00:01:52.920]  而是昔日已經做了
[00:01:52.920 --> 00:01:54.520]  然後我們有開放日
[00:01:54.520 --> 00:01:57.400]  我們招呼了一千多個街坊
[00:01:57.400 --> 00:02:01.560]  同樣我們開始在這個地方有外宴
[00:02:01.560 --> 00:02:05.640]  我們也都看到遊園一角正式的開幕
[00:02:05.640 --> 00:02:07.480]  同樣我們開始有自己的崇拜
[00:02:07.480 --> 00:02:09.400]  我們第一次在這裏崇拜很多人
[00:02:09.400 --> 00:02:11.080]  然後去了會展
[00:02:11.080 --> 00:02:12.240]  你們可以看到後面
[00:02:12.240 --> 00:02:14.160]  我們有年宵
[00:02:14.160 --> 00:02:17.960]  我們開始往後有嘉年華會
[00:02:17.960 --> 00:02:19.080]  不同地區
[00:02:19.080 --> 00:02:22.200]  也都有嬰兒和兒童的奉獻禮
[00:02:22.200 --> 00:02:23.440]  我們開始會展
[00:02:23.440 --> 00:02:24.560]  因為這個地方不夠用
[00:02:24.560 --> 00:02:26.640]  去會展有不同年份的
[00:02:26.640 --> 00:02:28.200]  在會展有聚會
[00:02:28.200 --> 00:02:29.680]  我們試過很瘋狂的
[00:02:29.680 --> 00:02:31.360]  有海洋空山觀祈禱會
[00:02:31.360 --> 00:02:33.840]  我們包括直升機去祈禱
[00:02:33.840 --> 00:02:37.160]  也都是開始有新的辦公室在白鱷
[00:02:37.160 --> 00:02:39.480]  然後繼續在會展那邊有嘉年華會
[00:02:39.480 --> 00:02:42.200]  我們招呼柴灣屯門的家庭
[00:02:42.200 --> 00:02:47.320]  由我們智障的崇拜開始
[00:02:47.320 --> 00:02:49.640]  也都是我們正式有一個地方
[00:02:49.640 --> 00:02:53.320]  正式有一個很特別的旗
[00:02:53.320 --> 00:02:55.440]  也都有安立長老
[00:02:55.440 --> 00:02:58.080]  也都有研習會
[00:02:58.080 --> 00:02:59.080]  這個要講一講
[00:02:59.080 --> 00:03:02.160]  我們試過在2007年有個暖屋下午茶
[00:03:02.160 --> 00:03:04.200]  就因為我們曾經覺得
[00:03:04.200 --> 00:03:06.360]  在年宵的時候天氣比較冷
[00:03:06.360 --> 00:03:07.520]  於是可以請一些街坊
[00:03:07.520 --> 00:03:09.320]  不如去喝下午茶
[00:03:09.320 --> 00:03:11.800]  結果那年的過年是很熱
[00:03:11.800 --> 00:03:12.800]  沒什麼人來
[00:03:12.800 --> 00:03:14.760]  所以原來教會都會做錯事
[00:03:14.760 --> 00:03:17.280]  所以大家包容我們有時候會做錯事
[00:03:17.280 --> 00:03:20.120]  有兒童的跨家家營
[00:03:20.120 --> 00:03:21.920]  有屯門資源中心開始
[00:03:21.920 --> 00:03:24.920]  慢慢又開始堂點
[00:03:24.920 --> 00:03:27.840]  我們試過搞NIC報道會
[00:03:27.840 --> 00:03:30.960]  也都是有EXPO的聯合崇拜
[00:03:30.960 --> 00:03:33.840]  然後柴灣
[00:03:33.840 --> 00:03:36.120]  有崇拜 也都有屯門堂
[00:03:36.120 --> 00:03:37.360]  試過去海洋公園崇拜
[00:03:37.360 --> 00:03:39.560]  誰有去過海洋公園那次
[00:03:39.560 --> 00:03:41.120]  記不記得多少錢他們給
[00:03:41.120 --> 00:03:42.080]  不記得 一百元
[00:03:42.080 --> 00:03:42.800]  一百元而已
[00:03:42.800 --> 00:03:45.560]  一百元就可以去海洋公園
[00:03:45.560 --> 00:03:48.320]  也都有不同的聚會在EXPO
[00:03:48.320 --> 00:03:49.800]  在小西灣
[00:03:49.800 --> 00:03:52.080]  在屯門有愛宴 嘉年華會
[00:03:52.080 --> 00:03:55.440]  二十多年前
