
[00:00:00.000 --> 00:00:06.420]  好,各位弟兄姊妹,早晨,早晨,昨晚是晚課,今天是早課
[00:00:06.420 --> 00:00:12.120]  有沒有人在今天大雨,即是濕了身的,請舉手
[00:00:12.120 --> 00:00:19.720]  多謝大家,風雨無懼,回來教會,敬拜主,讚美神
[00:00:19.720 --> 00:00:23.520]  紀念可能還有一些弟兄姊妹正在來,但願上帝保守我們
[00:00:23.520 --> 00:00:28.220]  今天在逆流當中作智慧門徒,應該怎樣做呢?
[00:00:28.220 --> 00:00:33.480]  我們仍在跟隨這個年替,裝備門徒,迎向挑戰
[00:00:33.480 --> 00:00:36.680]  而在七月八月,我們的月替是甚麼?
[00:00:36.680 --> 00:00:42.040]  職場當中的逆流門徒,不知道大家對這個逆流有甚麼看法?
[00:00:42.040 --> 00:00:48.140]  很感謝有位姊妹幫我們做了一個海報,將一群弟兄姊妹
[00:00:48.140 --> 00:00:54.780]  他們在海洋上高面對著逆流,師哥說我們要開往水深之處
[00:00:54.780 --> 00:00:59.040]  主領我們去哪裡?我們要去上帝的帶領
[00:00:59.040 --> 00:01:03.340]  上帝的帶領在逆流當中,我們應該怎樣走呢?
[00:01:03.340 --> 00:01:06.640]  其實在職場當中也有些暗湧
[00:01:06.640 --> 00:01:12.300]  現在很多人說AI越來越厲害,可能會取代我們的工作
[00:01:12.300 --> 00:01:18.580]  有些工作將來可能會失去,不知道大家會否害怕自己飯碗不保
[00:01:18.580 --> 00:01:21.280]  但不知道大家看完廣告後有甚麼看法?
[00:01:21.280 --> 00:01:27.580]  AI是你的對手,還是你的對手呢?大家看得懂嗎?
[00:01:27.580 --> 00:01:31.880]  究竟AI會取代你,是你的競爭對手
[00:01:31.880 --> 00:01:37.880]  還是你可以運用AI成為你的助手,變成你的對手,做得更好呢?
[00:01:37.880 --> 00:01:45.180]  今天在職場或時代中,我們不斷追求新科技,跟上潮流
[00:01:45.180 --> 00:01:48.580]  但我們卻是很少人會這樣看
[00:01:48.580 --> 00:01:54.880]  究竟我們作為一個基督徒,在逆流當中,怎樣才能得到真智慧呢?
[00:01:54.880 --> 00:01:57.880]  我講的是真智慧,而不是三色台的掌門人
[00:01:57.880 --> 00:02:00.580]  講的是真正的智慧
[00:02:00.580 --> 00:02:05.580]  在面對著逆流的價值觀,面對著競爭激烈的世代
[00:02:05.580 --> 00:02:09.080]  我們基督徒好像浮浮沉沉一樣
[00:02:09.080 --> 00:02:14.980]  有些人說,做事不要太老實,你要懂得轉彎
[00:02:14.980 --> 00:02:18.980]  有時要說些無雙大雅的謊言
[00:02:18.980 --> 00:02:23.080]  例如那個人來追債,找我們的同事
[00:02:23.080 --> 00:02:25.980]  你不是說他明明坐在這裏,你也說他不在這裏
[00:02:25.980 --> 00:02:29.480]  還記得早幾個星期,我們在清晨謠傳傳道
[00:02:29.480 --> 00:02:34.280]  張開眼睛說謊,我不是說他,我是說他舊事
