
[00:00:00.000 --> 00:00:01.360]  各位親愛的兄弟姐妹
[00:00:01.360 --> 00:00:02.800]  你們好
[00:00:02.800 --> 00:00:06.120]  很開心可以和大家繼續讀神的話語
[00:00:06.120 --> 00:00:09.200]  我們會繼續來看拿紅書
[00:00:09.200 --> 00:00:11.840]  在上一堂我們看到拿紅書裡面
[00:00:11.840 --> 00:00:16.600]  其實最重要的是講到神是怎樣的神
[00:00:16.600 --> 00:00:18.480]  值得我們去委身
[00:00:18.480 --> 00:00:19.720]  值得我們去倚靠
[00:00:19.720 --> 00:00:21.400]  值得我們去相信
[00:00:21.400 --> 00:00:25.520]  在拿紅書裡面第一部分就是講到神的本性
[00:00:25.520 --> 00:00:27.400]  在第一章到第二到第七節
[00:00:27.400 --> 00:00:29.320]  很快地和大家再讀一次
[00:00:29.320 --> 00:00:31.880]  讓大家有一個回憶
[00:00:31.880 --> 00:00:34.760]  「耶和華是忌邪施暴的神
[00:00:34.760 --> 00:00:38.000]  耶和華施暴大有憤怒
[00:00:38.000 --> 00:00:39.800]  向他的敵人施暴
[00:00:39.800 --> 00:00:42.120]  向他的仇敵懷怒」
[00:00:42.120 --> 00:00:43.440]  接著就說到
[00:00:43.440 --> 00:00:45.280]  「耶和華不輕而發怒
[00:00:45.280 --> 00:00:46.400]  大有能力
[00:00:46.400 --> 00:00:48.240]  萬不以有罪的為無罪
[00:00:48.240 --> 00:00:50.640]  他乘旋風和暴風而來
[00:00:50.640 --> 00:00:53.640]  雲彩在他腳下的塵土
[00:00:53.640 --> 00:00:56.000]  他積擢海面乾了
[00:00:56.000 --> 00:00:58.200]  使一切江河乾涸
[00:00:58.200 --> 00:01:01.440]  花山和加密的樹林衰沉
[00:01:01.440 --> 00:01:04.880]  泥巴亂的花草也衰沉了
[00:01:04.880 --> 00:01:06.680]  大山因他震動
[00:01:06.680 --> 00:01:08.760]  小山也都消化
[00:01:08.760 --> 00:01:10.520]  大地在他面前凸起
[00:01:10.520 --> 00:01:14.320]  世界和住在其間的也都如此
[00:01:14.320 --> 00:01:15.520]  他發憤恨
[00:01:15.520 --> 00:01:17.360]  誰能立得住呢?
[00:01:17.360 --> 00:01:18.440]  他發烈怒
[00:01:18.440 --> 00:01:20.120]  誰能當得起呢?
[00:01:20.120 --> 00:01:22.800]  他的憤怒如火傾倒
[00:01:22.800 --> 00:01:24.960]  盤石因他崩裂
[00:01:24.960 --> 00:01:29.800]  耶和華本為善在患難的日子為人的保障
