
[00:00:00.000 --> 00:00:03.000]  菲律賓書第三章
[00:00:03.000 --> 00:00:05.000]  第一節到第六節
[00:00:05.000 --> 00:00:07.000]  保羅在講到他自己的出生對不對
[00:00:07.000 --> 00:00:09.000]  他講到他第八天受割禮
[00:00:09.000 --> 00:00:11.000]  他是希伯來人所生的希伯來人
[00:00:11.000 --> 00:00:13.000]  他講到這些的時候
[00:00:13.000 --> 00:00:15.000]  他講到他主要就是說
[00:00:15.000 --> 00:00:17.000]  他不是靠這些來誇口
[00:00:17.000 --> 00:00:18.000]  不是靠肉體
[00:00:18.000 --> 00:00:19.000]  來是靠著什麼
[00:00:19.000 --> 00:00:21.000]  靠著基督
[00:00:21.000 --> 00:00:24.000]  所以菲律賓書第三章
[00:00:24.000 --> 00:00:26.000]  保羅開始講到他自己的時候
[00:00:26.000 --> 00:00:28.000]  因為他要針對那些
[00:00:28.000 --> 00:00:30.000]  靠肉體
[00:00:30.000 --> 00:00:33.000]  也就是說要靠著割禮
[00:00:33.000 --> 00:00:35.000]  要靠著律法來得救的
[00:00:35.000 --> 00:00:37.000]  這些的
[00:00:37.000 --> 00:00:40.000]  當時候的這些猶太教的基督徒
[00:00:40.000 --> 00:00:42.000]  所以保羅提醒
[00:00:42.000 --> 00:00:44.000]  也是對我們今天的提醒
[00:00:44.000 --> 00:00:47.000]  我們既然信了這位耶穌基督
[00:00:47.000 --> 00:00:49.000]  我們就不要再靠肉體了
[00:00:49.000 --> 00:00:52.000]  也不要再靠你自己
[00:00:52.000 --> 00:00:54.000]  不再依靠你自己的學歷
[00:00:54.000 --> 00:00:56.000]  不再依靠你自己的名聲
[00:00:56.000 --> 00:00:58.000]  不再依靠你自己的背景
[00:00:58.000 --> 00:00:59.000]  不是因為你的身高
[00:00:59.000 --> 00:01:01.000]  不是因為你高富瘦
[00:01:01.000 --> 00:01:03.000]  不是高富瘦
[00:01:03.000 --> 00:01:05.000]  高富怎麼樣
[00:01:05.000 --> 00:01:07.000]  靠什麼
[00:01:07.000 --> 00:01:08.000]  靠基督
[00:01:08.000 --> 00:01:10.000]  誇口當指責
[00:01:10.000 --> 00:01:12.000]  主誇口
[00:01:12.000 --> 00:01:14.000]  然後今天保羅接著
[00:01:14.000 --> 00:01:16.000]  他說指示
[00:01:16.000 --> 00:01:18.000]  他帶出來一個
[00:01:18.000 --> 00:01:21.000]  他這個指示帶出來什麼呢
[00:01:21.000 --> 00:01:23.000]  他講到先前
[00:01:23.000 --> 00:01:25.000]  然後講到現在
[00:01:25.000 --> 00:01:27.000]  保羅把過去跟現在
[00:01:27.000 --> 00:01:29.000]  他整個的一個改變
[00:01:29.000 --> 00:01:31.000]  做了一個比較
[00:01:31.000 --> 00:01:37.000]  這個改變叫做價值觀的改變
[00:01:37.000 --> 00:01:40.000]  什麼叫價值觀
[00:01:40.000 --> 00:01:45.000]  什麼叫價值觀
[00:01:45.000 --> 00:01:47.000]  你認為什麼東西重要
[00:01:47.000 --> 00:01:49.000]  是嗎
[00:01:49.000 --> 00:01:53.000]  你認為什麼東西重要
[00:01:53.000 --> 00:01:57.000]  這邊列了七十項
[00:01:57.000 --> 00:02:03.000]  可能你字比較小一點
[00:02:03.000 --> 00:02:05.000]  這裡列了
[00:02:05.000 --> 00:02:08.000]  愛 成就 興奮 藝術
[00:02:08.000 --> 00:02:11.000]  社群 community
[00:02:11.000 --> 00:02:12.000]  快樂 安全感
[00:02:12.000 --> 00:02:13.000]  有意義的工作
[00:02:13.000 --> 00:02:15.000]  信仰 改變等等這些
[00:02:15.000 --> 00:02:16.000]  換句話說
[00:02:16.000 --> 00:02:19.000]  這裡讓我們問一個問題就是
[00:02:19.000 --> 00:02:26.000]  什麼是你人生最重要的事
[00:02:26.000 --> 00:02:29.000]  美國知名的顧問
[00:02:29.000 --> 00:02:33.000]  這個叫做 Louis
[00:02:33.000 --> 00:02:36.000]  他說生活混亂的主要的原因
[00:02:36.000 --> 00:02:42.000]  是因為你無法判斷事情的輕重緩急
[00:02:42.000 --> 00:02:45.000]  因為你從來沒有問自己
[00:02:45.000 --> 00:02:51.000]  到底什麼才是人生中最重要的事
[00:02:51.000 --> 00:02:55.000]  價值觀就是人對一件事情的看法
[00:02:55.000 --> 00:02:58.000]  你的 value
[00:02:58.000 --> 00:03:00.000]  我們常講一個人的 value system
[00:03:00.000 --> 00:03:05.000]  你的整個的價值觀是什麼
[00:03:05.000 --> 00:03:08.000]  這個價值觀其實就決定了
[00:03:08.000 --> 00:03:11.000]  你在怎麼樣子來把你的輕重緩急
[00:03:11.000 --> 00:03:13.000]  你怎麼擺
[00:03:13.000 --> 00:03:17.000]  禮拜天來主日聚會
