
[00:00:00.000 --> 00:00:04.320]  很感恩 雖然今天下著黃雨
[00:00:04.320 --> 00:00:08.880]  但看見大家都帶著渴慕的心
[00:00:08.880 --> 00:00:12.780]  我求主能夠使用今天的訊息
[00:00:12.780 --> 00:00:14.780]  來祝福大家
[00:00:14.780 --> 00:00:18.420]  在早上張開眼睛的時候
[00:00:18.420 --> 00:00:20.420]  心裡就做了一個祈禱
[00:00:20.420 --> 00:00:24.240]  阿純 在今天這麼特別的日子裡
[00:00:24.240 --> 00:00:27.920]  我求你使用你自己的話語
[00:00:27.920 --> 00:00:30.480]  叫我們眾人都得著祝福
[00:00:30.480 --> 00:00:32.480]  在母親節講道
[00:00:32.480 --> 00:00:34.480]  有不少的機會
[00:00:34.480 --> 00:00:37.280]  但今天裡真的很特別
[00:00:37.280 --> 00:00:40.840]  對於我來說 我相信是第一次
[00:00:40.840 --> 00:00:45.520]  是母親節 也是我的生日
[00:00:45.520 --> 00:00:48.120]  感謝主 不是要講這些
[00:00:48.120 --> 00:00:50.120]  不過我覺得心裡就說
[00:00:50.120 --> 00:00:53.880]  神呀 給一個 要知道講道的情況
[00:00:53.880 --> 00:00:55.440]  就給一個訊息我
[00:00:55.440 --> 00:00:58.720]  是我心裡很想講的訊息
[00:00:58.720 --> 00:01:02.040]  這個題目是神給我的
[00:01:02.040 --> 00:01:04.760]  信仰的傳承
[00:01:04.760 --> 00:01:08.760]  什麼叫傳承呢
[00:01:08.760 --> 00:01:12.360]  傳承在字典裡是這樣說
[00:01:12.360 --> 00:01:15.560]  是上一代傳給下一代
[00:01:15.560 --> 00:01:19.520]  下一代接受上一代所給我們的東西
[00:01:21.520 --> 00:01:29.520]  一陣所選的經文 是一個屬靈的爸爸保羅
[00:01:29.520 --> 00:01:35.000]  去對他親愛的兒子 屬靈親愛的兒子
[00:01:35.000 --> 00:01:37.000]  所講的一段話
[00:01:37.000 --> 00:01:41.400]  在當中裡 特別講到一個叫無偽之信
[00:01:41.400 --> 00:01:44.240]  什麼叫無偽之信呢
[00:01:44.240 --> 00:01:52.240]  字典裡說是一個真實 無虛偽 無裝假的信心
[00:01:52.240 --> 00:01:56.640]  在《仕途行傳》裡記載
[00:01:56.640 --> 00:02:01.120]  當保羅在第一次宣教旅程時
[00:02:01.120 --> 00:02:04.440]  遇見提摩泰
[00:02:04.440 --> 00:02:07.320]  提摩泰就一直跟著保羅
[00:02:07.320 --> 00:02:13.240]  去承接著這個信仰
[00:02:14.240 --> 00:02:19.240]  當第一次來見到保羅時的記載
[00:02:19.240 --> 00:02:26.240]  我們相信 其實提摩泰的爸爸已經不在世
[00:02:26.240 --> 00:02:28.240]  所以一直以來
[00:02:28.240 --> 00:02:31.640]  保羅 他視提摩泰
[00:02:31.640 --> 00:02:36.840]  有一個屬靈的兒子來栽培他
[00:02:36.840 --> 00:02:38.640]  我們看看這段經文
